날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,9170,9170,9170,9170,9120,9063,8988.5,8745.167,8474.167,97648,115825.8,123327.1,80569.55,52697.55
2022-04-04,15:30:00,9170,9170,9170,9170,9096,9042,8967,8734.333,8465.5,204772,117670.6,119976.4,80111.45,51892.19
2022-04-04,15:19:00,9080,9150,9070,9150,9066,9036,8947.5,8722.167,8456.75,158733,91985,112286.8,79334.83,50187.23
2022-04-04,15:18:00,9030,9080,8980,9080,9036,9016,8925,8714,8448.167,68888,71854.4,111125.7,78378.17,48866.5
2022-04-04,15:17:00,9070,9080,9020,9030,9020,9010,8910,8705,8440.25,49088,86383.6,112493.9,78357.48,48304.93
2022-04-04,15:16:00,9010,9090,9000,9050,9006,9007,8896,8696.333,8432.75,106872,97058,113866.5,79212.92,47898.37
2022-04-04,15:15:00,9010,9040,8920,9020,8988,8988,8883.5,8688.833,8425,76344,109546.6,114517.1,80915.53,47008.55
2022-04-04,15:14:00,9000,9030,8970,9000,9006,8970,8874,8680.333,8417.583,58080,140189.6,117719.4,81670.4,46372.45
2022-04-04,15:13:00,8960,9110,8940,9000,8996,8957,8868,8672.5,8410.25,141534,152422.2,138714.4,87896.12,45888.56
2022-04-04,15:12:00,8960,9020,8880,8960,9000,8933,8856,8662.5,8402.917,102460,186982.4,138916.6,87779.85,44709.53
2022-04-04,15:11:00,9100,9130,8880,8960,9008,8914,8840,8651,8395.833,169315,211723.8,134844.8,87436.58,43856.68
2022-04-04,15:10:00,8940,9140,8870,9110,8988,8892,8823.5,8637.5,8388.75,229559,184326,127267.8,84616.88,42446.16
2022-04-04,15:09:00,9010,9020,8940,8950,8934,8859,8799.5,8621.667,8380.5,119243,160196.2,117041.8,80791.9,40534.03
2022-04-04,15:08:00,9030,9080,8910,9020,8918,8834,8784.5,8608.167,8373.583,314335,163730,113713.2,78804.68,39546.58
2022-04-04,15:06:00,8860,9000,8860,9000,8866,8810,8765.5,8593.667,8366.083,226167,106889.4,98515.9,73565.85,36927.2
2022-04-04,15:05:00,8850,8870,8820,8860,8820,8785,8745,8579.5,8358.833,32326,68700.8,88069.3,69796.75,35042.56
2022-04-04,15:04:00,8870,8900,8830,8840,8796,8779,8734.5,8567.5,8352.667,108910,68362.4,89450.3,69268.87,34774.03
2022-04-04,15:03:00,8750,8880,8750,8870,8784,8778,8721.5,8556.333,8346.667,136912,56776.2,84273.5,67453.93,33869.88
