날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,2575,2575,2575,2575,2541,2533,2523,2506.167,2493.75,52553,93637.4,42361.6,29376.72,25982.4
2022-04-04,15:30:00,2575,2575,2575,2575,2531,2527.5,2520.75,2504.583,2493.042,309546,89811,42071.45,28688.8,25556.14
2022-04-04,15:19:00,2515,2520,2510,2520,2521,2521,2517.25,2503.083,2492.333,56441,30994.6,26970.4,23776.58,23005.16
2022-04-04,15:18:00,2520,2530,2515,2515,2521,2520.5,2516.5,2502.583,2492.083,32165,23506.6,24367.05,23374.97,22568.77
2022-04-04,15:17:00,2520,2530,2520,2520,2524,2520,2516,2502.5,2491.917,17482,27278.8,23247.4,22943.17,22316.33
2022-04-04,15:16:00,2525,2530,2520,2525,2525,2519.5,2515.5,2502.25,2491.667,33421,32162.8,22603.3,22683.2,22213.53
2022-04-04,15:15:00,2520,2525,2520,2525,2524,2518.5,2514.75,2501.917,2491.417,15464,31522.8,21647.55,22334.2,21961.73
2022-04-04,15:14:00,2530,2530,2520,2520,2521,2517,2513.5,2501.583,2491.125,19001,34754.6,21763.5,22348.42,21868.61
2022-04-04,15:13:00,2525,2530,2520,2530,2520,2515.5,2511.75,2501.5,2490.833,51026,41119,25172.25,22350.22,21728.6
2022-04-04,15:12:00,2520,2530,2520,2525,2516,2514,2510.5,2501.167,2490.458,41902,40921,24614.35,21611.75,21356.97
2022-04-04,15:11:00,2515,2525,2505,2520,2514,2513,2510.25,2500.833,2490.083,30221,34385.4,23505.95,20995.45,21031.12
2022-04-04,15:10:00,2520,2520,2510,2510,2513,2514,2510.25,2500.583,2489.75,31623,30402,23017.45,20627.45,20857.13
2022-04-04,15:09:00,2510,2525,2510,2515,2513,2513.5,2510.25,2500.417,2489.458,50823,25110.8,21663.05,20159.68,21044.27
2022-04-04,15:08:00,2510,2510,2495,2510,2511,2512.5,2510.25,2500.25,2489.167,50036,16951.2,20029.2,19492.47,20780.08
2022-04-04,15:07:00,2515,2515,2510,2515,2512,2512,2510,2500.167,2488.958,9224,9783.4,18171.75,18809,20472.66
2022-04-04,15:06:00,2510,2515,2505,2515,2512,2511.5,2509.5,2500,2488.708,10304,9260.8,17990.75,18783.12,20451.44
2022-04-04,15:05:00,2515,2515,2505,2510,2515,2511,2509.25,2499.833,2488.542,5167,16550,18230.45,19018.53,20384.83
2022-04-04,15:04:00,2515,2515,2505,2505,2514,2510,2508.25,2499.583,2488.333,10025,17021.6,18105.35,19011.35,20419.78
2022-04-04,15:03:00,2515,2520,2510,2515,2514,2508,2507.75,2499.583,2488.208,14197,15891.4,17684.4,19035.92,20393.61
2022-04-04,15:02:00,2525,2525,2510,2515,2512,2507,2506.25,2499.25,2488.083,6611,15006.4,17759.15,19003.32,20317.33
2022-04-04,15:01:00,2505,2530,2505,2530,2511,2507.5,2504.75,2499,2487.917,46750,14604.2,17972.7,18977.35,20288.83
2022-04-04,15:00:00,2505,2510,2500,2505,2507,2506.5,2502.75,2498.417,2487.667,7525,8115.4,16080.6,18206.83,19936.17
2022-04-04,14:59:00,2500,2510,2500,2505,2506,2507,2501.75,2498.25,2487.625,4374,10167,16724.4,18147.37,19880.53
2022-04-04,14:58:00,2510,2510,2505,2505,2502,2508,2500.25,2498,2487.625,9772,26727.4,16831.9,18584.55,19879.65
2022-04-04,14:57:00,2510,2510,2505,2510,2502,2508,2498.75,2498.25,2487.625,4600,32746.6,16751.6,19245.13,19908.67
2022-04-04,14:56:00,2500,2520,2500,2510,2504,2507.5,2497.5,2498.083,2487.458,14306,35773.4,16829.3,19341.5,19872.73
2022-04-04,14:55:00,2495,2500,2485,2500,2506,2507.5,2496.5,2497.667,2487.25,17783,37002.4,16280.6,19196.88,19759.83
2022-04-04,14:54:00,2510,2510,2480,2485,2508,2506.5,2495.5,2497.5,2487.125,87176,34352.8,15995.85,19241.77,19689.98
2022-04-04,14:53:00,2520,2520,2500,2505,2514,2507.5,2495.5,2497.5,2487.167,39868,20546.8,11919.5,18476.08,18997.78
2022-04-04,14:52:00,2515,2525,2510,2520,2514,2505.5,2494.25,2497.583,2487.042,19734,15150.6,10799.95,18611.55,18734.6
2022-04-04,14:51:00,2510,2520,2510,2520,2511,2502,2492,2496.917,2486.917,20451,12324.6,11002,18670.88,18760.63
2022-04-04,14:50:00,2515,2515,2505,2510,2509,2499,2490,2496.167,2486.792,4535,11254,14334.6,19243.9,18647.67
2022-04-04,14:49:00,2505,2515,2505,2515,2505,2496.5,2489.25,2495.667,2486.792,18146,10880,17417.1,19225.63,18612.94
2022-04-04,14:48:00,2500,2510,2495,2505,2501,2492.5,2489,2495.167,2486.75,12887,7572,19408.85,19036.33,18495.62
2022-04-04,14:47:00,2510,2510,2500,2505,2497,2489.5,2489.75,2494.917,2486.792,5604,8133,27872,18959.35,18446.69
2022-04-04,14:46:00,2490,2510,2490,2510,2493,2487.5,2489.75,2494.417,2486.708,15098,9188.6,27898.45,20018.33,18419.74
2022-04-04,14:45:00,2495,2495,2490,2490,2489,2485.5,2489.5,2494.083,2486.583,2665,7950.6,27785,20188.98,18301.26
2022-04-04,14:44:00,2490,2495,2485,2495,2488,2484.5,2490.25,2493.75,2486.625,1606,11497.8,28189.5,20224.48,18342.62
