날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-04,15:35:00,7590,7590,7590,7590,7568,7564,7562.5,7526.167,7548.333,1289,3488.4,2246.85,2257.617,13772.89
2022-04-04,15:30:00,7590,7590,7590,7590,7560,7561,7561,7524,7547.333,11556,3354.4,2282.45,2505.4,13832.69
2022-04-04,15:19:00,7550,7550,7540,7550,7552,7558,7559.5,7522.5,7545.083,1542,1302.8,1952.4,2377.433,13742.27
2022-04-04,15:18:00,7560,7560,7540,7550,7554,7560,7557.5,7522,7543,1401,1156.6,1912.25,2372.433,13729.62
2022-04-04,15:17:00,7560,7560,7540,7560,7556,7562,7556.5,7521.333,7540.833,1654,1126.2,1853.75,2402.067,13719.49
2022-04-04,15:16:00,7550,7560,7550,7550,7560,7563,7555.5,7521,7538.667,619,1405.8,1966.25,2409.867,13705.97
2022-04-04,15:15:00,7580,7580,7550,7550,7562,7566,7554,7520.833,7536.75,1298,2056.6,1965.25,2443.517,13705.79
2022-04-04,15:14:00,7580,7590,7560,7560,7564,7565,7553.5,7520,7534.917,811,2183.4,1979,2519.65,13775.73
2022-04-04,15:13:00,7580,7590,7560,7560,7566,7563,7552,7519.667,7532.417,1249,2253.4,1984.8,2605.417,13771.27
2022-04-04,15:12:00,7580,7590,7580,7580,7568,7562,7550,7519.333,7529.917,3052,2366.2,2031.2,2613.167,13761.12
2022-04-04,15:11:00,7570,7600,7560,7560,7566,7561,7547,7518.5,7527.083,3873,2035.4,2068.55,2586.55,13736.08
2022-04-04,15:10:00,7570,7580,7560,7560,7570,7561,7545.5,7518.333,7524.417,1932,2600.8,2034.15,2615.05,13709.86
2022-04-04,15:09:00,7570,7570,7560,7570,7566,7561,7546.5,7517.5,7521.917,1161,2364.2,2232.7,2651.817,13694.01
2022-04-04,15:08:00,7570,7580,7570,7570,7560,7555,7545.5,7516.833,7519.333,1813,2273.6,2405,2742.7,13699.17
2022-04-04,15:07:00,7580,7580,7560,7570,7556,7551,7542.5,7516,7516.667,1398,2123.4,2317.55,3008.217,13697.76
2022-04-04,15:06:00,7540,7580,7540,7580,7556,7548,7539,7515,7513.917,6700,2057.8,2284.95,3109.617,13690.52
2022-04-04,15:05:00,7540,7550,7540,7540,7552,7542,7536,7514.333,7511.083,749,1118,2068.8,3169.3,13634.83
2022-04-04,15:04:00,7560,7560,7540,7540,7556,7542,7534.5,7514.833,7508.583,708,1959.2,2103.1,3287.7,13628.78
2022-04-04,15:03:00,7570,7570,7550,7550,7550,7541,7531.5,7515.333,7505.833,1062,1965.4,2115.8,3475.717,13625.53
2022-04-04,15:02:00,7560,7580,7560,7570,7546,7538,7528.5,7515.667,7503.083,1070,1799.2,2110.95,3782.283,13616.85
2022-04-04,15:01:00,7560,7580,7550,7560,7540,7533,7524.5,7515.333,7500.333,2001,2366,2075.05,4609.95,13608.18
2022-04-04,15:00:00,7520,7570,7510,7560,7532,7530,7521.5,7516,7497.667,4955,2085.6,2050.1,5083.467,13591.66
