날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-05,15:35:00,9170,9170,9170,9170,9192,9197,9189,9191.5,9204.167,3188,17309.4,8515.55,4332.6,3235.842
2022-04-05,15:30:00,9170,9170,9170,9170,9202,9199,9190,9192,9204.5,49132,17646.4,8492.75,4284.65,3259.542
2022-04-05,15:19:00,9220,9220,9160,9180,9210,9200,9191.5,9192.5,9204.75,24016,10542,6056.2,3469.767,2907.133
2022-04-05,15:18:00,9220,9230,9200,9220,9214,9200,9192.5,9192.667,9204.917,5779,6904,4944.1,3075.967,2857.558
2022-04-05,15:17:00,9220,9230,9210,9220,9208,9195,9191,9192.333,9204.5,4432,6185.2,4680.35,2990.35,2956.217
2022-04-05,15:16:00,9210,9230,9200,9220,9202,9191,9189.5,9191.833,9204.25,4873,5951.4,4553.15,2930.083,3712.675
2022-04-05,15:15:00,9210,9230,9200,9210,9196,9187,9187.5,9191.333,9204.333,13610,5245,4349.05,2866.217,3747.45
2022-04-05,15:14:00,9200,9200,9190,9200,9190,9184,9186.5,9191.167,9204.667,5826,3622.8,3889.5,2647.233,3650.45
2022-04-05,15:13:00,9190,9200,9190,9190,9186,9182,9186.5,9191.167,9205,2185,4585.4,3767.35,2574.183,3607.983
2022-04-05,15:12:00,9180,9200,9180,9190,9182,9181,9186.5,9191.167,9205.5,3263,4945.4,3757.65,2552.5,3594.133
2022-04-05,15:11:00,9180,9190,9180,9190,9180,9181,9187,9191.167,9206,1341,5055.6,3615.4,2506.533,3572.333
2022-04-05,15:10:00,9180,9190,9170,9180,9178,9181,9187.5,9191.333,9206.5,5499,6205.8,3554.8,2499.583,3569.842
2022-04-05,15:09:00,9170,9180,9170,9180,9178,9183,9188,9191.667,9207,10639,6062.2,3422.05,2412.483,3544.1
2022-04-05,15:08:00,9170,9180,9170,9170,9178,9185,9188,9192.167,9207.667,3985,5817.8,3272.4,2266.167,3483.55
2022-04-05,15:07:00,9180,9190,9170,9180,9180,9187,9188,9192.5,9208.417,3814,5442.2,3440.5,2259.25,3455.492
2022-04-05,15:06:00,9180,9190,9180,9180,9182,9188,9188.5,9192.833,9209.167,7092,5745.8,3412.8,2280.083,3423.833
