날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-05,15:35:00,3935,3935,3935,3935,3925,3923.5,3910,3994.333,4091.375,20529,83259.4,49168.1,54801.18,41012.86
2022-04-05,15:30:00,3935,3935,3935,3935,3923,3921,3909,3998.75,4093.625,210676,86700.2,48809.1,54557.27,40930.17
2022-04-05,15:19:00,3920,3925,3895,3915,3921,3919.5,3907.75,4003,4095.875,73414,57325,39455.4,51484.63,39247.47
2022-04-05,15:18:00,3925,3925,3910,3920,3923,3918.5,3907.5,4007.917,4098.292,47533,51809.8,37007.15,50455.1,38653.24
2022-04-05,15:17:00,3930,3935,3915,3920,3923,3917,3907,4012.833,4100.667,64145,48795.4,40745.5,49936.7,38277.39
2022-04-05,15:16:00,3925,3930,3920,3925,3922,3914,3906.25,4017.583,4103.042,37733,42620.4,39915.25,49216.9,37823.6
2022-04-05,15:15:00,3930,3935,3920,3925,3919,3909,3906.5,4022.5,4105.417,63800,43115.6,42747.5,49030.6,37654.12
2022-04-05,15:14:00,3920,3930,3920,3925,3918,3906,3906.75,4027.583,4107.667,45838,41817,42423.35,49202.37,37202.55
2022-04-05,15:13:00,3915,3925,3915,3920,3914,3904,3908.25,4032,4109.917,32461,42499.4,42380.6,48787.47,37186.09
2022-04-05,15:12:00,3915,3915,3905,3915,3911,3901,3909.5,4036.333,4112.292,33270,39781,45218.15,48345.78,37030.44
2022-04-05,15:11:00,3915,3925,3910,3910,3906,3896.5,3912.75,4040.917,4114.708,40209,36815.4,44891.7,47858.53,36905.77
2022-04-05,15:10:00,3905,3925,3895,3920,3899,3897,3917.75,4045.5,4117.333,57307,34671.2,44159.4,47286.47,36685.62
2022-04-05,15:09:00,3905,3935,3895,3905,3894,3896,3920.75,4049.917,4119.792,49250,28906.2,43021.2,46459.83,36337.88
2022-04-05,15:08:00,3890,3905,3885,3905,3894,3896.5,3924.5,4054.583,4122.417,18869,22942,44731.35,45848.43,36160.99
2022-04-05,15:07:00,3875,3895,3875,3890,3891,3897,3927.75,4059,4125.125,18442,26614,46669.05,46098.52,36140.15
2022-04-05,15:06:00,3895,3900,3870,3875,3887,3898.5,3933.75,4064.083,4128.042,29488,33977.2,46614.8,46103.67,36090.54
2022-04-05,15:05:00,3910,3910,3895,3895,3895,3904,3941,4069.083,4131.083,28482,30749.4,46145.5,45950.33,35884.72
2022-04-05,15:04:00,3895,3915,3890,3905,3898,3907.5,3946.25,4074,4133.833,19429,29773.4,46776.5,45608.95,35687.78
2022-04-05,15:03:00,3875,3895,3870,3890,3899,3912.5,3952.75,4078.833,4136.583,37229,30777.4,47001,45421.9,35585.48
2022-04-05,15:02:00,3910,3910,3870,3870,3903,3918,3960.5,4083.917,4139.458,55258,47791.6,47173.3,45173.23,35511.06
2022-04-05,15:01:00,3910,3915,3895,3915,3910,3929,3968,4089.333,4142.458,13349,46248,46305.25,44550.57,35238.99
2022-04-05,15:00:00,3915,3920,3895,3910,3913,3938.5,3971.75,4093.917,4145.083,23602,62453.8,51303.05,45076.42,35270.52
2022-04-05,14:59:00,3910,3920,3905,3910,3917,3945.5,3977.25,4099.083,4147.833,24449,69196.8,51740.6,45010.83,35244.45
2022-04-05,14:58:00,3900,3920,3875,3910,3926,3952.5,3983.75,4104.167,4150.417,122300,73303.6,53111.45,45339.97,35072.2
2022-04-05,14:57:00,3935,3935,3900,3905,3933,3958.5,3990.75,4109.417,4153,47540,66686,49138.55,44750.73,34109.72
2022-04-05,14:56:00,3930,3945,3905,3930,3948,3969,3998,4114.25,4155.625,94378,62526.2,48692.8,44382.33,33756.3
2022-04-05,14:55:00,3955,3970,3930,3930,3964,3978,4003,4118.75,4158,57317,48763.2,45688.35,43919.08,33114.73
2022-04-05,14:54:00,3950,3975,3940,3955,3974,3985,4008,4123,4160.5,44983,44208.4,47221.65,43509.02,32685.93
2022-04-05,14:53:00,3985,3985,3940,3945,3979,3993,4012.5,4126.333,4162.792,89212,51902.4,50013.15,42917.07,32552.07
2022-04-05,14:52:00,4010,4010,3980,3980,3984,4003,4016.75,4129.833,4165.167,26741,45584.6,62449.55,41592.25,32052.44
2022-04-05,14:51:00,3985,4010,3980,4010,3990,4007,4022.5,4132.917,4167.125,25563,43707.8,64882.85,41215.4,31857.07
2022-04-05,14:50:00,3985,3985,3960,3980,3992,4005,4028,4135.417,4168.792,34543,42615.6,67951.35,41122.92,31667.97
2022-04-05,14:49:00,3970,3995,3955,3980,3996,4009,4036,4138.167,4170.625,83453,43927.4,68864.45,41024.35,31424.68
2022-04-05,14:48:00,4010,4015,3970,3970,4007,4015,4043.25,4141.333,4172.458,57623,32020.6,71318.9,40505.55,30785.24
2022-04-05,14:47:00,4015,4025,4010,4010,4022,4023,4049.75,4144.417,4174.417,17357,28631,75882,40166.98,30351.15
2022-04-05,14:46:00,4000,4030,3995,4020,4024,4027,4059.5,4146.417,4176.167,20102,32739,75455.55,40494.3,30325.78
2022-04-05,14:45:00,4035,4045,4000,4000,4018,4028,4069,4148.25,4177.625,41102,51379.6,74880.3,41147.03,30203.26
2022-04-05,14:44:00,4045,4050,4030,4035,4022,4031,4079.25,4150.75,4179.208,23919,49629.8,73351.7,41619.42,29918.88
