날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-05,15:35:00,3010,3010,3010,3010,3020,3017.5,3009.25,3038.583,3092.417,4497,30645.2,18790.85,21985.4,17687.88
2022-04-05,15:30:00,3010,3010,3010,3010,3022,3016.5,3008.75,3040.917,3093.792,78180,32676,20054.05,22024.1,17834.43
2022-04-05,15:19:00,3020,3040,3000,3035,3026,3017,3008.25,3043.333,3094.875,47378,25138.4,16609.25,20897.43,17352.84
2022-04-05,15:18:00,3025,3030,3015,3020,3022,3012.5,3006.75,3045.5,3095.833,14991,19416.4,14366.45,20324.33,17079.13
2022-04-05,15:17:00,3020,3030,3020,3025,3018,3010.5,3005.5,3048,3096.958,8180,16793.8,15152,20172.28,17025.96
2022-04-05,15:16:00,3030,3035,3020,3020,3015,3007.5,3004.25,3050.333,3098.042,14651,17613.4,15280.7,20413.88,17063.27
2022-04-05,15:15:00,3010,3035,3010,3030,3011,3005,3003.25,3052.667,3099.125,40492,16097.4,15905.75,20316.88,17144.08
2022-04-05,15:14:00,3010,3015,3000,3015,3008,3003,3002,3055.083,3100.25,18768,12414.2,14962.3,19885.58,16891.51
2022-04-05,15:13:00,3000,3005,2995,3000,3003,3002,3000.75,3057.417,3101.625,1878,9787.2,17126.5,19746.58,16856.83
2022-04-05,15:12:00,2995,3010,2995,3010,3003,3002.5,3001.25,3059.833,3103,12278,13556.8,17835.3,19747.38,17007.89
2022-04-05,15:11:00,3015,3015,2995,3000,3000,3001,3001,3061.917,3104.375,7071,13438,18993.4,19636.77,17097.45
2022-04-05,15:10:00,2995,3015,2995,3015,2999,3001,3002.25,3064.083,3106.042,22076,14599.2,19181.55,19611.68,17202.33
2022-04-05,15:09:00,2995,3000,2990,2990,2998,2999.5,3002.75,3066.083,3107.542,5633,12110.8,18911.8,19318.73,17148.53
2022-04-05,15:08:00,2995,3000,2985,3000,3001,3001,3004.75,3068.75,3109.292,20726,12427.4,19923.95,19275.77,17266.96
2022-04-05,15:07:00,3000,3005,2995,2995,3002,3000.5,3006.75,3070.833,3111.042,11684,10158.8,19853.15,19089.15,17171.79
2022-04-05,15:06:00,3010,3010,2995,2995,3002,3001,3009.75,3073.417,3112.833,12877,13466.8,19965.35,19213.8,17127.29
2022-04-05,15:05:00,3005,3010,3000,3010,3003,3001.5,3011.5,3075.833,3114.583,9634,16843.6,20353.65,19055.75,17109.4
2022-04-05,15:04:00,3005,3010,3000,3005,3001,3001,3012.5,3077.917,3116.125,7216,16773.6,20321,19053.38,17179.32
2022-04-05,15:03:00,3000,3015,3000,3005,3001,2999.5,3014,3080.25,3117.792,9383,15834.8,20590.2,19173.65,17195.37
2022-04-05,15:02:00,3000,3020,2995,2995,2999,3000,3016.75,3082.75,3119.542,28224,20098.6,21067.8,19061.25,17177.45
2022-04-05,15:01:00,3000,3005,2995,3000,3000,3001,3018.25,3085.417,3121.25,29761,16604.6,21364.65,18721.32,17306.67
2022-04-05,15:00:00,3005,3005,2995,3000,3000,3003.5,3020,3088.167,3123.125,9284,16082.8,20829.5,18496.32,17256.63
2022-04-05,14:59:00,2995,3015,2995,3005,3001,3006,3021.75,3091,3125,2522,18550.6,21267.1,18472.13,17471.62
