날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-05,15:35:00,12100,12100,12100,12100,12110,12135,12137.5,12102.5,12008.75,12047,23722.4,11466.6,6417,6471.325
2022-04-05,15:30:00,12100,12100,12100,12100,12130,12140,12135,12101.67,12005.83,65392,22647.2,11051.45,6286.833,6386.6
2022-04-05,15:19:00,12150,12150,12100,12100,12140,12150,12135,12100,12002.5,28927,10207.6,7918.25,5245.367,5855.633
2022-04-05,15:18:00,12150,12150,12100,12150,12150,12155,12132.5,12099.17,11999.17,2034,8034.2,6889.35,4960.65,5626.742
2022-04-05,15:17:00,12200,12200,12100,12100,12150,12155,12127.5,12098.33,11995.42,10212,7848.4,6934.45,4977.283,5621.683
2022-04-05,15:16:00,12100,12200,12100,12200,12160,12160,12127.5,12098.33,11992.5,6671,6436.4,6530.35,4857.033,5540.367
2022-04-05,15:15:00,12150,12150,12100,12150,12150,12155,12122.5,12095.83,11988.33,3194,6147,6371.35,4847.367,5499.3
2022-04-05,15:14:00,12150,12200,12100,12150,12160,12155,12117.5,12095,11985,18060,6473.8,6390.4,4882.4,5482.875
2022-04-05,15:13:00,12150,12200,12150,12150,12160,12150,12112.5,12095,11982.08,1105,3944.8,5618.6,4671.017,5342.317
2022-04-05,15:12:00,12150,12200,12150,12150,12160,12145,12107.5,12094.17,11978.75,3152,9136,5679.35,4766.917,5341.825
2022-04-05,15:11:00,12200,12200,12150,12150,12160,12140,12102.5,12093.33,11975.83,5224,9007,5765.55,4836.95,5332.833
2022-04-05,15:10:00,12200,12200,12150,12200,12160,12130,12097.5,12092.5,11972.5,4828,8207.4,5649.85,5039.233,5297.458
2022-04-05,15:09:00,12150,12200,12150,12150,12150,12120,12092.5,12091.67,11968.75,5415,7931.8,5547.5,5538.35,5261.6
2022-04-05,15:08:00,12150,12200,12100,12150,12140,12110,12090,12089.17,11965.42,27061,10032,5453.85,5481.1,5244.425
2022-04-05,15:07:00,12100,12150,12100,12150,12130,12100,12085,12087.5,11962.08,2507,6159.8,4313.75,5127.133,5023.875
2022-04-05,15:06:00,12100,12150,12100,12150,12120,12095,12082.5,12085,11959.17,1226,6700.6,4327.05,5168.133,5018.475
2022-04-05,15:05:00,12100,12150,12100,12150,12100,12090,12080,12082.5,11956.25,3450,7204.2,4451.9,5181.7,5015.783
2022-04-05,15:04:00,12100,12150,12050,12100,12090,12080,12077.5,12080,11952.92,15916,7059.8,4440.35,5186.85,5033.65
2022-04-05,15:03:00,12050,12100,12050,12100,12080,12075,12077.5,12078.33,11950,7700,5546.4,3829.55,5039.9,4914.342
2022-04-05,15:02:00,12050,12100,12050,12100,12070,12070,12077.5,12076.67,11947.5,5211,4593.6,3628.15,4947.9,4870.608
2022-04-05,15:01:00,12050,12100,12050,12050,12070,12065,12077.5,12075,11944.17,3744,3977.4,3514.55,4918.9,4830.367
2022-04-05,15:00:00,12050,12100,12050,12100,12080,12065,12080,12073.33,11941.67,2728,3926.8,3643.8,4900.9,4816.942
2022-04-05,14:59:00,12100,12100,12000,12050,12070,12065,12080,12071.67,11939.17,8349,4096.2,3700.45,4921.95,4801.283
2022-04-05,14:58:00,12050,12100,12050,12050,12070,12070,12082.5,12070.83,11936.67,2936,2951.2,3622.85,4838.733,4738.25
2022-04-05,14:57:00,12100,12100,12100,12100,12070,12070,12085,12069.17,11934.17,2130,2828,3633,4838.967,4726.625
2022-04-05,14:56:00,12100,12100,12050,12100,12060,12070,12085,12066.67,11931.25,3491,3377.2,4052.8,4869.85,4738.517
2022-04-05,14:55:00,12000,12100,12000,12050,12050,12070,12087.5,12063.33,11928.33,3575,3261,3908,4858.7,4710.758
2022-04-05,14:54:00,12050,12050,12000,12050,12060,12075,12090,12061.67,11925.83,2624,3102.2,3823.25,4837.117,4688.05
2022-04-05,14:53:00,12050,12050,12000,12050,12070,12080,12092.5,12060,11923.33,2320,3285.8,3750.3,4861.65,4672.1
2022-04-05,14:52:00,12050,12100,12000,12050,12070,12085,12095,12059.17,11920.42,4876,3673.6,3812.25,5051.7,4668.15
2022-04-05,14:51:00,12100,12100,12050,12050,12080,12090,12100,12058.33,11917.92,2910,3253,4349.95,5027.45,4713.325
2022-04-05,14:50:00,12100,12100,12050,12100,12090,12095,12100,12057.5,11915.42,2781,3415.6,4401.6,5041.883,4691.05
2022-04-05,14:49:00,12100,12100,12050,12100,12090,12095,12097.5,12055.83,11912.92,3542,3503.2,4369.45,5176.9,4668.175
2022-04-05,14:48:00,12100,12150,12050,12050,12090,12095,12097.5,12053.33,11910,4259,3534.8,4275.25,5151.117,4648.8
2022-04-05,14:47:00,12100,12150,12100,12100,12100,12100,12100,12051.67,11907.92,2773,3417.4,4225.5,5129.167,4621.558
2022-04-05,14:46:00,12100,12100,12050,12100,12100,12100,12097.5,12048.33,11905,3723,3450.6,4244.95,5154.817,4602.308
2022-04-05,14:45:00,12100,12150,12050,12100,12100,12105,12095,12045.83,11902.5,3219,3971.8,4298.15,5223.667,4573.725
2022-04-05,14:44:00,12100,12100,12100,12100,12100,12105,12095,12042.5,11899.58,3700,4100.2,4250.4,5288.617,4557.042
2022-04-05,14:43:00,12050,12100,12050,12100,12100,12105,12095,12039.17,11897.08,3672,4719.6,4173,5260.833,4535.358
2022-04-05,14:42:00,12100,12100,12050,12100,12100,12105,12092.5,12035.83,11894.17,2939,4613,4296.5,5375.7,4510.383
2022-04-05,14:41:00,12100,12100,12050,12100,12100,12110,12092.5,12033.33,11891.67,6329,6130.4,4269.85,5517.883,4488.333
2022-04-05,14:40:00,12100,12100,12050,12100,12110,12105,12090,12030,11889.17,3861,4983.6,4165.25,5463.083,4439.042
