날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-06,15:35:00,2880,2880,2880,2880,2889,2882,2870.5,2853.917,2847.5,33542,98840.8,41964.7,24226.32,25950.73
2022-04-06,15:30:00,2880,2880,2880,2880,2889,2881,2869,2853.25,2847.083,197992,97933.8,41331.7,23817.62,25703.68
2022-04-06,15:19:00,2895,2910,2895,2900,2888,2879.5,2868,2852.583,2846.667,118563,63353.6,31991.7,20572.33,24105.86
2022-04-06,15:18:00,2890,2900,2890,2900,2882,2876,2866,2851.75,2846.083,62837,49684.6,27219.05,18808.98,23181.8
2022-04-06,15:17:00,2880,2890,2875,2885,2877,2873,2864.5,2850.917,2845.458,81270,41413,24587.55,17944.28,22760.61
2022-04-06,15:16:00,2875,2880,2875,2880,2875,2870.5,2863.5,2850.417,2844.833,29007,28798.8,21180.55,16619.82,22116.37
2022-04-06,15:15:00,2870,2875,2870,2875,2873,2868.5,2862.75,2849.75,2844.167,25091,27500.4,20959.85,16585.87,21903.64
2022-04-06,15:14:00,2875,2875,2865,2870,2871,2866,2861.5,2849.25,2843.5,50218,29488.2,20878.45,16412.62,22098.44
2022-04-06,15:13:00,2875,2875,2865,2875,2870,2864.5,2861.25,2848.833,2842.917,21479,26939.4,19530.85,15608.58,22074.32
2022-04-06,15:12:00,2870,2875,2865,2875,2869,2861.5,2860.5,2848.25,2842.417,18199,28702,20742,15301.23,21940.06
2022-04-06,15:11:00,2865,2875,2860,2870,2866,2859,2859.25,2847.75,2841.958,22515,26590.8,20304.45,15028.53,21830.75
2022-04-06,15:10:00,2865,2870,2855,2865,2864,2857,2858.25,2847.333,2841.542,35030,25480,19621,14805.17,21695.45
2022-04-06,15:09:00,2870,2880,2865,2865,2861,2856.5,2857.5,2846.833,2841.208,37474,21469,19359.35,14301.05,21490.36
2022-04-06,15:08:00,2855,2870,2855,2870,2859,2856,2856.25,2846.333,2840.958,30292,15501.4,17629.1,13910.95,21318.53
2022-04-06,15:07:00,2860,2865,2855,2860,2854,2856,2854.75,2845.833,2840.667,7643,10264.2,16445.75,13799.45,21083.35
2022-04-06,15:06:00,2850,2860,2850,2860,2852,2856.5,2853.5,2845.75,2840.458,16961,13628.4,16268,13810.97,21052.08
2022-04-06,15:05:00,2850,2855,2845,2850,2850,2857,2852.5,2845.417,2840.25,14975,14412.6,16319.75,13666.2,20956.66
2022-04-06,15:04:00,2850,2855,2845,2855,2852,2857,2852,2845.333,2840.125,7636,13656,16176.6,13667.6,21110.69
2022-04-06,15:03:00,2845,2855,2845,2845,2853,2858,2851.25,2845.25,2840.083,4106,16750.8,16019.5,13760.72,21198.54
2022-04-06,15:02:00,2850,2850,2840,2850,2858,2859.5,2851.25,2845,2840.083,24464,17971,16471.85,13850.38,21462.42
2022-04-06,15:01:00,2860,2860,2845,2850,2861,2859.5,2851,2844.417,2840.167,20882,15704.2,15768.05,13546.47,21580.94
2022-04-06,15:00:00,2860,2865,2850,2860,2864,2859.5,2851,2844,2840.083,11192,16446.4,15469.25,13260.08,21702.78
2022-04-06,14:59:00,2870,2870,2855,2860,2862,2858.5,2850,2843.417,2839.875,23110,18900.6,15043.95,13371.92,21776.25
2022-04-06,14:58:00,2860,2870,2860,2870,2863,2856.5,2849,2842.75,2839.75,10207,18931.8,14274.6,13778.9,21864.37
2022-04-06,14:57:00,2865,2865,2860,2865,2861,2853.5,2847.5,2842.083,2839.458,13130,26030.8,13960.3,13855.85,21923.18
2022-04-06,14:56:00,2850,2875,2850,2865,2858,2850.5,2845.5,2841.583,2839.083,24593,25294.4,13940.05,13756.87,21882.33
2022-04-06,14:55:00,2865,2865,2850,2850,2855,2848,2843.5,2841,2838.667,23463,22145,13842.15,13556.72,21727.72
2022-04-06,14:54:00,2865,2870,2860,2865,2855,2847,2842.5,2840.75,2838.333,23266,23411.8,13400.85,13446.47,21598.92
2022-04-06,14:53:00,2850,2875,2850,2860,2850,2844.5,2840.5,2840.417,2837.917,45702,19332.4,15044.35,13168,21465.34
2022-04-06,14:52:00,2850,2850,2840,2850,2846,2843,2838.5,2840.167,2837.583,9448,11517,14443.05,12670.95,21241.15
2022-04-06,14:51:00,2850,2850,2845,2850,2843,2842.5,2837.75,2840.167,2837.333,8846,10445,16177.15,12839.37,21523.02
2022-04-06,14:50:00,2840,2850,2835,2850,2841,2842.5,2837.5,2840.25,2837.125,29797,12275,16101.15,13645.12,21494.61
2022-04-06,14:49:00,2840,2840,2835,2840,2839,2841.5,2837.5,2840.417,2836.958,2869,8738,15851.5,13385.63,21459.58
2022-04-06,14:48:00,2840,2840,2835,2840,2839,2841.5,2838,2840.333,2836.875,6625,9063,16220.5,14002.43,21578.16
2022-04-06,14:47:00,2840,2840,2835,2835,2840,2841.5,2838.25,2840.333,2836.958,4088,10368.6,16231.3,15106.48,21621.14
2022-04-06,14:46:00,2840,2840,2835,2840,2842,2840.5,2839,2841,2837.042,17996,11628.6,16066.55,16202.78,21909.9
2022-04-06,14:45:00,2840,2840,2835,2840,2844,2839,2839.5,2842,2836.958,12112,11010.6,15782.7,19106.17,21848.39
2022-04-06,14:44:00,2840,2845,2840,2840,2844,2838,2840,2842.917,2836.875,4494,9125.4,15339.55,20562.93,21845.57
2022-04-06,14:43:00,2845,2850,2845,2845,2844,2836.5,2840.5,2843.667,2836.75,13153,9771.2,15330.85,21580.38,21943.48
2022-04-06,14:42:00,2850,2850,2845,2845,2843,2834,2840.5,2844.417,2836.625,10388,7924.8,14775.5,23497.43,22030.08
2022-04-06,14:41:00,2845,2850,2840,2850,2839,2833,2840.25,2844.667,2836.625,14906,8392.2,14946.2,24395.18,22644.75
2022-04-06,14:40:00,2840,2845,2840,2840,2834,2832.5,2839.75,2844.917,2836.583,2686,9938,14651.9,26372.13,22942.22
2022-04-06,14:39:00,2840,2845,2835,2840,2832,2833.5,2839.75,2844.917,2836.375,7723,12328.2,14681.35,26607.7,23083.93
2022-04-06,14:38:00,2825,2840,2825,2840,2829,2834.5,2840.25,2844.833,2836.167,3921,22010.8,14933.3,26622.35,23162.28
2022-04-06,14:37:00,2825,2825,2820,2825,2825,2835,2840.75,2844.833,2835.958,12725,27961.8,15285,26904.02,23435.7
2022-04-06,14:36:00,2830,2830,2820,2825,2827,2837.5,2842.25,2845,2835.625,22635,34242.8,14738.85,26864.73,23371.13
2022-04-06,14:35:00,2820,2845,2820,2830,2831,2840,2843,2844.833,2835.333,14637,31181,14955.6,26637.67,23216.83
2022-04-06,14:34:00,2820,2825,2810,2825,2835,2842,2843.75,2844.583,2835,56136,33214.4,14958.55,26513.72,23134.34
2022-04-06,14:33:00,2830,2830,2820,2820,2840,2844.5,2844.75,2844.5,2834.667,33676,24037,12250.55,25815.25,22718.18
2022-04-06,14:32:00,2845,2845,2830,2835,2845,2847,2845.75,2844.583,2834.417,44130,18670,10718.65,25622.87,22551.11
2022-04-06,14:31:00,2845,2850,2840,2845,2848,2847.5,2846.25,2844.667,2834,7326,10002.6,8604,25741.88,22320.43
2022-04-06,14:30:00,2850,2850,2840,2850,2849,2847,2846.25,2844.75,2833.542,24804,11001.2,8693.35,27535.77,22304.73
2022-04-06,14:29:00,2845,2850,2845,2850,2849,2846,2845.5,2844.167,2833.042,10249,6690.2,7692.3,27487.58,22199.17
2022-04-06,14:28:00,2845,2850,2845,2845,2849,2846,2844.75,2843.583,2832.542,6841,5504.4,7883.25,27422.93,22142.73
2022-04-06,14:27:00,2845,2850,2845,2850,2849,2846.5,2844.5,2843.167,2832.042,793,4545.4,8721.3,27337.57,22113.56
2022-04-06,14:26:00,2850,2855,2850,2850,2847,2847,2844.75,2842.583,2831.5,12319,7147.2,9098.35,27475.93,22302.46
2022-04-06,14:25:00,2850,2850,2845,2850,2845,2846,2844.25,2842.167,2831,3249,6487.4,8896.15,27373.02,22340.28
2022-04-06,14:24:00,2845,2850,2845,2850,2843,2845.5,2844,2841.667,2830.625,4320,6492.6,9486.65,27420.93,22428.13
2022-04-06,14:23:00,2840,2845,2840,2845,2843,2845,2844,2841.333,2830.167,2046,8181,9931.8,27502.78,22478.83
2022-04-06,14:22:00,2840,2845,2835,2840,2844,2844.5,2843.25,2841.167,2829.667,13802,9962.8,10303.8,27740.15,22524.68
2022-04-06,14:21:00,2840,2845,2840,2840,2847,2845,2842,2841.083,2829.208,9020,7562.8,9925.15,27675.15,22493.71
2022-04-06,14:20:00,2850,2850,2840,2840,2847,2845.5,2841.25,2840.917,2828.708,3275,11152.8,9659.1,27589.75,22600.01
2022-04-06,14:19:00,2845,2850,2840,2850,2848,2845,2840.5,2840.75,2828.25,12762,13437,10390.45,27639.38,22677.18
2022-04-06,14:18:00,2850,2855,2850,2850,2847,2843.5,2839,2840.417,2827.708,10955,11279.8,12128.8,27554.62,22632.78
2022-04-06,14:17:00,2850,2855,2850,2855,2845,2842.5,2838,2840,2827.167,1802,9696.4,12322.25,27576.93,22615.87
2022-04-06,14:16:00,2845,2855,2835,2840,2843,2842.5,2837,2839.25,2826.542,26970,9703.4,12591.7,27612.92,22824.42
2022-04-06,14:15:00,2840,2845,2840,2845,2844,2842.5,2836.5,2838.583,2826.167,14696,6132,11872.4,27221.42,22688.13
2022-04-06,14:14:00,2840,2845,2840,2845,2842,2842.5,2836,2837.75,2825.625,1976,4149.4,11980,27784.27,22673.65
2022-04-06,14:13:00,2845,2845,2840,2840,2840,2843,2836,2837,2825.125,3038,6567.8,12209.1,28540.05,22735.41
2022-04-06,14:12:00,2845,2845,2835,2845,2840,2842,2836.25,2836.583,2824.792,1837,10680.6,12851.15,28578.88,22772.5
2022-04-06,14:11:00,2835,2845,2830,2845,2842,2839,2836.5,2836.167,2824.458,9113,11980,13736.95,28632.97,23008.59
2022-04-06,14:10:00,2835,2840,2830,2835,2841,2837,2837,2835.75,2824.208,4783,11812.4,16140.85,28585.73,23374.55
2022-04-06,14:09:00,2840,2845,2830,2835,2843,2836,2838.25,2835.583,2823.75,14068,13867.6,16613.1,28679.67,23587.08
2022-04-06,14:08:00,2850,2850,2835,2840,2846,2834.5,2838.25,2835.583,2823.417,23602,13698.6,17903.55,28726.1,23675.01
2022-04-06,14:07:00,2835,2855,2835,2855,2844,2833.5,2838.25,2835.5,2822.917,8334,10875.4,20366.85,28367.25,23610.53
2022-04-06,14:06:00,2840,2845,2835,2840,2836,2831.5,2839.25,2835.167,2822.167,8275,10454.4,23443.45,28293.2,23844.58
2022-04-06,14:05:00,2850,2865,2840,2845,2833,2830.5,2842.25,2835.083,2821.542,15059,9539.2,32639.65,28247.12,23857.63
2022-04-06,14:04:00,2830,2870,2825,2850,2829,2829.5,2844.75,2834.917,2820.833,13223,10107.8,36862.6,28553.78,23972.97
2022-04-06,14:03:00,2825,2830,2820,2830,2823,2829,2846.5,2834.917,2820.25,9486,16969,39478.5,28636.37,24395.12
2022-04-06,14:02:00,2830,2830,2815,2815,2823,2830.5,2849.5,2835.167,2819.875,6229,18036.6,45413,29074.45,24810.63
2022-04-06,14:01:00,2830,2830,2825,2825,2827,2834,2851.75,2835.917,2819.5,3699,18229,48314.2,29615.42,25227.95
2022-04-06,14:00:00,2820,2830,2810,2825,2828,2837,2853.75,2836.167,2818.792,17902,20006,54805.4,30145.47,25551.25
2022-04-06,13:59:00,2830,2830,2810,2820,2830,2840.5,2854.5,2836.333,2818.167,47529,19795.2,54751.3,30180.58,28296.43
2022-04-06,13:58:00,2830,2835,2825,2830,2835,2842,2855.25,2836.75,2817.375,14824,11601,52804.95,29949.83,29532.81
2022-04-06,13:57:00,2835,2835,2830,2835,2838,2843,2855.75,2836.833,2816.792,7191,11812,53104.8,29990.5,30280.13
2022-04-06,13:56:00,2840,2840,2830,2830,2841,2847,2855.75,2836.583,2816.333,12584,14284.4,53263.65,30007.8,31135.15
2022-04-06,13:55:00,2845,2845,2830,2835,2846,2854,2855,2836.333,2815.792,16848,23205.8,53085,29898.72,31283.41
2022-04-06,13:54:00,2850,2850,2840,2845,2851,2860,2854,2835.917,2815.25,6558,22681.8,52602.6,29751.37,33095.37
2022-04-06,13:53:00,2855,2860,2835,2845,2849,2864,2852.75,2835.417,2814.917,15879,29345.6,52986.1,29762.68,33982.52
2022-04-06,13:52:00,2860,2860,2850,2850,2848,2868.5,2851.75,2835,2814.708,19553,40743.4,53298.8,29811.35,34187.47
2022-04-06,13:51:00,2860,2870,2840,2855,2853,2869.5,2851.25,2834.5,2814.5,57191,50806,54884.7,30206.67,34290.86
2022-04-06,13:50:00,2845,2860,2840,2860,2862,2870.5,2851,2834,2814.25,14228,77807.6,57773.1,29344.1,34374.13
2022-04-06,13:49:00,2840,2850,2835,2835,2869,2868.5,2848.75,2833.5,2813.958,39877,94865.6,58157.35,29533.53,35068.84
2022-04-06,13:48:00,2875,2875,2835,2840,2879,2868.5,2847.75,2833.417,2814.042,72868,99998.4,56482,29153.88,34865.99
2022-04-06,13:47:00,2905,2905,2870,2875,2889,2868.5,2846.75,2833.583,2814.125,69866,111060,52924.55,28135.8,34611.76
2022-04-06,13:46:00,2895,2920,2890,2900,2886,2864.5,2843.75,2833.083,2813.875,192199,109937.4,49886,27617.02,34150.48
2022-04-06,13:45:00,2880,2895,2880,2895,2879,2856,2840,2831.917,2813.5,99518,98202.2,40583.25,24590.62,32774.15
2022-04-06,13:44:00,2890,2890,2870,2885,2868,2848,2836.25,2830.833,2813.083,65541,81662.6,35913.55,23128.2,32457.14
2022-04-06,13:43:00,2870,2890,2870,2890,2858,2841.5,2833.5,2829.833,2812.917,128176,70274.8,33098.05,22306.57,32054.63
2022-04-06,13:42:00,2865,2870,2860,2860,2848,2835,2830.75,2828.833,2812.792,64253,48803.8,27503.65,20562.73,31263.47
2022-04-06,13:41:00,2840,2870,2840,2865,2843,2833,2829.5,2828.583,2812.958,133523,38026.8,24786.1,20894.32,31123.84
2022-04-06,13:40:00,2835,2840,2825,2840,2833,2831.5,2827.75,2828.25,2813.167,16820,13124.4,18304.75,19512.3,30553.78
2022-04-06,13:39:00,2835,2845,2835,2835,2828,2829,2827.25,2827.833,2813.792,8602,11200.4,17776.4,19560.17,31832.42
2022-04-06,13:38:00,2835,2845,2830,2840,2825,2827,2827,2827.5,2814.333,20821,12325.6,17730.1,19702.2,32534.48
2022-04-06,13:37:00,2815,2835,2810,2835,2822,2825,2826.25,2827.083,2814.542,10368,12588,17303.75,19967.38,32557.83
2022-04-06,13:36:00,2820,2820,2810,2815,2823,2823,2825,2826.25,2814.708,9011,20768.6,16983.4,19877.52,32482.2
2022-04-06,13:35:00,2815,2820,2815,2815,2830,2824,2824.25,2825.833,2815.042,7200,41958.2,16706.85,19796,32535.56
2022-04-06,13:34:00,2825,2830,2815,2820,2830,2824.5,2823.25,2825.417,2815.292,14228,44900.8,18770.2,19754.97,32497.53
2022-04-06,13:33:00,2840,2840,2815,2825,2829,2825.5,2822.25,2824.833,2815.417,22133,43329.2,20424.95,19621.1,32445.65
2022-04-06,13:32:00,2850,2860,2840,2840,2828,2826.5,2821.75,2824.25,2815.542,51271,39246.4,19586.7,19479.35,32278.75
2022-04-06,13:31:00,2815,2860,2815,2850,2823,2826,2820.75,2823.333,2815.542,114959,30811.2,17277.25,18898.98,31871.8
2022-04-06,13:30:00,2815,2820,2805,2815,2818,2824,2819.25,2822.333,2815.458,21913,9048.2,11843.25,17073.7,31074.63
2022-04-06,13:29:00,2815,2820,2810,2815,2819,2825.5,2819.75,2821.917,2815.667,6370,5890.4,11268.55,16910.75,30930.88
2022-04-06,13:28:00,2815,2820,2815,2820,2822,2827,2820.75,2821.5,2815.875,1719,6462.6,11792.75,16862.53,30959.87
2022-04-06,13:27:00,2825,2825,2815,2815,2825,2827.5,2821.5,2820.917,2816.042,9095,9376.4,11810.35,16889.55,31054.38
2022-04-06,13:26:00,2825,2830,2820,2825,2829,2827,2822.5,2820.417,2816.25,6144,9537.8,11550.15,17128.98,31083.02
2022-04-06,13:25:00,2830,2830,2820,2820,2830,2824.5,2823,2819.833,2816.417,6124,9088.2,11518.45,17307.53,31174.22
2022-04-06,13:24:00,2840,2840,2830,2830,2832,2822,2823.75,2819.583,2816.667,9231,9114,12885.2,17435.33,31171.58
2022-04-06,13:23:00,2835,2840,2830,2835,2832,2819,2824.75,2819,2816.833,16288,8803,13332.55,17454.88,31104.16
