날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-06,15:35:00,4005,4005,4005,4005,3952,3922,3903,3874.333,3830.5,91482,180749.4,59621.5,39140.85,30693.46
2022-04-06,15:30:00,4005,4005,4005,4005,3930,3910,3897.75,3871.167,3829.333,353624,166723.6,56069,37767.32,30559.41
2022-04-06,15:19:00,3895,3965,3890,3960,3908,3898.5,3891.25,3868,3828.292,352748,102125.4,38858.5,32204.88,28100.84
2022-04-06,15:18:00,3890,3895,3885,3895,3895,3891.5,3887,3865.417,3827.583,57120,33923.4,22433.4,26719.77,25846.48
2022-04-06,15:17:00,3900,3900,3885,3895,3894,3889.5,3887,3863.833,3827.25,48773,26565,20203.25,25990.77,26505.23
2022-04-06,15:16:00,3895,3900,3895,3895,3892,3887.5,3887,3862,3827.125,21353,18287.2,18125.15,25342.28,28667.35
2022-04-06,15:15:00,3890,3900,3890,3895,3890,3885.5,3887,3860,3827.375,30633,17537.2,18016.55,25155.28,31063.08
2022-04-06,15:14:00,3895,3895,3890,3895,3889,3884.5,3886.75,3858,3828.375,11738,14134.4,17506.4,24731,31279.65
2022-04-06,15:13:00,3890,3895,3885,3890,3888,3883,3886.25,3856,3829.292,20328,17290,17808.75,24799.2,31963.14
2022-04-06,15:12:00,3880,3890,3880,3885,3885,3883,3886.75,3853.833,3830.333,7384,16364.2,18308.25,24570.57,33369.23
2022-04-06,15:11:00,3895,3895,3880,3885,3883,3884,3887.5,3851.75,3831.667,17603,20058.6,18934.55,24514.87,35177.15
2022-04-06,15:10:00,3895,3895,3890,3890,3881,3885.5,3888.25,3849.667,3832.958,13619,18364.6,19161.05,24236.33,36908.5
2022-04-06,15:09:00,3880,3895,3880,3890,3880,3884,3888,3847.583,3834.333,27516,19066,19346.85,24077.73,41270.24
2022-04-06,15:08:00,3875,3880,3870,3875,3878,3882.5,3888.25,3845.583,3835.333,15699,17825.6,19078.1,23715.75,43335.25
2022-04-06,15:07:00,3875,3875,3865,3875,3881,3884.5,3889.5,3843.75,3835.75,25856,17245.6,20240.6,23712.62,43258.96
2022-04-06,15:06:00,3880,3885,3875,3875,3885,3886.5,3891.5,3842,3836.167,9133,19390.8,22461.45,23568.03,43173.59
2022-04-06,15:05:00,3880,3890,3875,3885,3890,3888.5,3890.75,3840.333,3836.708,17126,21650.6,26375.05,23601.12,43223.42
2022-04-06,15:04:00,3890,3895,3880,3880,3888,3889,3892.25,3838.5,3837.167,21314,20108.2,38709.55,23467.68,43245.52
2022-04-06,15:03:00,3895,3900,3890,3890,3887,3889.5,3890.75,3836.75,3837.667,12799,20694.6,38259.75,23254.05,43239.7
2022-04-06,15:02:00,3900,3905,3895,3895,3888,3890.5,3889.25,3834.667,3838.083,36582,20638.2,38437.35,23100.13,43662.46
2022-04-06,15:01:00,3875,3900,3875,3900,3888,3891,3887.25,3832.5,3838.292,20432,14764,36930.6,22564.17,43486.61
2022-04-06,15:00:00,3875,3875,3870,3875,3887,3891,3884.75,3830.167,3838.458,9414,14513.8,36130.6,22299.63,43358.71
2022-04-06,14:59:00,3895,3900,3870,3875,3890,3892,3883.5,3828.417,3838.667,24246,16717,35992.15,22222.98,43374.92
2022-04-06,14:58:00,3895,3900,3895,3895,3892,3894,3882.5,3826.667,3838.875,12517,15424.8,35459.45,21846.58,43299.32
2022-04-06,14:57:00,3895,3900,3890,3895,3893,3894.5,3880,3824.333,3838.958,7211,18985,36829,21727.78,43221.76
2022-04-06,14:56:00,3890,3900,3880,3895,3894,3896.5,3878.5,3821.917,3839.042,19181,21524.8,37043.3,22035.23,43265.35
2022-04-06,14:55:00,3885,3895,3865,3890,3895,3893,3877,3819.667,3839.125,20430,22115.2,36954.1,21942.25,43185.75
2022-04-06,14:54:00,3890,3900,3875,3885,3894,3895.5,3875.75,3817.417,3839.292,17785,21496.2,39232.75,21897.33,43088.78
2022-04-06,14:53:00,3900,3905,3885,3900,3896,3892,3874.75,3815.667,3839.5,30318,22367.4,39525.6,22080.95,42960.57
2022-04-06,14:52:00,3900,3905,3890,3900,3896,3888,3872.25,3813.833,3839.667,19910,24093.6,38811.35,21756.98,42750.48
2022-04-06,14:51:00,3890,3905,3885,3900,3899,3883.5,3869.25,3811.833,3839.833,22133,34166.2,39482.65,21519.72,42632.04
2022-04-06,14:50:00,3895,3900,3885,3885,3891,3878.5,3867.75,3809.833,3839.917,17335,47220.6,44060.2,21299.27,42630.56
2022-04-06,14:49:00,3895,3905,3890,3895,3897,3875,3863.5,3807.917,3840.125,22141,96516.8,43463.3,21207.05,42971.98
2022-04-06,14:48:00,3915,3920,3890,3900,3888,3871,3858.75,3805.917,3840.417,38949,94552.2,42472.05,21332.7,42963.85
2022-04-06,14:47:00,3870,3925,3865,3915,3880,3865.5,3854,3803.75,3840.667,70273,90032.6,40810.5,20985.47,42781.81
2022-04-06,14:46:00,3920,3920,3855,3860,3868,3860.5,3848.25,3801.083,3840.792,87405,77267.4,37656.75,20026.98,42412.58
2022-04-06,14:45:00,3850,3940,3850,3915,3866,3861,3845.25,3799.333,3841.375,263816,60672.8,33729.25,18701.93,42239.03
2022-04-06,14:44:00,3860,3860,3850,3850,3853,3856,3839.75,3796.75,3841.583,12318,9238.6,21176.05,14667.55,40404.88
2022-04-06,14:43:00,3855,3860,3850,3860,3854,3857.5,3837.75,3795.083,3842.208,16351,9493.4,20628.75,15040.6,40504.85
2022-04-06,14:42:00,3855,3855,3850,3855,3851,3856.5,3835,3793.25,3842.75,6447,14204.8,20264.4,15321.73,40772.05
2022-04-06,14:41:00,3850,3855,3850,3850,3853,3855,3832.75,3791.833,3843.083,4432,15214.8,20870.45,16242.12,40727.23
2022-04-06,14:40:00,3855,3855,3850,3850,3856,3857,3831,3790.417,3843.417,6645,17807.8,21102.35,17375.13,40721.67
2022-04-06,14:39:00,3845,3860,3845,3855,3859,3852,3829.25,3789.583,3843.75,13592,29679.4,21764,17830.25,40731.47
2022-04-06,14:38:00,3860,3865,3835,3845,3861,3846.5,3826.75,3788.917,3844.042,39908,31689.4,22266.45,17760.63,40674.73
2022-04-06,14:37:00,3860,3865,3860,3865,3862,3842.5,3824.5,3788.5,3844.458,11497,26914.4,20940.05,17275.63,40351.33
2022-04-06,14:36:00,3865,3870,3860,3865,3857,3836,3820.5,3787.667,3844.667,17397,31282.2,20858.4,17168.5,40312.63
2022-04-06,14:35:00,3860,3875,3860,3865,3858,3829.5,3816,3786.75,3844.792,66003,50539.6,20495.2,17204.42,40184.78
2022-04-06,14:34:00,3845,3865,3845,3865,3845,3823.5,3811.5,3785.667,3844.917,23642,38418.4,17453.85,16530.97,39654.58
2022-04-06,14:33:00,3845,3850,3835,3850,3832,3818,3807,3784.75,3845.042,16033,34153.2,17063.25,16403.57,39608.98
2022-04-06,14:32:00,3870,3875,3830,3840,3823,3813.5,3802.5,3784,3845.375,33336,32090.2,16592.1,16465.13,39481.78
2022-04-06,14:31:00,3805,3880,3800,3870,3815,3810.5,3798.5,3783.667,3845.75,113684,26862.6,15127.4,16222.05,39284.07
2022-04-06,14:30:00,3800,3800,3795,3800,3801,3805,3793,3782.583,3845.875,5397,5896.8,9487.75,14949.52,38400.23
2022-04-06,14:29:00,3805,3805,3795,3800,3802,3806.5,3791.25,3782.833,3846.625,2316,7367.8,9423.05,15328.87,38392.12
2022-04-06,14:28:00,3800,3805,3795,3805,3804,3807,3789.75,3783.167,3847.458,5718,7179,9597.1,15435.88,38410.08
2022-04-06,14:27:00,3795,3805,3795,3800,3804,3806.5,3787.75,3783.333,3848.25,7198,7848.2,10086.75,16118.05,38384.4
2022-04-06,14:26:00,3805,3805,3800,3800,3806,3805,3786.25,3784,3849.083,8855,10122.2,10585.9,16390.58,38339.35
2022-04-06,14:25:00,3810,3810,3800,3805,3809,3802.5,3785,3784.25,3849.875,12752,10165.2,10699.05,17406.72,38313.7
2022-04-06,14:24:00,3805,3810,3805,3810,3811,3799.5,3783.5,3784.583,3850.625,1372,11590.4,10517.45,18178.85,38295.95
2022-04-06,14:23:00,3810,3810,3800,3805,3810,3796,3781.75,3785.25,3851.375,9064,16044.2,10873.65,18836.7,38330.8
2022-04-06,14:22:00,3815,3815,3810,3810,3809,3791.5,3779.75,3786.083,3852.208,18568,16907.4,10598.65,19672.48,38316.08
2022-04-06,14:21:00,3815,3815,3810,3815,3804,3786.5,3777.5,3786.667,3852.958,9070,15166.6,9891.45,22246.07,38182.53
2022-04-06,14:20:00,3805,3815,3805,3815,3796,3781,3774.75,3787.5,3853.708,19878,15379.2,9665.95,23351.5,38314.85
2022-04-06,14:19:00,3800,3815,3800,3805,3788,3776,3772.5,3788.583,3854.5,23641,12438.8,8912.8,23996.8,38377.68
2022-04-06,14:18:00,3785,3800,3785,3800,3782,3772.5,3770.75,3789.75,3855.375,13380,10876.6,7813.85,24973.18,38273.61
2022-04-06,14:17:00,3775,3785,3775,3785,3774,3769,3768.5,3790.667,3856.292,9864,9522.6,7414.3,27019.68,38290.13
