날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-07,15:35:00,16450,16450,16450,16450,16380,16460,16705,16349.17,16403.33,32999,95173.4,89877.05,61238.07,52999.13
2022-04-07,15:30:00,16450,16450,16450,16450,16390,16500,16732.5,16341.67,16408.75,110088,98837.2,100827.8,60893.07,52856.16
2022-04-07,15:19:00,16300,16550,16300,16550,16430,16545,16765,16332.5,16414.17,101105,88331.8,107730.3,59328.25,52069.87
2022-04-07,15:18:00,16200,16350,16000,16300,16420,16575,16775,16321.67,16418.75,106226,77105.2,105699.1,58193.37,51481.08
2022-04-07,15:17:00,16550,16550,16050,16150,16470,16650,16792.5,16314.17,16425.42,125449,71493.6,103155.6,57163.6,50753.38
2022-04-07,15:16:00,16650,16700,16400,16500,16540,16750,16815,16310.83,16434.58,51318,76591,106775.8,55495.42,49809.07
2022-04-07,15:15:00,16550,16800,16500,16650,16610,16780,16807.5,16300.83,16440.83,57561,73485.4,107333.2,54993.2,49418.71
2022-04-07,15:14:00,16600,16600,16450,16500,16660,16810,16800,16288.33,16445.42,44972,67634.6,111919.6,54788.23,48966.35
2022-04-07,15:13:00,16500,16750,16350,16550,16730,16870,16790,16281.67,16451.67,78168,69744.2,113434.2,55183.13,48666.56
2022-04-07,15:12:00,16900,16900,16250,16500,16830,16915,16762.5,16275,16458.33,150936,69284.8,111172.2,54512.68,48116.93
2022-04-07,15:11:00,16900,16900,16800,16850,16960,16950,16727.5,16268.33,16465,35790,56472.4,105312.7,53198.55,46930.2
2022-04-07,15:10:00,16900,16900,16750,16900,16950,16965,16667.5,16254.17,16467.92,28307,76197.6,105878.6,54043.82,46676.33
2022-04-07,15:09:00,17000,17050,16750,16850,16960,16985,16612.5,16236.67,16470.42,55520,84318.2,105831.9,55127.22,46515.17
2022-04-07,15:08:00,17150,17200,16950,17050,17010,16975,16567.5,16218.33,16473.75,75871,110882.8,103572.5,57027.68,46163.68
2022-04-07,15:07:00,16800,17150,16650,17150,17000,16935,16507.5,16195.83,16475,86874,121587.4,100358,58400.87,45608.1
2022-04-07,15:06:00,16900,16950,16500,16800,16940,16880,16442.5,16175.83,16476.25,134416,131271.4,96756.05,57754.38,44972.28
2022-04-07,15:05:00,17150,17150,16900,16950,16980,16835,16395,16162.5,16480,68910,154790.8,90898.85,56100.9,43965.89
2022-04-07,15:04:00,17000,17300,16950,17100,17010,16790,16347.5,16148.33,16482.08,188343,190636.4,88159.15,56282.7,43601.13
2022-04-07,15:03:00,16900,17000,16650,17000,16940,16710,16287.5,16132.5,16482.92,129394,165064.2,80373.95,55207.22,42131.44
2022-04-07,15:02:00,17000,17150,16850,16850,16870,16610,16227.5,16117.5,16485,135294,150256.6,75619.95,54319.03,41146.72
2022-04-07,15:01:00,17100,17350,17000,17000,16820,16505,16180,16106.67,16489.17,252013,162768.4,69893.5,53173.45,40126.51
2022-04-07,15:00:00,16700,17100,16650,17100,16690,16370,16132.5,16095.83,16491.67,248138,124858.8,57699.15,49765.85,38170.47
2022-04-07,14:59:00,16600,16750,16600,16750,16570,16240,16082.5,16085,16493.33,60482,105089.2,45664.1,45963.03,36240.44
2022-04-07,14:58:00,16600,16700,16550,16650,16480,16160,16050,16081.67,16498.33,55356,108045.6,43155.9,45091.72,35918.41
2022-04-07,14:57:00,16400,16750,16350,16600,16350,16080,16025,16080,16503.33,197853,103559.8,40988.35,44728.47,35604.29
2022-04-07,14:56:00,16450,16550,16300,16350,16190,16005,15992.5,16080.83,16508.33,62465,70738.4,32014.6,41652.62,34327.22
2022-04-07,14:55:00,16300,16500,16250,16500,16050,15955,15977.5,16084.17,16517.5,149290,67667,29837.25,40717.08,33977.74
2022-04-07,14:54:00,16000,16300,15950,16300,15910,15905,15957.5,16085,16525.42,75264,43283.8,23925.55,38395.52,32811.2
2022-04-07,14:53:00,15700,16000,15700,16000,15840,15865,15950,16089.17,16535,32927,30297.4,20775.95,37326.57,32375.22
2022-04-07,14:52:00,15600,15800,15600,15800,15810,15845,15960,16097.5,16547.08,33746,26028,19955.85,37060.72,32268.53
2022-04-07,14:51:00,15800,15800,15600,15650,15820,15855,15982.5,16109.17,16560.83,47108,22246,19114.85,36803.45,32364.73
2022-04-07,14:50:00,15900,15950,15750,15800,15860,15895,16012.5,16125.83,16577.08,27374,16278.8,18926.7,36394.02,32038.05
2022-04-07,14:49:00,15900,15950,15850,15950,15900,15925,16042.5,16141.67,16591.67,10332,13627.2,19739.95,36019.88,31889.39
2022-04-07,14:48:00,15850,15900,15800,15850,15890,15940,16060,16154.17,16605.42,11580,18088.6,20706,36080.22,32010.03
2022-04-07,14:47:00,15850,15900,15800,15850,15880,15970,16082.5,16170,16619.58,14836,22635.4,22301.3,36202.17,32155.8
2022-04-07,14:46:00,16000,16050,15850,15850,15890,15980,16100,16185,16634.58,17272,23821.2,22305.7,36725.6,32211.02
2022-04-07,14:45:00,15950,16000,15900,16000,15930,16000,16110,16197.5,16649.58,14116,21992,22737.35,36620.32,32195.05
2022-04-07,14:44:00,15800,15950,15750,15900,15950,16010,16117.5,16207.5,16664.17,32639,20656.2,23156.05,36753.52,32497.08
2022-04-07,14:43:00,15900,15950,15800,15800,15990,16035,16135,16219.17,16679.17,34314,16192,24070.4,36469.6,32511.64
2022-04-07,14:42:00,16000,16050,15900,15900,16060,16075,16152.5,16232.5,16695,20765,11730.2,23643,36578.42,32468.18
2022-04-07,14:41:00,16100,16150,16000,16050,16070,16110,16162.5,16242.5,16709.58,8126,11252.8,23943.65,37035.87,32614.21
2022-04-07,14:40:00,16150,16150,16050,16100,16070,16130,16160,16254.17,16723.75,7437,13411.2,24152.3,37926.78,33183.45
2022-04-07,14:39:00,16150,16150,16100,16100,16070,16160,16150,16263.33,16735.83,10318,18135,24590.4,39893.2,33316.28
2022-04-07,14:38:00,16000,16150,15950,16150,16080,16180,16140,16268.33,16747.92,12005,18525.8,25725.1,40315.3,33603.33
2022-04-07,14:37:00,16050,16100,15950,15950,16090,16195,16125,16272.5,16759.58,18378,19429.8,27346.85,42447.87,33964.9
2022-04-07,14:36:00,16100,16100,16000,16050,16150,16220,16125,16281.67,16773.75,18918,19139.4,27695.85,43242.18,34769.63
2022-04-07,14:35:00,16150,16150,16000,16100,16190,16220,16117.5,16292.5,16788.33,31056,24024.8,27809.2,43938.95,35510.48
2022-04-07,14:34:00,16150,16200,16150,16150,16250,16225,16107.5,16303.33,16799.17,12272,26541.4,28519.55,43995.65,35835.45
2022-04-07,14:33:00,16300,16300,16150,16200,16280,16235,16105,16315.83,16810.42,16525,30017.6,31339.25,44139.63,36173.82
2022-04-07,14:32:00,16250,16300,16200,16250,16300,16230,16102.5,16328.33,16820.42,16926,35409.8,32410.05,44011.72,37065.21
2022-04-07,14:31:00,16350,16400,16200,16250,16290,16215,16095,16339.17,16829.17,43345,35009.4,35168.15,43903.03,37280.48
2022-04-07,14:30:00,16300,16400,16200,16400,16250,16190,16082.5,16350,16837.08,43639,31521.4,37326.2,43373.93,37014.61
2022-04-07,14:29:00,16300,16350,16250,16300,16200,16140,16055,16358.33,16843.75,29653,27291.6,39809.8,42916.95,36801.64
2022-04-07,14:28:00,16200,16350,16150,16300,16190,16100,16027.5,16369.17,16850.83,43486,31546.2,46804.55,42704.5,36694.39
2022-04-07,14:27:00,16050,16200,16000,16200,16160,16055,15997.5,16378.33,16857.5,14924,28002.2,52543.35,42221.18,36548.63
2022-04-07,14:26:00,16200,16200,16050,16050,16140,16030,15985,16389.17,16865.42,25905,30373,54201.4,42420.65,36764.61
2022-04-07,14:25:00,16250,16300,16150,16150,16130,16015,15982.5,16402.5,16875.42,22490,27651.8,54666.5,43508.28,37213.78
2022-04-07,14:24:00,16150,16300,16100,16250,16080,15990,15980,16415,16882.92,50926,26393.6,57532.9,44118.93,37422.72
2022-04-07,14:23:00,16100,16150,16050,16150,16010,15975,15975,16425.83,16889.58,25766,22810.8,61177.3,45027.9,37286.45
2022-04-07,14:22:00,16000,16150,16000,16100,15950,15975,15972.5,16440.83,16897.08,26778,26545.6,63694.15,45059.5,37297.78
2022-04-07,14:21:00,15900,16050,15850,16000,15920,15975,15977.5,16457.5,16904.58,12299,26261.6,65683.2,44760.2,37376.48
