날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,6330,6330,6330,6330,6346,6352,6363,6363.167,6449,3491,19420.4,12322.9,9981.933,55094.85
2022-04-08,15:30:00,6330,6330,6330,6330,6352,6355,6366,6363.833,6449.833,63784,21614,12249.25,10044.43,55127.68
2022-04-08,15:19:00,6360,6360,6330,6350,6356,6358,6367.5,6364.167,6450.833,17557,12011.8,9413.25,9664.8,54613.67
2022-04-08,15:18:00,6360,6370,6350,6350,6358,6359,6368,6364.5,6451.75,8849,9735.2,8691.65,9738.467,54538.13
2022-04-08,15:17:00,6360,6370,6360,6370,6360,6362,6370,6365,6452.5,3421,8708.4,8530.55,10963.82,54586.44
2022-04-08,15:16:00,6350,6370,6340,6360,6358,6361,6371,6365.333,6453.333,14459,8349.2,8815.3,12330.23,54703.53
2022-04-08,15:15:00,6360,6360,6340,6350,6358,6362,6373,6366.833,6454.25,15773,8605.2,8963.55,12351.95,54779.94
2022-04-08,15:14:00,6370,6370,6350,6360,6360,6365,6374,6368.167,6455.333,6174,6325.2,8315.4,12281.05,54912.13
2022-04-08,15:13:00,6360,6370,6360,6360,6360,6368,6374.5,6369.167,6455.667,3715,7638.4,8368,12393.73,54874.34
2022-04-08,15:12:00,6360,6380,6360,6360,6364,6371,6375,6370,6456.083,1625,12519.8,8488.2,12827.83,54851.29
2022-04-08,15:11:00,6370,6380,6350,6360,6364,6374,6375.5,6370.833,6456.5,15739,14022,8531.85,13439.7,54838.29
2022-04-08,15:10:00,6380,6380,6350,6360,6366,6377,6376,6372,6457,4373,11450,8021.6,13723.8,54721.95
2022-04-08,15:09:00,6380,6390,6350,6360,6370,6377,6376,6373.333,6457.5,12740,12002.4,8013.5,15240.7,54690.58
2022-04-08,15:08:00,6360,6390,6340,6380,6376,6377,6376.5,6374.5,6457.917,28122,10849.4,7637.7,16302.87,54602.78
2022-04-08,15:07:00,6370,6380,6360,6360,6378,6378,6376,6375.667,6458.167,9136,6585,6426.55,16323.65,54377.54
2022-04-08,15:06:00,6380,6380,6370,6370,6384,6381,6376,6377.167,6458.5,2879,7500,6104.9,17214.07,54307.93
2022-04-08,15:05:00,6390,6390,6380,6380,6388,6384,6375.5,6379,6458.75,7135,7327.8,6157.55,18728.55,54286.45
2022-04-08,15:04:00,6390,6390,6380,6390,6384,6383,6374.5,6380.5,6459,6975,7313.6,5936.9,20502.7,54233.29
2022-04-08,15:03:00,6390,6400,6380,6390,6378,6381,6373,6382.833,6459.167,6800,6543.6,6288,23054.55,54181.19
2022-04-08,15:02:00,6390,6400,6380,6390,6378,6379,6371.5,6384.833,6459.417,13711,6309,6040.15,27060.45,54141.35
2022-04-08,15:01:00,6380,6390,6370,6390,6378,6377,6370.5,6388.333,6459.583,2018,5390,5831.55,32398.4,54043.18
2022-04-08,15:00:00,6370,6380,6350,6360,6380,6375,6369.5,6395.333,6459.833,7064,8471.2,6168.3,33287.03,54054.39
2022-04-08,14:59:00,6390,6390,6360,6360,6382,6375,6370.5,6404,6460.5,3125,7620.4,6617.25,35783.87,54008.38
2022-04-08,14:58:00,6380,6400,6370,6390,6384,6376,6369.5,6410.667,6461.167,5627,8440.6,6621.35,38179.62,54050.68
2022-04-08,14:57:00,6400,6410,6380,6390,6380,6374,6366,6417.667,6461.5,9116,8539,7677.05,39298.57,54005.57
2022-04-08,14:56:00,6370,6400,6360,6400,6376,6371,6363.5,6425.667,6461.667,17424,7215.4,7899.7,40907.38,53957.72
2022-04-08,14:55:00,6370,6370,6360,6370,6370,6367,6361,6434.833,6461.75,2810,4837.4,7287.25,43515.68,53822.4
2022-04-08,14:54:00,6380,6380,6360,6370,6368,6366,6360,6443.667,6462,7226,5117.6,8107.25,45865.17,53828.79
2022-04-08,14:53:00,6370,6370,6360,6370,6368,6365,6358,6452.833,6462.417,6119,4717.2,9254.4,53234.27,53774.41
2022-04-08,14:52:00,6370,6370,6360,6370,6368,6364,6357,6459.833,6462.833,2498,4273.2,9293.05,56086.88,53819.2
2022-04-08,14:51:00,6370,6380,6360,6370,6366,6364,6356.5,6468.667,6463.417,5534,4314.2,9613.3,60697.97,53902.66
2022-04-08,14:50:00,6370,6380,6360,6360,6364,6364,6355.5,6475.167,6463.75,4211,3993.8,9482.4,72615.8,53977.92
2022-04-08,14:49:00,6370,6370,6360,6370,6364,6366,6355,6485,6464,5224,3696,9956.85,82508.7,53953.69
2022-04-08,14:48:00,6360,6370,6360,6370,6362,6363,6354.5,6495,6464.167,3899,5450.6,10039.7,87056.33,53939.08
2022-04-08,14:47:00,6360,6370,6360,6360,6360,6358,6354.5,6503.667,6464.333,2703,5039.4,10340.4,99633.43,53917.83
2022-04-08,14:46:00,6370,6370,6360,6360,6362,6356,6355,6508.333,6464.583,3932,6406.6,10316.8,103936.1,53918.79
2022-04-08,14:45:00,6360,6370,6350,6360,6364,6355,6356,6509.333,6464.667,2722,7370.8,10552.45,103887.5,53888.21
2022-04-08,14:44:00,6370,6370,6330,6360,6368,6354,6356.5,6510,6464.75,13997,10035,10978.85,103847.7,53866.19
2022-04-08,14:43:00,6370,6370,6360,6360,6364,6351,6356,6510.833,6464.833,1843,7877,10742.85,103624,53754.61
2022-04-08,14:42:00,6360,6370,6350,6370,6356,6350,6355.5,6511.667,6465,9539,12856.6,11432.4,103681.7,53758.52
2022-04-08,14:41:00,6390,6390,6360,6370,6350,6349,6356,6512.5,6465.167,8753,13662.6,11791.35,103528.2,53699.63
2022-04-08,14:40:00,6340,6390,6330,6380,6346,6347,6356,6513.5,6465.25,16043,12947,11715.75,103399.9,53637.93
2022-04-08,14:39:00,6340,6350,6330,6340,6340,6344,6354.5,6514,6465.167,3207,13580.4,12963.9,103138.5,53507.06
2022-04-08,14:38:00,6320,6340,6310,6320,6338,6346,6356,6515.333,6465.5,26741,18972.8,13902.4,103094.6,53488.68
2022-04-08,14:37:00,6350,6350,6320,6340,6344,6351,6359,6517,6466,13569,15003,16683.85,102679.6,53276.44
2022-04-08,14:36:00,6330,6360,6330,6350,6348,6354,6361.5,6518.167,6466.25,5175,14069.8,20275.7,102475.9,53175.27
2022-04-08,14:35:00,6330,6350,6320,6350,6348,6357,6366.5,6519.167,6466.417,19210,13618,20805.05,102408.3,53134.8
2022-04-08,14:34:00,6350,6360,6330,6330,6348,6359,6370.5,6520.333,6466.667,30169,12516,20420.5,102200.6,52988.84
2022-04-08,14:33:00,6360,6360,6340,6350,6354,6361,6375,6521.833,6467.083,6892,7858.4,19558.8,101702.4,52792.88
2022-04-08,14:32:00,6350,6360,6340,6360,6358,6361,6378,6523.167,6467.083,8903,8462.6,20702.25,101590.3,52747.43
2022-04-08,14:31:00,6350,6360,6340,6350,6360,6363,6380.5,6524.167,6467,2916,7128.2,22173.95,101489.7,52691.66
2022-04-08,14:30:00,6360,6370,6350,6350,6366,6365,6384.5,6525.667,6467.083,13700,8274,23667.4,101458.6,52693.89
2022-04-08,14:29:00,6370,6370,6350,6360,6370,6365,6389,6527,6467.167,6881,7784,27751.75,101258,52594.79
2022-04-08,14:28:00,6370,6380,6360,6370,6368,6366,6392.5,6527.833,6467.25,9913,8263.2,31231.2,101168.1,52545.28
2022-04-08,14:27:00,6380,6390,6360,6370,6364,6367,6396.5,6528.667,6467.333,2231,9407.4,32204,101026,52476.78
2022-04-08,14:26:00,6370,6380,6350,6380,6366,6369,6400.5,6529.667,6467.417,8645,12304.8,35220.5,101021.1,52470.42
2022-04-08,14:25:00,6360,6370,6340,6370,6364,6376,6405.5,6530.5,6467.333,11250,12024,39475.65,100880.6,52400.27
2022-04-08,14:24:00,6350,6370,6340,6350,6360,6382,6410.5,6531.5,6467.333,9277,17975.2,44592.35,100700.8,52316.32
2022-04-08,14:23:00,6380,6380,6350,6350,6364,6389,6419.5,6532.667,6467.583,15634,20515.2,52132.8,100597.7,52316.15
2022-04-08,14:22:00,6370,6390,6360,6380,6370,6395,6427.5,6534,6467.75,16718,33862.4,63708.8,100409.6,52190.53
2022-04-08,14:21:00,6350,6370,6340,6370,6372,6398,6438.5,6534.833,6467.75,7241,47600,79572.3,100207.8,52086.68
2022-04-08,14:20:00,6370,6370,6330,6350,6388,6404,6460.5,6535.833,6467.833,41006,49304.2,81977.05,100210.9,52037.08
2022-04-08,14:19:00,6380,6380,6350,6370,6404,6413,6487,6537.5,6468.083,21977,43406.8,87770.45,99562.53,51701.26
2022-04-08,14:18:00,6390,6390,6340,6380,6414,6419,6506.5,6539,6468.083,82370,41598.4,94015.1,99337.8,51526.21
2022-04-08,14:17:00,6440,6450,6380,6390,6420,6426,6528,6540,6467.833,85406,31076.6,93534.8,98209.07,50853.43
2022-04-08,14:16:00,6420,6450,6420,6450,6424,6432,6552,6541.333,6467.583,15762,21662.8,94546.75,97076.83,50145.86
2022-04-08,14:15:00,6420,6430,6410,6430,6420,6435,6577,6541.667,6466.917,11519,25067.4,102454.8,97207.93,50074.39
2022-04-08,14:14:00,6420,6430,6410,6420,6422,6439,6600.5,6542.5,6466.417,12935,41841,109067.8,97543.22,50054.01
2022-04-08,14:13:00,6430,6440,6400,6410,6424,6450,6625.5,6542.167,6466.25,29761,54548,130889.6,97354.95,50080.65
2022-04-08,14:12:00,6430,6430,6400,6410,6432,6460,6644.5,6542.167,6465.833,38337,54469.6,138265.4,96874.75,49872.59
2022-04-08,14:11:00,6430,6450,6420,6430,6440,6479,6669,6542.167,6465.417,32785,59314.4,150306.7,96236.88,49570.43
2022-04-08,14:10:00,6430,6450,6400,6440,6450,6517,6685.5,6542,6464.833,95387,71507,184697.6,95720.1,49297.83
2022-04-08,14:09:00,6460,6460,6420,6430,6456,6561,6711,6541.667,6464.167,76470,75146.4,209817.5,94140.47,48535.06
2022-04-08,14:08:00,6450,6480,6440,6450,6476,6594,6738,6541.333,6463.583,29369,91869.6,219898.1,92902.68,47933.03
2022-04-08,14:07:00,6480,6510,6440,6450,6488,6630,6760,6540.667,6462.833,62561,135426.6,256355.9,92431.43,47718.89
2022-04-08,14:06:00,6470,6500,6440,6480,6518,6672,6769.5,6539.833,6462.25,93748,189712,266271.1,91401.8,47229.23
2022-04-08,14:05:00,6530,6550,6440,6470,6584,6719,6766.5,6538.5,6461.25,113584,182029.6,261634.3,89844.35,46460.1
2022-04-08,14:04:00,6510,6550,6470,6530,6666,6762,6763,6537.5,6460.333,160086,190687.6,255971.8,87963.88,45551.04
2022-04-08,14:03:00,6600,6650,6500,6510,6712,6801,6757,6535.5,6459,247154,188044.4,247996.4,85307.83,44335.18
2022-04-08,14:02:00,6810,6830,6580,6600,6772,6829,6752,6534,6457.75,333988,153166.4,235903.9,81222.25,42491.48
2022-04-08,14:01:00,6870,6880,6800,6810,6826,6859,6743,6530.833,6455.333,55336,107497.8,219221,75687.95,39720.11
2022-04-08,14:00:00,6750,6880,6720,6880,6854,6854,6724,6524.333,6451.25,156874,131215,216506.8,74821.75,39276.62
2022-04-08,13:59:00,6810,6890,6740,6760,6858,6861,6700.5,6517,6446.5,146870,128596,208681.3,72232.88,37972.47
2022-04-08,13:58:00,6870,6900,6810,6810,6890,6882,6683.5,6511.667,6442.75,72764,189096.4,201366.4,69921.73,36767.84
2022-04-08,13:57:00,6940,6950,6820,6870,6886,6890,6664,6505.333,6438.5,105645,209998.8,197820.3,68712.57,36166.88
2022-04-08,13:56:00,6890,6980,6830,6950,6892,6867,6641,6497.667,6433.833,173922,244702.4,192605.3,67008.05,35315.87
2022-04-08,13:55:00,6920,6980,6880,6900,6854,6814,6614,6488.667,6428.5,143779,354038.8,183965.2,64129.12,33882.28
2022-04-08,13:54:00,6790,7030,6780,6920,6864,6764,6590,6480.333,6423.583,449372,444840,177113.6,61792.42,32689.38
2022-04-08,13:53:00,6900,6900,6790,6790,6874,6713,6565,6472,6418.5,177276,410582,154658.9,54314.55,28970.51
2022-04-08,13:52:00,6770,6900,6750,6900,6894,6675,6547,6465.833,6414.5,279163,526831.8,145803.3,51551.52,27517.64
2022-04-08,13:51:00,6950,7060,6700,6760,6842,6627,6523,6458.167,6409.583,720604,523172.2,131988.6,47107.35,25221.33
2022-04-08,13:50:00,6970,7040,6920,6950,6774,6594,6507,6452.333,6405.833,597785,379253.8,96010.75,35340.03,19217.18
2022-04-08,13:49:00,6980,7000,6970,6970,6664,6540,6481,6443,6400.5,278082,259763.4,66204.7,25398.68,14237.11
2022-04-08,13:47:00,6650,6890,6620,6890,6552,6485,6453,6433.333,6395,758525,204262.6,52374.95,20821.82,11921.22
2022-04-08,13:46:00,6410,6700,6410,6640,6456,6438,6429.5,6425,6390.083,260865,53618.6,14518.05,8202.217,5611.8
