날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,5810,5810,5810,5810,5796,5786,5790,5800.167,5846.667,4455,18292.6,7770.65,5401.05,7434.658
2022-04-08,15:30:00,5810,5810,5810,5810,5788,5783,5788.5,5800.167,5848.417,59880,18499.4,7708.05,5464.95,7868.025
2022-04-08,15:19:00,5780,5800,5770,5800,5782,5780,5787,5799.833,5851.083,8478,7251,4800.65,4802.683,7471.517
2022-04-08,15:18:00,5780,5790,5760,5770,5780,5778,5786,5800.5,5853.667,8443,5836.6,4463.1,5001.1,7619.658
2022-04-08,15:17:00,5770,5790,5760,5790,5780,5779,5786.5,5802,5856.917,10207,4672.6,4195.05,4899.017,7681.483
2022-04-08,15:16:00,5780,5780,5760,5770,5776,5779,5785.5,5803.333,5860.333,5489,3403.4,3858.55,4749.683,7713.292
2022-04-08,15:15:00,5780,5790,5770,5780,5778,5781,5785.5,5804.833,5863.583,3638,4812.6,3698.95,4740.883,7851.908
2022-04-08,15:14:00,5770,5790,5770,5790,5778,5784,5786,5806.333,5867,1406,4509.4,3538.7,4761.433,8384.975
2022-04-08,15:13:00,5770,5780,5760,5770,5776,5786,5785.5,5807.667,5870.917,2623,5728.6,3683.5,4874.567,8577.725
2022-04-08,15:12:00,5760,5770,5760,5770,5778,5791,5785.5,5809.333,5875,3861,5541.8,3752.25,4912.683,8783.325
2022-04-08,15:11:00,5780,5780,5750,5780,5782,5794,5785.5,5811.167,5879.333,12535,5139.6,3777.75,4919.2,8979.95
2022-04-08,15:10:00,5780,5790,5770,5780,5784,5794,5786.5,5812.667,5883.833,2122,4211.8,3312.8,4777.817,9072.033
2022-04-08,15:09:00,5780,5790,5770,5780,5790,5794,5787,5814.167,5888.5,7502,4094.8,3540.35,4785.65,9183.233
2022-04-08,15:08:00,5800,5800,5780,5780,5796,5794,5787.5,5815.833,5893.667,1689,2933.2,3295.4,4709.783,9479.275
2022-04-08,15:07:00,5790,5810,5780,5790,5804,5794,5788,5817.167,5898.833,1850,4058.8,3669.3,4796.167,9585.733
2022-04-08,15:06:00,5810,5810,5790,5790,5806,5792,5789,5818.667,5904.167,7896,4247,4012,4792.05,9595.875
2022-04-08,15:05:00,5800,5810,5800,5810,5804,5790,5790.5,5820.167,5909.667,1537,3308.4,3774.95,4864.967,9569.942
2022-04-08,15:04:00,5820,5820,5800,5810,5798,5788,5792,5821.167,5915.25,1694,3347.4,3744.85,4914.65,9605.25
2022-04-08,15:03:00,5810,5830,5810,5820,5792,5785,5793.5,5822,5920.667,7317,3354,3688.7,4969.833,9631.258
2022-04-08,15:02:00,5790,5800,5790,5800,5784,5780,5794.5,5822.833,5925.667,2791,2507,3367.05,4858,9713.467
2022-04-08,15:01:00,5780,5800,5770,5780,5778,5777,5796.5,5824,5931.167,3203,2644.2,3329.35,4854,9791.175
2022-04-08,15:00:00,5780,5780,5770,5780,5776,5779,5798.5,5825.5,5936.917,1732,2463,3362.55,4843.133,9835.933
2022-04-08,14:59:00,5770,5780,5770,5780,5778,5780,5801.5,5826.667,5943.083,1727,2203.2,3317.75,4880.65,9969.075
2022-04-08,14:58:00,5770,5790,5770,5780,5778,5781,5805,5827.833,5948.917,3082,2718.2,3323.3,4896.917,10068.36
2022-04-08,14:57:00,5780,5780,5770,5770,5776,5782,5807.5,5829,5954.75,3477,2901.4,3329.95,4935.1,10120.23
2022-04-08,14:56:00,5780,5790,5770,5770,5776,5786,5810,5830.167,5960.583,2297,3080.2,3324.1,5026.217,10157.32
2022-04-08,14:55:00,5780,5800,5780,5790,5782,5791,5811.5,5831.5,5966.25,433,3268,3322,5067.9,10166.68
2022-04-08,14:54:00,5770,5790,5760,5780,5782,5796,5812,5832.167,5971.833,4302,4516,3386.9,5722.283,10217.38
2022-04-08,14:53:00,5780,5800,5770,5770,5784,5802,5813.5,5833.167,5977.5,3998,4176.2,3359.15,5814.95,10215.17
2022-04-08,14:52:00,5800,5810,5770,5770,5788,5809,5816.5,5834.667,5983.083,4371,5210,3541.45,5852.483,10243.94
2022-04-08,14:51:00,5790,5810,5790,5800,5796,5816,5820.5,5836.5,5989,3236,6076.6,3978.75,5797.8,10332.05
2022-04-08,14:50:00,5790,5800,5780,5790,5800,5818,5821.5,5837.667,5994,6673,6060.4,3973.9,5780.067,10630.61
2022-04-08,14:49:00,5800,5820,5790,5790,5810,5823,5823.5,5839,5999.833,2603,4912.8,4113.6,5758.8,10777.97
2022-04-08,14:48:00,5810,5830,5790,5790,5820,5829,5824,5840.5,6005.417,9167,4506.4,4163.2,5759.917,11235.43
2022-04-08,14:47:00,5820,5830,5800,5810,5830,5833,5825,5842.167,6011.667,8704,2849.8,3766.55,5633.467,11275.23
2022-04-08,14:46:00,5840,5850,5820,5820,5836,5834,5825,5843.167,6017.75,3155,1516.4,3596.5,5530.767,11643.5
2022-04-08,14:45:00,5840,5840,5840,5840,5836,5832,5823,5844,6024.333,935,1658.8,3741.9,5487.75,11716.09
2022-04-08,14:44:00,5840,5840,5830,5840,5836,5828,5820.5,5844.5,6031.167,571,1639,3957.25,5517.667,11742.01
2022-04-08,14:43:00,5840,5840,5830,5840,5838,5825,5818,5844.667,6037.917,884,1892.4,4874.35,5589.95,11766.06
2022-04-08,14:42:00,5820,5840,5820,5840,5836,5824,5815.5,5845,6044.583,2037,2358.6,5065.15,5742.55,11855.22
2022-04-08,14:41:00,5840,5840,5820,5820,5832,5825,5814,5845.667,6051.417,3867,2623.2,5103.15,5758.367,11857.06
2022-04-08,14:40:00,5850,5850,5840,5840,5828,5825,5813.5,5846.167,6058.417,836,2300.8,5324.25,5806.033,11879.32
2022-04-08,14:39:00,5840,5850,5830,5850,5820,5824,5811,5846.833,6065.25,1838,2479.8,6289.65,5932.383,11942.16
2022-04-08,14:38:00,5820,5830,5820,5830,5812,5819,5810.5,5847,6072.167,3215,2861.6,7216.9,5966,11977.68
2022-04-08,14:37:00,5810,5820,5810,5820,5812,5817,5812,5848.167,6079.25,3360,3747.4,7172.05,6082.917,12005.59
2022-04-08,14:36:00,5810,5820,5800,5800,5818,5816,5814.5,5849.667,6086.5,2255,5698.8,7066.4,6110.883,12021.46
2022-04-08,14:35:00,5810,5820,5800,5800,5822,5814,5817.5,5851.333,6094,1731,5875.6,7201.7,6553.283,12013.47
2022-04-08,14:34:00,5830,5830,5810,5810,5828,5813,5821,5852.833,6101.5,3747,7422.8,7358.7,7226.017,12073.97
2022-04-08,14:33:00,5860,5860,5820,5830,5826,5811,5824,5854.833,6109.167,7644,7392.4,7581.05,7554.983,12084.48
2022-04-08,14:32:00,5840,5860,5820,5850,5822,5807,5826,5857,6116.417,13117,6110.4,7444.35,7688.617,12052.88
2022-04-08,14:31:00,5830,5840,5820,5820,5814,5803,5827.5,5859.5,6123.5,3139,4547.6,7001.1,7536.4,11955.76
2022-04-08,14:30:00,5810,5830,5800,5830,5806,5802,5830,5862.5,6130.833,9467,5132.4,7046.75,7600.833,11966.78
