날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,5310,5310,5310,5310,5258,5234,5205.5,5181.5,5179.917,35226,54514.6,22646,14149.57,14138.33
2022-04-08,15:30:00,5310,5310,5310,5310,5242,5222,5197,5179.333,5178.5,153220,50715,21352.7,13582.22,14069.98
2022-04-08,15:19:00,5220,5220,5180,5220,5222,5210,5188.5,5177.333,5177,28603,21214.6,13946.55,11084.93,13024.38
2022-04-08,15:18:00,5230,5240,5200,5220,5218,5209,5183,5176.833,5176.167,31348,18012.2,13002.9,10660.78,13092.91
2022-04-08,15:17:00,5220,5240,5210,5230,5218,5204,5178.5,5176.333,5175.417,24176,15640.2,11917.6,10223.03,13253.71
2022-04-08,15:16:00,5210,5230,5200,5230,5210,5199,5173.5,5176,5174.083,16228,12960.6,11351.5,9976.1,13790.21
2022-04-08,15:15:00,5200,5210,5200,5210,5202,5192,5169,5175.333,5173.167,5718,10911.2,11233.3,9795.733,14690.62
2022-04-08,15:14:00,5220,5230,5200,5200,5198,5187,5163.5,5175.167,5172.75,12591,13573.6,11245,9787.433,14940.12
2022-04-08,15:13:00,5190,5220,5180,5220,5200,5187,5158.5,5175.167,5172.583,19488,13576.2,12107.5,9767.783,15337.83
2022-04-08,15:12:00,5190,5200,5180,5190,5190,5180,5153,5173.667,5172.083,10778,10326.2,12011.65,9656.067,15582.87
2022-04-08,15:11:00,5200,5200,5170,5190,5188,5177,5148,5173.167,5171.917,5981,11007.8,13070.35,9561.417,16250.92
2022-04-08,15:10:00,5210,5210,5170,5190,5182,5172,5146.5,5172.833,5172,19030,11208.4,13607.5,9514.933,17253.38
2022-04-08,15:09:00,5170,5210,5170,5210,5176,5167,5145.5,5172.167,5172.333,12604,10787.6,13220.7,9347.533,18415.75
2022-04-08,15:08:00,5180,5180,5160,5170,5174,5157,5143.5,5171.833,5173.333,3238,12445,13773.5,9286.733,18466.28
2022-04-08,15:07:00,5170,5200,5160,5180,5170,5153,5146,5172,5174.833,14186,12793.2,14768.9,9368.583,18565.37
2022-04-08,15:06:00,5180,5180,5160,5160,5166,5148,5149,5171.833,5176.417,6984,12101,15248,9706.983,18519.58
2022-04-08,15:05:00,5210,5210,5150,5160,5162,5146,5151,5172.167,5178.167,16926,12576.2,15687.7,9824.883,18539.81
2022-04-08,15:04:00,5150,5210,5130,5200,5158,5140,5152,5172.667,5180,20891,10210.4,15161.45,9632.517,18466.43
2022-04-08,15:03:00,5160,5160,5150,5150,5140,5130,5151,5172.5,5181.5,4979,7978.2,14241.35,9416.833,18376.08
2022-04-08,15:02:00,5140,5170,5140,5160,5136,5126,5153,5173.333,5183.417,10725,8910.8,14727.2,9484.967,18465.8
2022-04-08,15:01:00,5140,5150,5130,5140,5130,5119,5155,5174.333,5185.5,9360,9336.6,14600.3,9424.317,18469.88
2022-04-08,15:00:00,5120,5150,5110,5140,5130,5121,5156.5,5175.5,5187.833,5097,10237.4,14314.4,9330.2,18716.94
2022-04-08,14:59:00,5130,5130,5100,5110,5122,5124,5158,5176.667,5189.833,9730,10408.4,14352.45,9332.883,18753.57
2022-04-08,14:58:00,5140,5140,5100,5130,5120,5130,5161.5,5178.5,5191.917,9642,14430.6,14025.55,9391.033,18782.66
2022-04-08,14:57:00,5140,5150,5120,5130,5116,5139,5164.5,5180.5,5193.833,12854,16016.4,13669.45,9564.533,18743.58
2022-04-08,14:56:00,5100,5140,5100,5140,5108,5150,5167.5,5182.333,5195.917,13864,19836,13125.1,10071.67,18887.96
2022-04-08,14:55:00,5110,5110,5090,5100,5112,5156,5170.5,5182.833,5197.5,5952,20408,12613.4,9961.283,19246.44
2022-04-08,14:54:00,5110,5130,5080,5100,5126,5164,5174,5184.167,5199.833,29841,21476.4,12541.4,9935.917,19225.03
2022-04-08,14:53:00,5090,5150,5090,5110,5140,5172,5179,5185.333,5202.167,17571,20240.2,11171.35,9605.583,19075.03
2022-04-08,14:52:00,5160,5160,5090,5090,5162,5180,5183,5186.833,5204.583,31952,21355.2,10444.85,9403.85,19075.11
2022-04-08,14:51:00,5170,5170,5150,5160,5192,5191,5189,5188.833,5207.167,16724,19718.4,9181.7,8971.983,18887.05
2022-04-08,14:50:00,5170,5190,5160,5170,5200,5192,5191.5,5189.667,5209,11294,19529.2,8693.75,8916.983,18945.68
2022-04-08,14:49:00,5220,5230,5160,5170,5202,5192,5192,5190.333,5210.917,23660,18550.6,8513,8935.567,19059.72
2022-04-08,14:48:00,5240,5250,5220,5220,5204,5193,5191,5191.333,5212.917,23146,14316.4,7813.45,9092.917,18913.58
2022-04-08,14:47:00,5200,5240,5190,5240,5198,5190,5189,5190.5,5214.583,23768,12626.4,6953.8,8851.117,18770.08
2022-04-08,14:46:00,5180,5200,5170,5200,5190,5185,5186,5189.333,5216.167,15778,9510.2,6278.55,8667.983,18602.56
2022-04-08,14:45:00,5180,5190,5170,5180,5184,5185,5185,5189,5218.25,6401,7083,5576.85,8977.067,18511.33
2022-04-08,14:44:00,5190,5200,5180,5180,5182,5184,5185,5187.833,5220.417,2489,6974.4,5346.45,9612.683,18522.97
2022-04-08,14:43:00,5190,5210,5170,5190,5182,5186,5186,5186.833,5222.5,14696,7115,5425.95,9709.833,18540.29
2022-04-08,14:42:00,5170,5210,5170,5200,5182,5186,5185.5,5185.833,5224.333,8187,4679.8,5358.25,9731.75,18567.62
2022-04-08,14:41:00,5180,5180,5170,5170,5180,5187,5184,5184.5,5226.5,3642,3435.8,5202.4,9762.717,18545.35
2022-04-08,14:40:00,5180,5180,5160,5170,5186,5191,5184.5,5183.833,5228.75,5858,3433.4,5079.55,9883.933,18572.24
2022-04-08,14:39:00,5200,5200,5170,5180,5186,5192,5185.5,5183.5,5230.833,3192,3164.2,4955.8,9836.95,18850.33
2022-04-08,14:38:00,5190,5200,5180,5190,5190,5189,5186,5182.833,5232.833,2520,3013.8,4953.9,9974.783,18933.21
2022-04-08,14:37:00,5200,5210,5180,5190,5190,5188,5186,5181.667,5234.833,1967,3118,5082.05,10249.55,18984.84
2022-04-08,14:36:00,5180,5200,5170,5200,5194,5187,5187,5180.833,5236.833,3630,4062.4,5451.7,10570.35,19063.98
2022-04-08,14:35:00,5200,5210,5170,5170,5196,5185,5186.5,5179.833,5239,4512,4729.4,5540.5,10785.12,19066.45
2022-04-08,14:34:00,5190,5210,5190,5200,5198,5186,5188,5180,5241.333,2440,5362.8,5575.9,10953.22,19079.26
2022-04-08,14:33:00,5200,5210,5190,5190,5188,5186,5188,5179.5,5243.667,3041,6808.6,6024.5,11031.82,19097.12
2022-04-08,14:32:00,5210,5220,5190,5210,5186,5185,5185,5179.333,5246.083,6689,7391,6511.7,11050.48,19147.98
2022-04-08,14:31:00,5190,5210,5190,5210,5180,5181,5182.5,5179,5248.417,6965,8105.8,6432.2,11296.38,19142.05
2022-04-08,14:30:00,5160,5190,5160,5180,5174,5178,5180.5,5179,5250.583,7679,7061.6,6243.55,11388.3,19097.29
2022-04-08,14:29:00,5180,5190,5140,5150,5174,5179,5179,5179.5,5253,9669,5884.4,6308.9,11541.55,19074.81
2022-04-08,14:28:00,5170,5180,5160,5180,5184,5183,5181,5179.833,5255.667,5953,4766.4,6273.25,11583.1,19036.83
2022-04-08,14:27:00,5180,5190,5160,5180,5184,5184,5181,5179.333,5258,10263,6244.2,6383.05,11673.15,19055.68
2022-04-08,14:26:00,5180,5190,5170,5180,5182,5187,5180.5,5179.167,5260.083,1744,5205.6,7594.4,11874.28,19228.42
2022-04-08,14:25:00,5190,5190,5170,5180,5182,5188,5180.5,5179.5,5262.583,1793,5093.8,8210.1,12853.27,19442.33
2022-04-08,14:24:00,5180,5200,5180,5200,5184,5190,5181,5179.667,5265.083,4079,5411.8,8389.65,13412.23,19640.28
2022-04-08,14:23:00,5160,5180,5150,5180,5182,5190,5180.5,5178.833,5267.583,13342,5226.8,8583.2,13730.6,19668.78
2022-04-08,14:22:00,5180,5180,5150,5170,5184,5185,5181.5,5178.667,5270.083,5070,3575,8369.45,13780.55,19620.01
2022-04-08,14:21:00,5180,5190,5170,5180,5192,5184,5184,5178.333,5272.583,1185,4433,8470.25,14127.08,19621.5
2022-04-08,14:20:00,5190,5190,5180,5190,5194,5183,5185.5,5177.667,5275,3383,5277.2,8596.65,14557.73,19667.25
2022-04-08,14:19:00,5190,5200,5180,5190,5196,5179,5186.5,5176.667,5277.5,3154,5644.6,8690.4,14963.83,19766.73
