날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,11000,11000,11000,11000,11000,11000,10997.5,10995.83,10928.75,1440,3007.4,22212.25,46571.93,42105.81
2022-04-08,15:30:00,11000,11000,11000,11000,11000,11000,10997.5,10995.83,10926.25,1120,5099,22605.3,46626.1,43290.63
2022-04-08,15:19:00,11000,11000,11000,11000,11000,11000,10997.5,10995.83,10922.5,9270,12083,27846.1,46710.4,44477.08
2022-04-08,15:18:00,11000,11000,11000,11000,11000,11000,10992.5,10995.83,10919.17,2324,15426.8,32809.35,46625.35,47231.95
2022-04-08,15:17:00,11000,11000,11000,11000,11000,11000,10992.5,10995.83,10917.08,883,32059.8,34613.35,46675.73,48942.43
2022-04-08,15:16:00,11000,11000,10950,11000,11000,11000,10992.5,10995.83,10914.17,11898,36924.6,35713.45,46811.2,61097.58
2022-04-08,15:15:00,11000,11000,10950,11000,11000,11000,10990,10995.83,10914.17,36040,51642.4,38355.75,46635.7,61598.29
2022-04-08,15:14:00,11000,11000,10950,11000,11000,11000,10990,10995.83,10914.17,25989,46885.4,43644.3,46044.23,61454.6
2022-04-08,15:13:00,11000,11000,10900,11000,11000,10995,10990,10995.83,10914.17,85489,42296.2,54835.3,45644.13,61596.65
2022-04-08,15:12:00,11000,11000,10950,11000,11000,10995,10990,10995.83,10914.17,25207,25780.4,53919.8,44373.38,61600.05
2022-04-08,15:11:00,11000,11000,10950,11000,11000,10995,10990,10995.83,10914.17,85487,21185.2,60216.35,44201.43,62300.9
2022-04-08,15:10:00,11000,11000,11000,11000,11000,10995,10990,10995.83,10914.17,12255,4433.2,56047.65,42799.47,71403.84
2022-04-08,15:09:00,11000,11000,11000,11000,11000,10995,10990,10995.83,10910,3043,8437.6,55441.25,42613.98,72614.43
2022-04-08,15:08:00,11000,11000,11000,11000,10990,10985,10990,10995.83,10905,2910,25483.4,55409.25,42580.23,75404.15
2022-04-08,15:07:00,11000,11000,11000,11000,10990,10985,10990,10995.83,10899.17,2231,26754,55402.3,42542.33,75681.02
2022-04-08,15:06:00,11000,11000,11000,11000,10990,10985,10990,10995.83,10892.92,1727,27731.8,55371.2,42562.3,76240.15
2022-04-08,15:05:00,11000,11000,10950,11000,10990,10980,10990,10995.83,10886.67,32277,29246.6,55328.65,42957.78,77736.74
2022-04-08,15:04:00,11000,11000,10950,10950,10990,10980,10990,10995.83,10879.58,88272,43978.4,53775.7,42516.88,77964.17
2022-04-08,15:03:00,11000,11000,11000,11000,10980,10985,10992.5,10996.67,10873.75,9263,48031,49663.15,41096.78,77931.48
2022-04-08,15:02:00,11000,11000,11000,11000,10980,10985,10992.5,10996.67,10867.5,7120,53859.2,59457.85,41036.43,79137.21
2022-04-08,15:01:00,11000,11000,11000,11000,10980,10985,10990,10996.67,10860.83,9301,57012.2,80355.15,40940.1,80562.61
2022-04-08,15:00:00,10900,11000,10850,11000,10970,10985,10990,10996.67,10854.17,105936,68100.8,79916.4,41036.47,81669.91
2022-04-08,14:59:00,11000,11000,10800,10900,10970,10985,10990,10996.67,10846.25,108535,75275.8,74938.35,40319.13,81761.82
2022-04-08,14:58:00,10950,11000,10900,11000,10990,10995,10995,10998.33,10838.75,38404,103530.6,69515.95,45762.38,81563.83
2022-04-08,14:57:00,11000,11000,10950,11000,10990,10995,10995,10995.83,10830.42,22885,109285.6,67674.6,46116.8,82073.5
2022-04-08,14:56:00,11000,11000,10900,10950,10990,10995,10995,10991.67,10822.92,64744,134936.2,66835.65,45952.93,84774.84
2022-04-08,14:55:00,11000,11000,10900,11000,11000,11000,10997.5,10988.33,10816.25,141811,122410,63605.05,45139.17,84990.93
2022-04-08,14:54:00,11000,11000,10950,11000,11000,11000,10997.5,10984.17,10809.58,249809,94073.2,56822.2,43225.53,85428.29
2022-04-08,14:53:00,11000,11000,11000,11000,11000,11000,10997.5,10980.83,10803.75,67179,44592,44533.75,39166.77,84118.21
2022-04-08,14:52:00,11000,11000,11000,11000,11000,11000,10997.5,10977.5,10797.5,151138,31710.4,41240.1,38172.55,85535.37
2022-04-08,14:51:00,11000,11000,11000,11000,11000,10995,10997.5,10973.33,10792.08,2113,1804.6,33743.25,35730.88,86889.71
2022-04-08,14:50:00,11000,11000,11000,11000,11000,10995,10997.5,10970,10785.83,127,1557.2,33643.75,35826.03,89339.37
2022-04-08,14:49:00,11000,11000,11000,11000,11000,10995,10997.5,10966.67,10782.5,2403,1775.4,34734.3,36076,91433.98
2022-04-08,14:48:00,11000,11000,11000,11000,11000,10995,10997.5,10962.5,10778.33,2771,2499,34768.45,36513.62,95036.83
2022-04-08,14:47:00,11000,11000,11000,11000,11000,10995,10997.5,10959.17,10773.75,1609,42976.2,34904.4,37015.17,96956.68
2022-04-08,14:46:00,11000,11000,11000,11000,10990,10995,10997.5,10955,10761.5,876,127667.6,36708.9,37440.45,98544.53
2022-04-08,14:45:00,11000,11000,11000,11000,10990,10995,10997.5,10951.67,10747.33,1218,127597.6,41317.15,38402.42,100271.2
2022-04-08,14:44:00,11000,11000,11000,11000,10990,10995,10997.5,10947.5,10731.08,6021,128629,67906.25,39063.58,100540
2022-04-08,14:43:00,11000,11000,10850,11000,10990,10995,10997.5,10942.5,10714.33,205157,127442.2,68511.1,39702.3,100630.5
2022-04-08,14:42:00,11000,11000,10900,10950,10990,10995,10997.5,10938.33,10697.5,425066,86726.2,58312.15,36963.75,98976.57
