날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-08,15:35:00,3730,3730,3730,3730,3729,3720.5,3659.25,3330.5,3058.625,1638,160201.4,222748.8,258355.9,129990
2022-04-08,15:30:00,3730,3730,3730,3730,3726,3720,3654.75,3315.833,3050.625,26616,176665,244255,258367.5,129976.3
2022-04-08,15:19:00,3730,3730,3725,3725,3724,3717,3647.25,3301.417,3042.625,132606,192064,264925.3,257989.7,129756.3
2022-04-08,15:18:00,3730,3730,3715,3730,3724,3709.5,3639.5,3286.75,3034.625,351866,196554,295609.4,255852.1,128653.7
2022-04-08,15:17:00,3715,3730,3710,3730,3718,3689.5,3628.5,3271.917,3026.667,288281,144581.2,292718,250038.2,125721.5
2022-04-08,15:16:00,3720,3720,3700,3715,3712,3665.5,3613,3257.167,3018.708,83956,116509,291517.9,245351.5,123319.2
2022-04-08,15:15:00,3720,3725,3700,3720,3714,3650.5,3600,3242.417,3010.792,103611,151773.6,302326.6,243986.6,122621.6
2022-04-08,15:14:00,3705,3725,3690,3725,3710,3635,3589.5,3227.583,3002.833,155056,363584.2,317109.5,242343.3,121770.4
2022-04-08,15:13:00,3700,3710,3690,3700,3695,3619,3574.5,3212.333,2994.833,92002,398113.6,326204.5,239764,120478.5
2022-04-08,15:12:00,3725,3725,3690,3700,3661,3608.5,3556,3197.833,2987.042,147920,430862.8,330994.6,238262.6,119725.4
2022-04-08,15:11:00,3700,3725,3685,3725,3619,3598,3535.5,3182.75,2979.292,260279,433759.2,334377.5,235832.9,118494.9
2022-04-08,15:10:00,3655,3730,3640,3700,3587,3589.5,3513,3167.25,2971.333,1162664,423324.4,351374.6,231543.5,116326.2
2022-04-08,15:09:00,3525,3655,3525,3650,3560,3577.5,3500.75,3152.083,2963.625,327703,215063.8,304392.3,212234.3,106644.8
2022-04-08,15:08:00,3490,3565,3450,3530,3543,3569.5,3491.75,3137.75,2956.292,255748,169662.8,312005.6,206789.5,103914.1
2022-04-08,15:07:00,3565,3565,3480,3490,3556,3567.5,3487.5,3125.5,2950,162402,167368.8,315549.4,202528.3,101790.4
2022-04-08,15:06:00,3565,3575,3510,3565,3577,3560.5,3483.5,3113.833,2944,208105,180525.4,345552.2,199893.6,100442.9
2022-04-08,15:05:00,3565,3590,3530,3565,3592,3549.5,3475.25,3100.75,2937.375,121361,225257,358891.5,196462.3,98708.78
2022-04-08,15:04:00,3595,3600,3545,3565,3595,3544,3466.25,3087.833,2930.75,100698,288989.2,376771.8,194444.9,97717.91
2022-04-08,15:03:00,3600,3605,3545,3595,3596,3530,3453.75,3074.667,2924.125,244278,418107,390203.9,192788.1,96883.5
2022-04-08,15:02:00,3630,3640,3575,3595,3579,3503.5,3439,3060.917,2917.167,228185,428059.2,423115.7,188736.9,94847.98
2022-04-08,15:01:00,3580,3670,3575,3640,3544,3473,3421,3047.083,2910.208,431763,435278,450014.3,184942.7,92946.68
2022-04-08,15:00:00,3570,3640,3520,3580,3507,3436.5,3397.5,3032.5,2902.875,440022,408951.2,448817.5,177764,89363.94
2022-04-08,14:59:00,3510,3650,3500,3570,3493,3424,3375,3018.917,2896.042,746287,400800.6,443746.2,170465.9,85701.55
2022-04-08,14:58:00,3420,3510,3420,3510,3464,3414,3350,3005.583,2889.375,294039,318934.6,446515.1,158371.2,79500.64
2022-04-08,14:57:00,3450,3455,3355,3420,3428,3407.5,3330.5,2993.5,2883.167,264279,297687.6,453904.7,153470.5,77054.02
2022-04-08,14:56:00,3515,3515,3425,3455,3402,3406.5,3303.75,2982.833,2877.708,300129,287947.2,440769.1,149065.9,74852.49
2022-04-08,14:55:00,3425,3550,3400,3510,3366,3401,3275,2971.75,2871.958,399269,347965.8,425893,144069.3,72353.33
2022-04-08,14:54:00,3330,3485,3325,3425,3355,3388.5,3242.25,2959.667,2865.708,336957,312715.6,406195.7,137427.6,69026.14
2022-04-08,14:53:00,3290,3370,3285,3330,3364,3377.5,3213.75,2949,2860.167,187804,341318,389777.9,131811.6,66218.52
2022-04-08,14:52:00,3275,3345,3255,3290,3387,3374.5,3190.5,2939.75,2855.417,215577,369081.8,380489.4,128683.4,64660.28
2022-04-08,14:51:00,3465,3465,3230,3275,3411,3369,3169.25,2931.083,2850.875,600222,478458.2,369904.4,125090.9,62888.21
2022-04-08,14:50:00,3470,3495,3425,3455,3436,3358.5,3148.5,2922.667,2846.5,223018,453392,340094.9,115087.6,57886.44
2022-04-08,14:49:00,3440,3610,3435,3470,3422,3326,3117.75,2911.333,2840.583,479969,504581.6,329111.3,111370.8,56040.98
2022-04-08,14:48:00,3415,3455,3370,3445,3391,3286,3086.75,2899.75,2834.583,326623,482455.8,305201,103376.2,52045.49
2022-04-08,14:47:00,3400,3550,3340,3410,3362,3253.5,3057.25,2888.5,2828.75,762459,597634,288976.3,97937.52,49453.89
2022-04-08,14:46:00,3430,3440,3375,3400,3327,3201,3029.75,2877.833,2823.25,474891,598373.6,250898.4,85263.8,43111.02
2022-04-08,14:44:00,3310,3385,3305,3385,3281,3149,3002.5,2867.583,2817.917,478966,584960.8,227203,77393.3,39158.47
2022-04-08,14:43:00,3300,3335,3255,3315,3230,3096,2976.75,2857.5,2812.708,369340,556887,203496.4,69416.7,35191.04
2022-04-08,14:42:00,3220,3360,3220,3300,3181,3050,2953,2848.583,2808.083,902514,643352,185367.6,63262.87,32121.23
2022-04-08,14:41:00,3170,3260,3170,3235,3145,3006.5,2930.25,2839.917,2803.625,766157,551215.4,140536.8,48232.93,24679.78
2022-04-08,14:40:00,3130,3195,3130,3170,3075,2969.5,2911.25,2832.333,2799.708,407827,398297.4,102304.7,35487.38,18337.37
2022-04-08,14:39:00,3085,3170,3070,3130,3017,2938.5,2895.25,2825.917,2796.333,338597,317253.4,82029.95,28692.57,14957.58
2022-04-08,14:38:00,3080,3165,3055,3070,2962,2909.5,2882,2820.167,2793.292,801665,250598.6,65297.65,23049.47,12156.73
2022-04-08,14:35:00,2885,3120,2885,3120,2919,2887.5,2870.75,2815.417,2790.792,441831,91985.6,25431.9,9689.067,5476.542
2022-04-08,14:34:00,2880,2885,2880,2885,2868,2861,2856.75,2809.833,2787.833,1567,4026.4,3492,2331.233,1802.992
