날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-13,15:30:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,3504,1708,1016.85,634.7167,730.6083
2022-04-13,15:19:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,1272,1135.6,883.9,670.2833,714.8917
2022-04-13,15:18:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,860,1338.8,930.75,657.3167,707.1667
2022-04-13,15:17:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,2902,1205.4,939.25,643,709.7417
2022-04-13,15:16:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,2,675.4,803.65,599.5333,693.925
2022-04-13,15:15:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,642,758.6,920.55,600.25,694.65
2022-04-13,15:14:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,2288,676.2,901.9,591.8,691.1083
2022-04-13,15:13:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,193,411.4,788.05,555.7667,697.75
2022-04-13,15:12:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,252,387.6,805.8,563.0667,698.725
2022-04-13,15:11:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,418,377.2,797.6,561.1333,702.5667
2022-04-13,15:10:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,230,333.8,819.5,557,720.1917
2022-04-13,15:09:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,964,418.4,854.2,562.1167,736.8167
2022-04-13,15:08:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,74,1190.2,816,553.2,733.575
2022-04-13,15:07:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,200,1204.2,812.65,560.7667,735.5417
2022-04-13,15:06:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,201,1185,860.4,561.3167,736.2833
2022-04-13,15:05:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,653,1267,854.1,563.8,739.5667
2022-04-13,15:04:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,4823,1305.4,834.45,581.45,735.925
2022-04-13,15:03:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,144,782.6,603.45,504.7333,697.0583
2022-04-13,15:02:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,104,959.8,616.4,532.1167,725.9833
2022-04-13,15:01:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,611,977,614.25,533.4167,735.8417
2022-04-13,15:00:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,845,1322.8,661.7,591.8833,740.7417
2022-04-13,14:59:00,6720,6720,6720,6720,6720,6720,6720,6720,6720,2209,1207.6,625.85,578.4833,735.55
