날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-15,15:30:00,6600,6600,6600,6600,6564,6562,6552.5,6562.5,6544.5,618436,231426.6,96416.35,59685.45,63209.68
2022-04-15,15:19:00,6570,6590,6560,6580,6554,6558,6550,6562.833,6543.25,104239,120781.8,66891.95,51047.08,58238.39
2022-04-15,15:18:00,6530,6600,6530,6570,6550,6557,6548.5,6563.333,6542.167,246150,109507,62225.05,51329.7,57468.86
2022-04-15,15:17:00,6540,6550,6520,6530,6548,6557,6547,6563,6541.083,60794,71099.6,50686.75,47535.47,55635.37
2022-04-15,15:16:00,6550,6560,6510,6540,6554,6560,6547.5,6563.333,6540.417,127514,69719.6,48601.1,46846.77,55370.83
2022-04-15,15:15:00,6560,6570,6550,6550,6560,6561,6548,6563.667,6539.667,65212,51359.8,43528.7,44927.82,54523.19
2022-04-15,15:14:00,6560,6570,6550,6560,6562,6559,6549,6563.667,6538.833,47865,45459.8,41896,44367.98,54158.63
2022-04-15,15:13:00,6560,6570,6550,6560,6564,6556,6550.5,6563.5,6538.083,54113,44608.6,41311.9,43826.97,54001.56
2022-04-15,15:12:00,6560,6570,6550,6560,6566,6553,6551.5,6563.667,6537.167,53894,44459,42576.05,43231.88,54279.8
2022-04-15,15:11:00,6560,6570,6550,6570,6566,6548,6549.5,6563.667,6536.417,35715,44422.2,41480.45,42846.33,54024.74
2022-04-15,15:10:00,6560,6570,6550,6560,6562,6543,6547.5,6563.667,6535.75,35712,45336,40482.25,42739.08,53947.98
2022-04-15,15:09:00,6580,6580,6560,6570,6556,6542,6546.5,6563.667,6535.083,43609,45461.6,39358.5,42697.67,54192.48
2022-04-15,15:08:00,6570,6580,6550,6570,6548,6540,6545.5,6563.167,6534.5,53365,41250.6,39228.55,42198.43,54049.05
2022-04-15,15:07:00,6550,6570,6540,6560,6540,6537,6543.5,6562.667,6534.083,53710,34126.2,40009.25,41752.27,53856.46
2022-04-15,15:06:00,6530,6550,6520,6550,6530,6535,6543,6562,6533.583,40284,45619.8,38376.6,42496.82,53709.83
2022-04-15,15:05:00,6530,6550,6520,6530,6524,6535,6544,6561.667,6533.417,36340,57543,38123,42750.57,53721.66
2022-04-15,15:04:00,6530,6540,6520,6530,6528,6539,6544.5,6562.167,6533.417,22554,55864.6,38331.6,42552.03,53637.18
2022-04-15,15:03:00,6520,6540,6510,6530,6532,6545,6545.5,6562.333,6533.333,17743,53534,38339.85,43794.83,53656.91
2022-04-15,15:02:00,6520,6520,6490,6510,6534,6550,6547.5,6563.167,6533.167,111178,53062.2,38048.3,44320.63,53760.38
2022-04-15,15:01:00,6550,6550,6510,6520,6540,6551,6550,6564,6533.167,99900,34642.8,33612,44431.12,53184.98
2022-04-15,15:00:00,6550,6550,6530,6550,6546,6552,6552,6565.167,6533.25,27948,19876,32559.05,45569.65,52986.48
2022-04-15,14:59:00,6540,6560,6530,6550,6550,6551,6553.5,6566.667,6533.167,10901,20798,32232.6,50723.63,53826.67
2022-04-15,14:58:00,6540,6550,6530,6540,6558,6551,6555.5,6568,6533.083,15384,25854.4,32888.7,54114.02,55300.52
2022-04-15,14:57:00,6540,6560,6530,6540,6566,6550,6558.5,6568,6533,19081,38656.8,36924.8,54200.97,56162.39
2022-04-15,14:56:00,6560,6560,6540,6550,6562,6551,6560,6568.167,6532.583,26066,41237,36763.15,54432.47,56885.53
2022-04-15,14:55:00,6580,6590,6560,6570,6558,6553,6561,6568.5,6531.833,32558,39174,36092.3,54301.13,56783.6
2022-04-15,14:54:00,6570,6590,6570,6590,6552,6550,6561,6568.667,6530.75,36183,35309.8,35652.85,54572.58,56830.53
2022-04-15,14:53:00,6530,6590,6520,6580,6544,6546,6559.5,6568.667,6529.75,79396,36275.2,34905.55,54864.97,56711.69
2022-04-15,14:52:00,6530,6540,6520,6520,6534,6545,6559.5,6568,6528.75,31982,34191.8,32502.5,55068.72,56313.97
2022-04-15,14:51:00,6540,6550,6530,6530,6540,6549,6561,6568.667,6528.25,15751,32006.8,32365.05,55479.58,56224.94
