날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,3710,3710,3710,3710,3689,3670,3654.75,3637,3736.958,12538,44930.8,22118,24251.03,23932.73
2022-04-19,15:30:00,3710,3710,3710,3710,3677,3664.5,3649.75,3636.75,3738.583,121266,45439.8,21654.1,24175.03,23881.26
2022-04-19,15:19:00,3680,3685,3670,3680,3665,3658.5,3644.75,3636.417,3740.333,44119,22437,16588.2,22420.65,22972.92
2022-04-19,15:18:00,3665,3680,3660,3680,3658,3656,3641,3636.667,3742.167,30686,15163.2,14684.2,21897.75,22742.14
2022-04-19,15:17:00,3655,3665,3650,3665,3653,3653,3638,3636.917,3744.167,16045,12860.2,13441.75,21670.07,22541.96
2022-04-19,15:16:00,3650,3655,3645,3650,3651,3651,3635.25,3637.417,3746.292,15083,11188.4,14333.6,21728.18,22480.82
2022-04-19,15:15:00,3645,3650,3645,3650,3652,3650.5,3632.75,3638.083,3748.583,6252,10880.4,14333,22167.07,22365.63
2022-04-19,15:14:00,3650,3655,3645,3645,3652,3648.5,3630.75,3638.5,3750.833,7750,13311.4,14315.85,24574.23,22375.43
2022-04-19,15:13:00,3655,3660,3650,3655,3654,3646,3629.5,3639.667,3753.167,19171,15554.4,14522.4,25099.65,22456.54
2022-04-19,15:12:00,3655,3660,3650,3655,3653,3642.5,3627.75,3640.75,3755.542,7686,18149.8,14631.05,25963.3,22318.13
2022-04-19,15:11:00,3650,3660,3645,3655,3651,3639.5,3626.5,3642.083,3757.833,13543,19713.6,14409.45,27016.25,22315.93
2022-04-19,15:10:00,3655,3655,3645,3650,3649,3635,3625,3643.833,3760.208,18407,20207,14406.25,27367.53,22257.39
2022-04-19,15:09:00,3640,3660,3640,3655,3645,3631,3623.5,3645.75,3762.542,18965,19383.8,13738.2,29825.57,22136.99
2022-04-19,15:08:00,3640,3650,3640,3650,3638,3626,3621.25,3648.75,3764.958,32148,17364,13320.05,29652.37,22043.81
2022-04-19,15:07:00,3640,3645,3640,3645,3632,3623,3619.5,3651.833,3767.208,15505,13824.4,13814.9,29425.43,21818.02
2022-04-19,15:06:00,3630,3645,3630,3645,3628,3619.5,3619.5,3655.333,3769.375,16010,12639.2,13363.4,29495.53,21782.08
2022-04-19,15:05:00,3620,3630,3620,3630,3621,3615,3619.25,3658.583,3771.667,14291,10089.2,13601.5,29342.13,21717.22
2022-04-19,15:04:00,3620,3625,3615,3620,3617,3613,3620,3662,3774.333,8866,11220.6,16018.7,29158.77,21969.81
2022-04-19,15:03:00,3625,3630,3620,3620,3614,3613,3621,3665.583,3776.917,14450,10655.2,17346.2,29236.53,22077.15
2022-04-19,15:02:00,3610,3625,3610,3625,3614,3613,3621.25,3669.417,3779.542,9579,8932.6,17241.6,29139.07,22211.73
2022-04-19,15:01:00,3610,3620,3610,3610,3611,3613.5,3621,3673.167,3782.375,3260,13793.2,17372.7,29141.42,22353.44
2022-04-19,15:00:00,3600,3610,3595,3610,3609,3615,3622,3677.167,3785.417,19948,16155.4,19022.2,29285.42,22710.38
2022-04-19,14:59:00,3610,3610,3600,3605,3609,3616,3621.25,3680.833,3788.417,6039,13347.6,19091.9,29118.3,23383.84
2022-04-19,14:58:00,3610,3620,3600,3620,3612,3616.5,3621.75,3684.417,3791.375,5837,14516,19932.75,30226.17,23573.28
2022-04-19,14:57:00,3600,3610,3590,3610,3612,3616,3621.5,3688.333,3794.042,33882,17617.4,21120.7,30193.33,23700.34
2022-04-19,14:56:00,3610,3620,3600,3600,3616,3619.5,3621.25,3692.417,3796.708,15071,11491.8,21418.55,29849.6,23488.8
2022-04-19,14:55:00,3620,3635,3610,3610,3621,3623.5,3619.5,3696.833,3799.292,5909,11173.4,23098.65,29838.55,23451
2022-04-19,14:54:00,3620,3625,3605,3620,3623,3627,3619.75,3700.667,3801.833,11881,11000.8,23194.8,30268.68,23505.19
2022-04-19,14:53:00,3635,3640,3620,3620,3621,3629,3619,3705,3804.375,21344,10745,23504,30124.18,23571.78
2022-04-19,14:52:00,3630,3630,3625,3630,3620,3629.5,3618.75,3709.333,3807.083,3254,14885.2,23320.4,29931.02,23986.28
2022-04-19,14:51:00,3620,3625,3610,3625,3623,3628.5,3618,3713.75,3809.542,13479,15529.4,27519.9,30325.42,24144.94
2022-04-19,14:50:00,3610,3625,3610,3620,3626,3629,3617.5,3717.917,3811.917,5046,16988,28555.9,30272.75,24099.85
2022-04-19,14:49:00,3615,3625,3600,3610,3631,3626.5,3617,3722.333,3814.25,10602,28505.8,31347.9,30342.05,24173.93
2022-04-19,14:48:00,3650,3655,3600,3615,3637,3627,3616.75,3726.583,3816.792,42045,33468.6,36029.95,30211.33,24240.48
2022-04-19,14:47:00,3645,3650,3635,3645,3639,3627,3617.75,3730.75,3819.167,6475,27531.2,38718.1,29675.03,24206.6
2022-04-19,14:46:00,3650,3655,3635,3640,3634,3623,3620,3734.667,3821.417,20772,28676.4,38630.85,29701.98,24803.63
2022-04-19,14:45:00,3650,3665,3640,3645,3632,3615.5,3623,3738.167,3823.917,62635,31772,38289,30300.93,25184.98
2022-04-19,14:44:00,3630,3655,3625,3640,3622,3612.5,3625.5,3741.75,3826.083,35416,23513.4,35369.95,29638.05,24823.33
2022-04-19,14:43:00,3625,3630,3620,3625,3617,3609,3628.25,3745.917,3828.208,12358,21001.4,33919.7,29161.5,24615.98
2022-04-19,14:42:00,3630,3630,3620,3620,3615,3608,3631.5,3750.667,3830.542,12201,24449,33687.2,29557.83,24870.56
2022-04-19,14:41:00,3600,3630,3600,3630,3612,3607.5,3635.25,3755.667,3832.958,36250,29976.6,33262.4,29449.85,25209.13
2022-04-19,14:40:00,3615,3620,3595,3595,3599,3606,3638.5,3760.5,3835.125,21342,32461.2,31848.8,29250.73,25248.57
2022-04-19,14:39:00,3615,3620,3610,3615,3603,3607.5,3643.25,3765.75,3837.417,22856,29759.2,31581.85,29220.63,25213.92
2022-04-19,14:38:00,3605,3615,3600,3615,3601,3606.5,3647.25,3770.167,3839.458,29596,28801,31076.3,28937.32,25040.83
2022-04-19,14:37:00,3575,3605,3560,3605,3601,3608.5,3651.25,3774.583,3841.542,39839,26416.2,30447.75,28496.2,24971.42
2022-04-19,14:36:00,3610,3615,3565,3565,3603,3617,3655.75,3779.083,3843.5,48673,35897.2,29432.4,27961.43,24877.15
2022-04-19,14:35:00,3605,3615,3605,3615,3613,3630.5,3662,3784.333,3845.917,7832,33002.4,29069.55,27220.78,24580.03
2022-04-19,14:34:00,3610,3615,3600,3605,3612,3638.5,3665,3788.75,3848,18065,43613.2,36212.05,27222.15,24605.27
2022-04-19,14:33:00,3620,3625,3610,3615,3612,3647.5,3670.5,3793.167,3850.208,17672,60848.8,37272.55,26981.2,24625.52
2022-04-19,14:32:00,3615,3620,3600,3615,3616,3655,3675.75,3797.5,3852.333,87244,76476,39938.45,26743.4,24644.11
2022-04-19,14:31:00,3620,3630,3610,3615,3631,3663,3681.75,3801.75,3854.583,34199,59973.2,39119.4,25447.1,24060.55
2022-04-19,14:30:00,3625,3625,3610,3610,3648,3671,3689,3805.833,3856.75,60886,55920.4,39140.45,25156.9,23882.15
2022-04-19,14:28:00,3630,3640,3605,3605,3665,3679,3696.75,3810.083,3858.958,104243,44594,44390.6,24338.6,23449.38
2022-04-19,14:27:00,3695,3695,3635,3635,3683,3688,3708.25,3814.75,3861.125,95808,25027.6,39607.1,22859.37,22626.72
2022-04-19,14:26:00,3700,3700,3690,3690,3694,3694,3718.25,3818.667,3862.958,4730,7407.6,35743.3,21405.7,21954.85
2022-04-19,14:25:00,3695,3700,3690,3700,3695,3694.5,3726.5,3821.583,3864.208,13935,7202.6,36492.35,21785.15,21985.07
2022-04-19,14:24:00,3695,3700,3690,3695,3694,3693.5,3733.5,3824.417,3865.375,4254,6011.2,36135.9,22125.98,21925.88
2022-04-19,14:23:00,3690,3700,3690,3695,3693,3691.5,3740.5,3826.917,3866.625,6411,8361,36087.65,22817.92,22069.26
2022-04-19,14:22:00,3690,3700,3690,3690,3693,3693.5,3747.5,3829.917,3867.75,7708,9627.8,36443.7,23262.72,22163.48
2022-04-19,14:21:00,3700,3700,3690,3695,3694,3696.5,3755.5,3833.333,3869,3705,11491.2,36488.4,23569.17,22217.84
2022-04-19,14:20:00,3690,3695,3685,3695,3694,3700.5,3763.25,3836.917,3870.167,7978,14656.6,36789.15,23614.42,22584.63
2022-04-19,14:19:00,3695,3700,3685,3690,3693,3707,3771,3840.417,3871.5,16003,21344.2,36985.25,23587.48,23018.47
2022-04-19,14:18:00,3695,3695,3680,3695,3690,3714.5,3778,3844.25,3873.167,12745,48280,36681.15,23525.18,22937.11
2022-04-19,14:17:00,3695,3695,3680,3695,3694,3728.5,3784.25,3847.667,3874.833,17025,53586,39669.45,23586.53,22967.63
2022-04-19,14:16:00,3690,3700,3685,3695,3699,3742.5,3792.25,3851.417,3876.5,19532,64379,39011.55,23413.85,22875.19
2022-04-19,14:15:00,3670,3695,3665,3690,3707,3758.5,3800.25,3855.167,3878.042,41416,74645.2,38697.85,23233.45,22820.58
2022-04-19,14:14:00,3720,3720,3665,3675,3721,3773.5,3809,3859.083,3879.583,150682,73286,37347.45,22564.18,22582.48
2022-04-19,14:13:00,3725,3725,3710,3715,3739,3789.5,3817.25,3863.167,3881.292,39275,76327.4,31399.2,20176.63,21369.48
2022-04-19,14:12:00,3740,3740,3705,3720,3763,3801.5,3825.5,3866.667,3882.667,70990,70187,29596,19813.43,21091.73
2022-04-19,14:11:00,3755,3760,3720,3735,3786,3814.5,3833.5,3870.333,3884,70863,59695.4,26534.2,18672.95,20580.28
2022-04-19,14:10:00,3765,3780,3755,3760,3810,3826,3841.5,3873.583,3885.25,34620,49465,24336.95,17615.62,20085.33
2022-04-19,14:09:00,3835,3835,3755,3765,3826,3835,3847.25,3876.583,3886.292,165889,43902.2,23121.9,17147.25,20215.88
