날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,2935,2935,2935,2935,2935,2935,2934,2878.917,2795.958,1379,10853,161379.3,250838,316816.9
2022-04-19,15:30:00,2935,2935,2935,2935,2935,2935,2933.75,2876.75,2793.292,10971,15133.6,177972.9,264343,317393.5
2022-04-19,15:19:00,2935,2935,2935,2935,2935,2935,2933,2876.083,2790.625,9433,15034.6,190911,277087.8,317767.1
2022-04-19,15:18:00,2935,2935,2935,2935,2935,2935,2931.5,2875.833,2788,18032,15271.4,196485.2,286660.6,318370.9
2022-04-19,15:17:00,2935,2935,2935,2935,2935,2935,2929.75,2875.75,2785.375,14450,16491.4,204343.8,304496.9,319270.9
2022-04-19,15:16:00,2935,2935,2935,2935,2935,2935,2928,2875.667,2782.458,22782,23415.4,214339,310223,323639.1
2022-04-19,15:15:00,2935,2935,2935,2935,2935,2935,2926.5,2875.667,2780.083,10476,29368.2,228505.3,335506.5,323765.1
2022-04-19,15:14:00,2935,2935,2935,2935,2935,2935,2922.5,2875.583,2777.583,10617,34211,248057.3,342979.2,324317.7
2022-04-19,15:13:00,2935,2935,2935,2935,2935,2934.5,2919.25,2875.333,2775.167,24132,89669.4,266146.6,411305.9,324799.6
2022-04-19,15:12:00,2935,2935,2935,2935,2935,2933.5,2917.25,2875.083,2772.792,49070,99995.4,287360.1,424485.3,325429.6
2022-04-19,15:11:00,2935,2935,2935,2935,2935,2933,2915.5,2874.5,2770.292,52546,107696.4,301256.4,440780.1,325882.7
2022-04-19,15:10:00,2935,2935,2935,2935,2935,2932.5,2912.75,2873.667,2767.875,34690,168435.2,305465.7,477959.7,326166.6
2022-04-19,15:09:00,2935,2935,2930,2935,2935,2931,2910,2871.75,2765.458,287909,369197.2,315691.7,492754.9,328503.2
2022-04-19,15:08:00,2935,2935,2935,2935,2934,2928,2907,2869.25,2763.125,75762,362005.2,305800.5,499497,328456.7
