날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,7940,7940,7940,7940,7932,7916,7905.5,7848.167,7858.583,3305,12101.6,6641.15,3922.883,3490.35
2022-04-19,15:30:00,7940,7940,7940,7940,7926,7913,7901.5,7847.167,7857.167,35015,13415.4,6539.6,3887.55,3738.375
2022-04-19,15:19:00,7930,7940,7920,7920,7918,7910,7897.5,7846,7856.25,9743,7337.6,4845.9,3306.017,3537.817
2022-04-19,15:18:00,7930,7930,7920,7930,7914,7908,7893.5,7845.167,7855.667,4953,7257.4,4419.35,3163.117,3467.15
2022-04-19,15:17:00,7920,7940,7920,7930,7908,7904,7889,7844.167,7855.083,7492,6591,4304.15,3160.4,3458.283
2022-04-19,15:16:00,7910,7930,7900,7910,7900,7898,7884,7843.667,7854.75,9874,6244.8,3999.75,3048.233,3422.317
2022-04-19,15:15:00,7910,7920,7900,7900,7900,7898,7880.5,7843.667,7854.75,4626,5536,3536.4,2917.033,3346.075
2022-04-19,15:14:00,7900,7920,7890,7900,7902,7898,7877.5,7843.333,7854.75,9342,5951.6,3318.4,2860.883,3317.367
2022-04-19,15:13:00,7890,7900,7890,7900,7902,7897,7875.5,7842.667,7854.583,1621,4633.2,2897.55,2738.583,3256.558
2022-04-19,15:12:00,7910,7910,7880,7890,7900,7897,7874,7842.167,7854.5,5761,4774.4,2935.4,2733.767,3250.708
2022-04-19,15:11:00,7910,7910,7900,7910,7896,7895,7873.5,7842,7854.583,6330,4873.8,3009.1,2687.383,3214.808
2022-04-19,15:10:00,7900,7920,7900,7910,7896,7890,7870,7841.167,7854.167,6704,4322.8,2743.4,2599.067,3175.85
2022-04-19,15:09:00,7890,7900,7890,7900,7894,7885,7865.5,7840.667,7854,2750,3257.8,2537.1,2509.417,3126.517
2022-04-19,15:08:00,7870,7890,7870,7890,7892,7879,7860.5,7840.5,7853.75,2327,3453,2556.85,2471.55,3107.942
2022-04-19,15:07:00,7910,7910,7870,7870,7894,7874,7855,7840.5,7853.833,6258,4364.8,2445.2,2439.25,3095.85
2022-04-19,15:06:00,7900,7910,7890,7910,7894,7870,7850.5,7841.167,7853.583,3575,3344.4,2141.6,2347.383,3070.408
2022-04-19,15:05:00,7890,7900,7890,7900,7884,7863,7843,7840.5,7853.083,1379,2884.2,2073.25,2362.833,3070.25
2022-04-19,15:04:00,7890,7900,7880,7890,7876,7857,7836,7840.333,7852.833,3726,2836.6,2115.2,2379.067,3067.117
2022-04-19,15:03:00,7870,7910,7870,7900,7866,7854,7827.5,7840.833,7852.583,6886,2333.8,2251.8,2345.533,3051.025
2022-04-19,15:02:00,7870,7870,7860,7870,7854,7851,7818.5,7841.333,7852.417,1156,1486.4,2140,2303.117,3035.467
2022-04-19,15:01:00,7860,7860,7840,7860,7846,7852,7813,7842,7852.25,1274,1536,2215.65,2330.267,3087.958
2022-04-19,15:00:00,7850,7860,7840,7860,7842,7850,7807,7842.167,7852.333,1141,1402.6,2449.75,2328.95,3113.158
2022-04-19,14:59:00,7850,7860,7840,7840,7838,7846,7801.5,7842.5,7852.583,1212,1227.6,2971.25,2339.95,3121.308
2022-04-19,14:58:00,7830,7840,7800,7840,7842,7842,7799.5,7843.333,7852.833,2649,1170.2,3256.2,2334.75,3142.625
2022-04-19,14:57:00,7830,7830,7820,7830,7848,7836,7799.5,7844.167,7853.333,1404,1116,3156,2300.117,3133.008
2022-04-19,14:56:00,7840,7840,7840,7840,7858,7831,7800,7845.5,7853.917,607,2282.2,3141.2,2322.15,3161.025
