날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-19,15:35:00,4135,4135,4135,4135,4115,4106.5,4100.75,4086.167,4096.417,9307,66349,39188.35,25073.67,23586.21
2022-04-19,15:30:00,4135,4135,4135,4135,4109,4101,4096.75,4085.833,4095.917,204375,70713.6,39445.95,25332.75,23615.54
2022-04-19,15:19:00,4100,4105,4060,4095,4107,4098,4093,4084.917,4095.375,57164,43260.2,30236,22169.85,22110.95
2022-04-19,15:18:00,4110,4115,4100,4100,4106,4098.5,4089.25,4084.833,4095.083,28782,34507.4,29156.55,21550.83,21747.28
2022-04-19,15:17:00,4105,4110,4090,4110,4106,4097.5,4085.5,4084.25,4094.708,32117,32986.2,33842.65,21716.52,21793.89
2022-04-19,15:16:00,4125,4130,4105,4105,4098,4095,4083.5,4083.417,4094.292,31130,35766.4,33124.65,21596.48,21725.73
2022-04-19,15:15:00,4095,4125,4085,4125,4093,4094.5,4081.5,4083.083,4094.042,67108,38166.8,32103,21159.73,21966.13
2022-04-19,15:14:00,4100,4100,4075,4090,4089,4090,4079.5,4082.5,4093.5,13400,29359.4,29751.7,20222.68,22217.28
2022-04-19,15:13:00,4070,4100,4070,4100,4091,4091,4078.75,4082.75,4093.333,21176,30086.4,30044.45,20129.83,23330.21
2022-04-19,15:12:00,4080,4095,4060,4070,4089,4093.5,4077.75,4082.75,4093.333,46018,26754.6,29675.15,20001.52,23907.64
2022-04-19,15:11:00,4105,4105,4080,4080,4092,4095,4078,4083.25,4094.25,43132,23070.8,27823.85,19406.42,23563.48
2022-04-19,15:10:00,4095,4105,4095,4105,4096,4092.5,4078.5,4083.583,4095.042,23071,16041.8,26223.15,18989.33,23260.45
2022-04-19,15:09:00,4085,4105,4085,4100,4091,4088,4078,4083.583,4095.75,17035,15483.6,25251.6,18842.85,23187.29
2022-04-19,15:08:00,4090,4090,4085,4090,4091,4080,4077.5,4083.583,4096.292,4517,20048,24888.65,18707.13,23155.58
2022-04-19,15:07:00,4100,4100,4080,4085,4098,4073.5,4078.25,4083.417,4096.958,27599,29987.6,26279.9,18773.6,23249.33
2022-04-19,15:06:00,4085,4100,4075,4100,4098,4072,4078.75,4083.583,4097.708,7987,31567.2,26941.05,19107.67,23263.89
2022-04-19,15:05:00,4105,4105,4080,4080,4089,4068.5,4077,4083.75,4098.542,20280,32861.6,27132.1,19032.92,23339.88
2022-04-19,15:04:00,4125,4125,4095,4100,4085,4069,4076.25,4084.333,4099.417,39857,32840.8,26435.4,18887.2,23377.95
2022-04-19,15:03:00,4085,4125,4085,4125,4069,4066.5,4073.75,4084.5,4100.292,54215,31984.4,26437.2,18636.88,23312.61
2022-04-19,15:02:00,4050,4105,4050,4085,4049,4062,4071.5,4084.583,4100.917,35497,45642.2,23873,17862.52,23168.94
2022-04-19,15:01:00,4055,4060,4050,4055,4046,4061,4071.25,4085.25,4101.5,14459,42094.2,22389.45,17565.08,23041.48
2022-04-19,15:00:00,4025,4070,4020,4060,4048,4064.5,4072,4086.5,4102.458,20176,41341.8,22289.15,17534.77,23011.59
2022-04-19,14:59:00,4025,4040,4015,4020,4053,4068,4073.25,4087.667,4103.542,35575,41323,21849.3,18045.85,22958.01
2022-04-19,14:58:00,4060,4070,4005,4025,4064,4075,4077.25,4089.833,4104.708,122504,38059,21155.95,17731.85,23191.79
2022-04-19,14:57:00,4070,4075,4050,4070,4075,4083,4080,4092.083,4105.917,17757,16316.2,15617.25,16294.95,22530.53
2022-04-19,14:56:00,4070,4085,4060,4065,4076,4085.5,4081.25,4093.667,4106.833,10697,14563.2,15250.25,16927.82,22874.88
2022-04-19,14:55:00,4070,4090,4060,4085,4081,4085.5,4081,4095.083,4107.375,20082,14647.4,15778.85,17032.95,23203.53
2022-04-19,14:54:00,4075,4090,4070,4075,4083,4083.5,4080.5,4096.167,4107.667,19255,11359,15008.6,17442.37,24279.1
2022-04-19,14:53:00,4085,4095,4070,4080,4086,4081,4080.5,4097.75,4108.583,13790,9463.2,14347.35,18449.65,24324.06
2022-04-19,14:52:00,4080,4090,4070,4075,4091,4081,4080.5,4098.083,4109.625,8992,13173.6,13899,18476.77,24361.49
2022-04-19,14:51:00,4090,4100,4075,4090,4095,4081.5,4081.25,4098.667,4110.792,11118,19539.6,13964.95,18736.47,24521.78
2022-04-19,14:50:00,4095,4095,4085,4095,4090,4079.5,4080.5,4098.333,4111.708,3640,19677.6,13776.15,18687.85,24567.72
2022-04-19,14:49:00,4090,4105,4085,4090,4084,4078.5,4079.25,4097.833,4112.417,9776,20218.8,14448.9,18953.3,24698.6
2022-04-19,14:48:00,4090,4110,4090,4105,4076,4079.5,4078.5,4097.167,4113.208,32342,26242.2,15366.9,19105.42,24982.21
2022-04-19,14:47:00,4060,4100,4055,4095,4071,4077,4076.25,4096.167,4114.042,40822,20360,14668.6,19001.88,25001.03
2022-04-19,14:46:00,4065,4070,4050,4065,4068,4077,4075.75,4095.25,4114.875,11808,13360.8,13482.25,19391.93,24947.22
2022-04-19,14:45:00,4050,4070,4050,4065,4069,4076.5,4078.25,4095.417,4115.875,6346,13489.8,13215.3,19566.17,25306.71
2022-04-19,14:44:00,4080,4080,4050,4050,4073,4077.5,4080.25,4095.75,4116.708,39893,14496.4,13164.2,19771.85,25989.98
2022-04-19,14:43:00,4080,4085,4075,4080,4083,4080,4083.75,4096.167,4117.958,2931,10859.4,12341.3,19532.22,26596.13
2022-04-19,14:42:00,4075,4080,4070,4080,4083,4080,4084.75,4095.833,4118.958,5826,12619.2,12649.85,20040.18,28645.92
2022-04-19,14:41:00,4085,4085,4070,4070,4086,4081,4086.5,4096.5,4120.458,12453,13537.4,13643.2,20146.03,28802.71
2022-04-19,14:40:00,4095,4100,4085,4085,4084,4081.5,4088.75,4097.5,4122.25,11379,15300.6,14263.15,20268.3,28829.55
2022-04-19,14:39:00,4080,4100,4080,4100,4082,4080,4088.5,4098.25,4123.958,21708,13960.2,14424.25,20216.17,28847.08
2022-04-19,14:38:00,4090,4090,4080,4080,4077,4077.5,4088,4098.667,4125.5,11730,10824.6,14340,19893.85,28828.23
2022-04-19,14:37:00,4070,4095,4060,4095,4077,4075.5,4087.25,4099.333,4127.292,10417,9443.2,15689.65,19776.67,28947.18
2022-04-19,14:36:00,4075,4075,4060,4060,4076,4074.5,4085.5,4099.75,4129.042,21269,9422,16414.55,19673.07,29066.53
2022-04-19,14:35:00,4075,4075,4070,4075,4079,4080,4086.75,4100.583,4130.833,4677,6636.6,15597.35,19431.67,29656.53
2022-04-19,14:34:00,4080,4085,4075,4075,4078,4083,4087.5,4101.5,4132.917,6030,9120.2,15907.75,19529.88,29713.65
2022-04-19,14:33:00,4090,4095,4075,4080,4078,4087.5,4089,4102.167,4135.125,4823,13541.4,15997.7,19837.48,29714.21
2022-04-19,14:32:00,4075,4090,4065,4090,4074,4089.5,4090,4102.833,4137.25,10311,16252,16430.4,20197.45,29760.99
2022-04-19,14:31:00,4060,4075,4055,4075,4073,4092,4090.5,4103.25,4139.25,7342,17608.8,16430.45,20246.63,29789.87
2022-04-19,14:30:00,4080,4085,4045,4070,4081,4096,4091.75,4104.083,4141.5,17095,17434.2,16968.7,20538.42,29787.53
2022-04-19,14:29:00,4055,4080,4045,4075,4088,4097,4093.5,4105.417,4143.75,28136,15080,16828.05,20751.57,30076.46
2022-04-19,14:28:00,4085,4085,4055,4060,4097,4098.5,4094.75,4106.75,4145.833,18376,14139.8,15865.85,21125.08,29938.39
2022-04-19,14:27:00,4110,4110,4085,4085,4105,4099,4095.75,4107.417,4148.125,17095,12285,15372.3,20984.75,30006.03
2022-04-19,14:26:00,4105,4115,4100,4115,4111,4096.5,4096.25,4107.667,4150.292,6469,14004.6,16899.7,21068.72,30083.23
2022-04-19,14:25:00,4110,4115,4100,4105,4111,4093.5,4096,4107.75,4152.167,5324,17681.2,16751.35,21405.23,30138.5
2022-04-19,14:24:00,4100,4125,4090,4120,4106,4092,4096.5,4108,4154.125,23435,19536.6,17062,21550.6,30558.23
2022-04-19,14:23:00,4115,4120,4095,4100,4100,4090.5,4096,4107.75,4156.167,9102,18854.2,17132.15,22027.68,30726.97
2022-04-19,14:22:00,4115,4125,4105,4115,4093,4090.5,4097.5,4107.25,4158.333,25693,24778.4,17064.7,22198.85,30954.02
2022-04-19,14:21:00,4080,4115,4065,4115,4082,4089,4098,4106.667,4160.458,24852,24622.8,16662.6,22098.75,31358.98
2022-04-19,14:20:00,4090,4095,4075,4080,4076,4087.5,4098.75,4106,4162.5,14601,20637.4,16052,21898.33,32067.98
2022-04-19,14:19:00,4065,4100,4060,4090,4078,4090,4101.25,4105.833,4164.917,20023,19894.2,17864,22052.05,33189.13
2022-04-19,14:18:00,4060,4075,4040,4065,4081,4091,4104.25,4105.333,4166.75,38723,17455.4,17699.6,21943.72,33336.01
2022-04-19,14:17:00,4080,4090,4060,4060,4088,4092.5,4109,4105.167,4168.5,24915,12406.2,17577.95,21871.27,33215.64
2022-04-19,14:16:00,4090,4090,4080,4085,4096,4096,4114.25,4105.167,4170.5,4925,9485.6,19118.65,21854.97,33109.72
2022-04-19,14:15:00,4105,4110,4085,4090,4099,4098.5,4117.5,4105,4172.458,10885,12122,19722.65,22772.53,33164.52
2022-04-19,14:14:00,4095,4115,4095,4105,4102,4101,4120.5,4104.5,4174.208,7829,12801.4,21410.75,24211.88,33514.15
2022-04-19,14:13:00,4110,4115,4080,4100,4101,4101.5,4123.75,4103.917,4175.875,13477,13014,25003.9,26530.58,33608.06
2022-04-19,14:12:00,4100,4110,4090,4100,4097,4104.5,4123.75,4103.917,4177.583,10312,12019.6,25100.9,27813.77,33721.32
2022-04-19,14:11:00,4105,4115,4075,4100,4096,4107,4124.25,4105.25,4179.583,18107,19485.8,25814,27720.53,33795.83
2022-04-19,14:10:00,4105,4115,4095,4105,4098,4110,4122.75,4106.5,4181.333,14282,16564.8,25318.7,27531.57,33816.93
2022-04-19,14:09:00,4090,4105,4075,4100,4100,4112.5,4120.75,4107.917,4183.083,8892,16015.8,25582.95,27531.73,33969.41
2022-04-19,14:08:00,4095,4095,4070,4080,4102,4117.5,4118.25,4109,4184.792,8505,19205,26083.5,27604.02,34288.87
2022-04-19,14:07:00,4105,4110,4055,4095,4112,4125.5,4116.5,4110.5,4186.958,47643,19054.6,26964.75,27725.05,34773.22
2022-04-19,14:06:00,4115,4115,4105,4110,4118,4132.5,4113.75,4111.833,4189.083,3502,13056.2,27793.85,27420.12,35022.11
2022-04-19,14:05:00,4120,4125,4105,4115,4122,4136.5,4112,4113.333,4190.833,11537,14883.8,28731.85,27646.85,35374.46
2022-04-19,14:04:00,4135,4140,4110,4110,4125,4140,4110.5,4114.5,4192.375,24838,22744.6,29089.35,27868.7,35502.48
2022-04-19,14:03:00,4125,4135,4120,4130,4133,4146,4108.75,4116.083,4193.917,7753,21124,29123.2,27988.33,35577.58
2022-04-19,14:02:00,4130,4135,4105,4125,4139,4143,4105.25,4117.25,4195.292,17651,26831.4,30406,28475.37,35774.25
2022-04-19,14:01:00,4130,4135,4120,4130,4147,4141.5,4105,4117.75,4196.708,12640,34447,30132.3,28517.87,36062.22
2022-04-19,14:00:00,4150,4150,4090,4130,4151,4135.5,4105,4118.417,4197.917,50841,35320,30489.75,28488.42,37169.83
2022-04-19,13:59:00,4160,4165,4140,4150,4155,4129,4105,4119.417,4199.542,16735,34081.2,28360.25,27870.17,36999.68
2022-04-19,13:58:00,4165,4175,4140,4160,4159,4119,4103.75,4119.583,4200.958,36290,46672.6,27641.95,28651.73,37220.37
2022-04-19,13:57:00,4150,4175,4135,4165,4147,4107.5,4101.75,4119.75,4202.458,55729,42498,26062.4,28766.1,37320.2
2022-04-19,13:56:00,4145,4160,4140,4150,4136,4095,4099.5,4120,4203.75,17005,36267,23486,28821.95,37077.86
2022-04-19,13:55:00,4170,4175,4130,4150,4120,4087.5,4097.5,4119.667,4205.292,44647,34506.2,22975,29374.1,37391.86
2022-04-19,13:54:00,4100,4175,4100,4170,4103,4081,4096.5,4119.167,4206.958,79692,29490.2,21271.15,31115.83,37796.4
2022-04-19,13:53:00,4110,4115,4090,4100,4079,4071.5,4093.75,4119.417,4208.083,15417,17332.4,18510.85,30198.47,37745.46
2022-04-19,13:52:00,4075,4110,4070,4110,4068,4067.5,4094.75,4121.167,4210.083,24574,19475,19061.05,30246.22,37956.17
2022-04-19,13:51:00,4070,4080,4065,4070,4054,4068.5,4095,4122.917,4212.167,8201,27405.2,18495.45,30307.08,38224.73
2022-04-19,13:50:00,4050,4080,4045,4065,4055,4074.5,4097.75,4125.083,4214.5,19567,30217.4,19327.85,30447.58,38746.95
2022-04-19,13:49:00,4050,4060,4040,4050,4059,4081,4102,4127,4217,18903,30041.4,19843.7,30443.9,39715.69
2022-04-19,13:48:00,4040,4065,4040,4045,4064,4088.5,4107.25,4129.25,4219.458,26130,31363.8,21425.9,30859,40426.95
2022-04-19,13:47:00,4075,4090,4030,4040,4067,4096,4110,4131.917,4222.042,64225,32819.6,20617.2,31000.17,41332.11
2022-04-19,13:46:00,4075,4080,4060,4075,4083,4104,4113,4134.5,4224.792,22262,22410,18512.6,30502.5,42506.81
2022-04-19,13:45:00,4070,4110,4065,4085,4094,4107.5,4115.25,4136.333,4227.5,18687,21915.4,18732.5,31047.25,45507.48
2022-04-19,13:44:00,4075,4085,4060,4075,4103,4112,4117,4137.667,4229.875,25515,19828.2,18500.45,32208.1,47418.03
2022-04-19,13:43:00,4115,4115,4060,4060,4113,4116,4118.5,4139.75,4231.792,33409,15199,19827.7,33660.05,49939.33
2022-04-19,13:42:00,4125,4135,4110,4120,4125,4122,4119,4142.083,4233.667,12177,9457,19125.85,37251.65,50447.54
2022-04-19,13:41:00,4125,4145,4120,4130,4125,4121.5,4117,4144.417,4234.5,19789,7861.8,19501.35,37459.38,50648.47
2022-04-19,13:40:00,4125,4135,4120,4130,4121,4121,4114.25,4147,4235.375,8251,5261,19153.25,37390.8,50711.04
2022-04-19,13:39:00,4120,4125,4115,4125,4121,4123,4111.25,4149.667,4236.042,2369,5724.8,19931.9,37477.98,50807.23
2022-04-19,13:38:00,4120,4120,4110,4120,4119,4126,4108,4152.333,4236.917,4699,10148.2,20489.6,37762.62,51208.48
2022-04-19,13:37:00,4110,4120,4105,4120,4119,4124,4104.75,4155.25,4237.875,4201,14492.6,21973.45,38117.68,51471.79
2022-04-19,13:36:00,4125,4130,4110,4110,4118,4122,4101.75,4158.333,4238.917,6785,16304.8,22960.25,38460,52103.47
2022-04-19,13:35:00,4115,4130,4100,4130,4121,4123,4100,4161.083,4240.167,10570,19917.6,25619.95,39881.38,52751.43
2022-04-19,13:34:00,4120,4120,4085,4115,4125,4122,4096.5,4164.333,4240.792,24486,23780.4,29953.75,39897.42,53544.48
2022-04-19,13:33:00,4120,4125,4105,4120,4133,4121,4094.25,4168.083,4241.667,26421,28992.6,36077,39590.93,54424.88
2022-04-19,13:32:00,4125,4140,4110,4115,4129,4116,4093.25,4171.667,4242.833,13262,25699.6,39279.35,39324.53,55854.39
2022-04-19,13:31:00,4150,4155,4115,4125,4126,4112.5,4096.5,4175.25,4243.708,24849,27473.8,38852.15,39333.1,57475.24
2022-04-19,13:30:00,4155,4155,4130,4150,4125,4107.5,4099,4178.917,4244.875,29884,27836,37948.15,39036.65,59733.68
2022-04-19,13:29:00,4100,4165,4095,4155,4119,4099.5,4101,4182.083,4245.625,50547,24668.4,37168.55,39401.35,62070.4
2022-04-19,13:28:00,4095,4105,4095,4100,4109,4090,4101.5,4184.917,4245.625,9956,24971,35302.65,38751.7,62165.85
2022-04-19,13:27:00,4115,4120,4095,4100,4103,4085.5,4105,4188.833,4246.042,22133,26854.2,35593.2,39027.3,62568.57
2022-04-19,13:26:00,4125,4125,4105,4120,4099,4081.5,4108.75,4192.917,4246.458,26660,26365,35953.9,39097.73,63901.86
2022-04-19,13:25:00,4105,4125,4100,4120,4090,4077,4112.75,4196.583,4246.958,14046,23598.4,35476.2,38871.77,65063.75
