날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-20,15:35:00,3565,3565,3565,3565,3553,3538,3559.25,3660.333,3686.417,91216,132880.8,111500.7,63823.9,66750.18
2022-04-20,15:30:00,3565,3565,3565,3565,3538,3536.5,3564.5,3662.833,3688.083,255888,130590.4,107988.8,62825.33,66605.78
2022-04-20,15:19:00,3570,3570,3555,3560,3522,3533,3570.25,3665.667,3689.917,79044,113566,97087.55,58828.65,64914.51
2022-04-20,15:18:00,3525,3570,3525,3550,3513,3536,3577.25,3668.5,3691.833,129466,117732.6,94418.5,57848.7,64581.58
2022-04-20,15:17:00,3490,3545,3490,3525,3514,3541,3585.25,3671.583,3693.833,108790,99937.4,89189.4,56185.6,64365.61
2022-04-20,15:16:00,3485,3490,3485,3490,3523,3548.5,3594.75,3675.167,3696.208,79764,90904.6,86550.2,55129.15,63598.59
2022-04-20,15:14:00,3515,3525,3485,3485,3535,3563,3606.75,3679.25,3698.875,170766,91123.2,85977.65,54473.23,63157.98
2022-04-20,15:13:00,3560,3560,3515,3515,3544,3571,3618.25,3683.583,3701.708,99877,70510.2,79496.15,52343.07,62192.73
2022-04-20,15:12:00,3575,3580,3555,3555,3559,3571.5,3626.5,3686.833,3704.333,40490,61328.8,76811.5,51187,61522.43
2022-04-20,15:11:00,3550,3590,3550,3570,3568,3574.5,3631.5,3689.333,3706.542,63626,63183.6,76800.65,51279.73,61466.91
2022-04-20,15:10:00,3535,3555,3525,3550,3574,3580.5,3636,3691.75,3708.625,80857,70730.8,75811.05,50616.85,61020.86
2022-04-20,15:09:00,3590,3595,3530,3530,3591,3592.5,3640,3694.583,3710.833,67701,82868.4,78671.45,49832.1,60500.46
2022-04-20,15:08:00,3600,3605,3585,3590,3598,3607.5,3647.25,3697.917,3713.125,53970,92222,76933.45,49106.08,60057.57
2022-04-20,15:07:00,3600,3610,3595,3600,3584,3618.5,3652.5,3700.333,3714.958,49764,138941.4,75763.8,48975.85,59724.87
2022-04-20,15:06:00,3640,3640,3600,3600,3581,3629.5,3657,3702.25,3716.667,101362,158292.2,75518.9,48693.1,59448.67
2022-04-20,15:05:00,3565,3640,3565,3635,3587,3641,3661.5,3704.5,3718.375,141545,151486.6,71144.55,47920.48,58732.68
2022-04-20,15:04:00,3520,3565,3500,3565,3594,3650.5,3664,3706.75,3719.917,114469,127373.2,66928.7,47179.95,57628.14
