날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-20,15:35:00,9870,9870,9870,9870,9860,9886,9953.5,10059,10097.33,35862,60530.6,42350.65,31026.58,30395.92
2022-04-20,15:30:00,9870,9870,9870,9870,9846,9899,9955,10066.17,10097.67,123552,67985.8,44766.7,30687.2,30202.18
2022-04-20,15:19:00,9890,9910,9820,9880,9818,9910,9969,10073.33,10098.33,53803,75126.4,39159.55,28784.75,29481.23
2022-04-20,15:18:00,9800,9880,9780,9880,9838,9922,9982.5,10079.5,10098.83,34007,70879.6,37359.65,28251.93,29223.76
2022-04-20,15:17:00,9790,9810,9730,9800,9862,9931,9993.5,10084.83,10098.67,55429,65644,36789.55,27801.3,29104.52
2022-04-20,15:16:00,9740,9850,9730,9800,9912,9961,10016,10091.5,10099.17,73138,58371,35693.55,27412.77,28879.99
2022-04-20,15:15:00,9970,9980,9700,9730,9952,9981,10038.5,10098.17,10099.5,159255,47214.4,34785.55,26265.78,29510.75
2022-04-20,15:14:00,10000,10050,9960,9980,10002,10006,10059.5,10106,10101.25,32569,18262.6,29823.75,24393.87,28374.53
2022-04-20,15:13:00,10050,10050,10000,10000,10006,10018,10065.5,10108.83,10101.17,7829,15139.4,28963.6,24356.27,28263.33
2022-04-20,15:12:00,9980,10100,9980,10050,10000,10028,10068,10112.17,10100.58,19064,21373.4,28938.3,24290.12,28695.74
2022-04-20,15:11:00,9980,10000,9970,10000,10010,10021,10065.5,10115.5,10100.58,17355,20621.4,29167.55,24108.97,28591.13
2022-04-20,15:10:00,10000,10050,9980,9980,10010,10011,10068,10119.67,10100.58,14496,22510.8,29039.15,24095.38,28534.2
2022-04-20,15:09:00,9980,10050,9980,10000,10010,10028,10071.5,10123.33,10100.67,16953,27819.4,28886.85,23965.12,28536.03
2022-04-20,15:08:00,10050,10100,9970,9970,10030,10043,10074,10127.5,10101.08,38999,26476.8,28596.95,23908.33,28477.59
2022-04-20,15:07:00,10000,10100,10000,10100,10056,10056,10078,10132.17,10101.33,15304,26112.6,27983.5,23771.47,28166
2022-04-20,15:06:00,9980,10050,9970,10000,10032,10071,10075.5,10135.5,10100.92,26802,29879.6,29741.95,23667.3,28049.7
