날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-22,15:30:00,2130,2130,2130,2130,2122,2123.5,2125.25,2149.083,2185,1092557,484744.4,264322.6,270684.6,260276.2
2022-04-22,15:19:00,2105,2130,2100,2130,2122,2123.5,2124.5,2150.333,2185.625,613891,307562.8,237049.4,258150.1,252224
2022-04-22,15:18:00,2120,2125,2100,2105,2119,2121.5,2123.75,2151.417,2186.333,343994,224277.2,214307.4,254625.1,248237.5
2022-04-22,15:17:00,2125,2130,2120,2120,2122,2123,2123.75,2153,2187.333,178939,203016.2,224785.1,262062.4,247379.6
2022-04-22,15:16:00,2130,2135,2120,2125,2124,2123,2124,2153.75,2188.167,194341,196182.2,227936.7,266574,246203.9
2022-04-22,15:15:00,2120,2130,2115,2130,2125,2122,2124.5,2154.333,2188.958,206649,192818,232999.3,280474.9,245310.8
2022-04-22,15:14:00,2115,2120,2110,2115,2125,2122,2124.75,2154.5,2189.667,197463,185193.2,233261.3,303398.1,244241.5
2022-04-22,15:13:00,2130,2130,2115,2120,2124,2124.5,2125.5,2155.917,2190.542,237689,164207.8,233357.7,323714.7,244965.1
2022-04-22,15:12:00,2130,2135,2125,2130,2124,2126.5,2126.25,2157.75,2191.208,144769,167946.2,238296.6,320485.1,246109.7
2022-04-22,15:11:00,2130,2130,2120,2130,2122,2126.5,2125.75,2159.417,2191.875,177520,158347.2,246980.4,320133.9,246301.3
2022-04-22,15:10:00,2115,2130,2105,2130,2119,2127,2125.75,2161.083,2192.583,168525,172502.6,276188.6,318561.2,246283.8
2022-04-22,15:09:00,2120,2120,2110,2110,2119,2125.5,2126.5,2162.833,2193.333,92536,176448.8,275886,318117.6,247005
2022-04-22,15:08:00,2115,2120,2100,2120,2125,2126,2129.25,2165,2194.25,256381,173750.8,279161.1,319301,250705.8
2022-04-22,15:07:00,2120,2125,2115,2120,2129,2124.5,2130.25,2166.833,2195,96774,164540.2,273222.6,316527.5,260256.2
2022-04-22,15:06:00,2130,2130,2105,2115,2131,2125,2132,2168.667,2196.042,248297,200104.4,285721.7,317861.7,260155.5
2022-04-22,15:05:00,2140,2145,2125,2130,2135,2127,2134.25,2170.417,2197.167,188256,207225.4,281751.2,315483.9,260550
2022-04-22,15:04:00,2140,2145,2130,2140,2132,2127.5,2136.25,2171.917,2198.208,79046,278992.6,280113.3,314056.5,259574.2
2022-04-22,15:03:00,2130,2145,2120,2140,2127,2126.5,2137.5,2173.333,2199.208,210328,294993.8,295439.4,315627.2,260886
2022-04-22,15:02:00,2135,2145,2120,2130,2120,2126,2139.75,2174.833,2200.208,274595,363637.8,294481.1,315540.2,262399.6
2022-04-22,15:01:00,2115,2140,2115,2135,2119,2125,2142,2176.5,2201.375,283902,357112.8,290075.8,313580.2,264886.7
2022-04-22,15:00:00,2115,2120,2100,2115,2119,2124.5,2144.75,2178.25,2202.25,547092,359451,288740.4,310053.5,263336.1
2022-04-22,14:59:00,2110,2120,2105,2115,2123,2127.5,2149,2180.333,2203.292,159052,292410.4,277114,305277.3,259617.1
2022-04-22,14:58:00,2125,2130,2100,2105,2126,2132.5,2153.75,2182.583,2204.292,553548,300478.4,308636.7,306269.2,259814.9
2022-04-22,14:57:00,2135,2145,2125,2125,2132,2136,2157.75,2184.917,2205.458,241970,257062,286186,300495.3,256244.4
2022-04-22,14:56:00,2140,2155,2130,2135,2131,2139,2160.25,2186.917,2206.458,295593,272357,279142.3,300806.7,255085.1
2022-04-22,14:55:00,2125,2145,2120,2135,2130,2141.5,2161.75,2188.583,2207.333,211889,365575.2,269776.5,304392.2,253477.5
2022-04-22,14:54:00,2135,2135,2120,2130,2132,2145,2163.75,2190.333,2208.167,199392,355692,269859.6,303146.4,252637.3
2022-04-22,14:53:00,2125,2135,2110,2135,2139,2148.5,2166.5,2192,2209.125,336466,347421.4,273580,300695.2,253284.6
2022-04-22,14:52:00,2130,2135,2115,2120,2140,2153.5,2168,2193.583,2209.958,318445,307650.4,262032.6,297080.2,252602.4
2022-04-22,14:51:00,2145,2150,2120,2130,2147,2159,2170.5,2195.5,2210.917,761684,313312.4,257818.2,296160.4,251225
2022-04-22,14:50:00,2165,2165,2145,2145,2153,2165,2171.25,2197.083,2211.833,162473,194753.2,230219.9,284032,246872.4
2022-04-22,14:49:00,2145,2165,2145,2165,2158,2170.5,2172,2198.333,2212.708,158039,193358.2,262201.6,282950.1,248438.6
2022-04-22,14:48:00,2160,2160,2140,2140,2158,2175,2172.5,2199.25,2213.333,137611,238863.8,260986.7,281577.1,251947.6
2022-04-22,14:47:00,2155,2170,2140,2155,2167,2179.5,2173.75,2200.75,2214.208,346755,249574.2,264610.2,282998,254636
2022-04-22,14:46:00,2165,2175,2155,2160,2171,2181.5,2174.25,2201.583,2215.125,168888,217520.8,257318.4,286494.9,254087.9
2022-04-22,14:45:00,2165,2170,2160,2170,2177,2182,2174.75,2202.667,2215.958,155498,235182,260587.1,284835.7,254245.6
2022-04-22,14:44:00,2180,2185,2155,2165,2183,2182.5,2175.25,2203.5,2216.583,385567,266995.2,267673.5,283878.9,255108.4
2022-04-22,14:43:00,2175,2190,2175,2185,2192,2184.5,2175.5,2204.417,2217.333,191163,347783,264537.8,279416.2,253978.6
2022-04-22,14:42:00,2190,2195,2170,2175,2192,2182.5,2176,2205.083,2218,186488,330457.2,261179.5,278967.6,256738.5
2022-04-22,14:41:00,2205,2205,2185,2190,2192,2182,2177,2206.25,2218.792,257194,313378.8,258747.6,283359.7,259235.3
2022-04-22,14:40:00,2205,2215,2190,2200,2187,2177.5,2177.25,2206.833,2219.292,314564,283595.6,258991,280830.8,259448.8
2022-04-22,14:39:00,2185,2215,2175,2210,2182,2173.5,2177.5,2207.25,2219.833,789506,263393,260286.9,276977.7,261296.8
2022-04-22,14:38:00,2175,2185,2170,2185,2177,2170,2176.75,2207.417,2220.292,104534,160251.6,240931.3,264857.7,261237.8
2022-04-22,14:37:00,2165,2180,2165,2175,2173,2168,2177.5,2208,2220.917,101096,160448.4,275216.1,265296.3,265657.4
2022-04-22,14:36:00,2185,2185,2165,2165,2172,2167,2177,2209,2221.583,108278,187060.8,292643.1,264819.9,266965.3
2022-04-22,14:35:00,2185,2190,2175,2175,2168,2167.5,2176.75,2210.167,2222.292,213551,207348.8,338648.9,264497.2,270395
2022-04-22,14:34:00,2170,2195,2165,2185,2165,2168,2175,2211.167,2223,273799,325060,407073.4,266129.8,275428.9
2022-04-22,14:33:00,2170,2175,2160,2165,2163,2166.5,2175.75,2212.25,2223.583,105518,297048.2,464206.4,268397.3,278965.9
2022-04-22,14:32:00,2145,2170,2145,2170,2163,2169.5,2179,2213.333,2224.292,234158,317961,461126.3,269456,285530.4
2022-04-22,14:31:00,2160,2160,2145,2145,2162,2172,2182,2214,2225.125,209718,311313.2,455603.3,266512.9,301575.9
2022-04-22,14:30:00,2175,2175,2140,2160,2167,2177,2186.25,2215.167,2225.958,802107,316222,449275.2,263924.4,312976.1
2022-04-22,14:29:00,2165,2175,2165,2175,2171,2181.5,2190,2216,2226.5,133740,215245.8,416265.3,253016.5,317237.1
2022-04-22,14:28:00,2170,2170,2160,2165,2170,2183.5,2193.25,2216.75,2226.792,210082,253068.4,417755.2,252635.5,327970
2022-04-22,14:27:00,2165,2170,2160,2165,2176,2187,2196.5,2217.75,2226.958,200919,235851.2,411749.6,252635.5,331103.7
2022-04-22,14:26:00,2180,2180,2165,2170,2182,2187,2199.75,2218.833,2227,234262,223237.6,410545.1,252831.2,330899.8
2022-04-22,14:25:00,2165,2185,2155,2180,2187,2186,2202.25,2219.75,2226.958,297226,228797.4,404113.3,252522.9,333723.7
2022-04-22,14:24:00,2200,2200,2170,2170,2192,2182,2204.25,2220.333,2226.75,322853,237448.6,394382.6,251000.4,332509.5
2022-04-22,14:23:00,2190,2205,2190,2195,2197,2185,2207,2220.833,2226.583,123996,253356.8,386904.5,247751.4,330258.1
2022-04-22,14:22:00,2200,2200,2190,2195,2198,2188.5,2208.75,2220.75,2226.167,137851,386603.8,390959.9,254537.7,330105
2022-04-22,14:21:00,2205,2210,2195,2195,2192,2192,2210.5,2220.833,2225.792,262061,448960.6,391917.3,253213.2,329737.8
2022-04-22,14:20:00,2200,2210,2190,2205,2185,2195.5,2212.75,2220.917,2225.375,340482,602227.4,382429.3,249867.8,329390
2022-04-22,14:19:00,2195,2205,2185,2195,2172,2198.5,2214.5,2220.917,2225.042,402394,850539,378431,246298,328064.8
2022-04-22,14:18:00,2165,2210,2160,2200,2173,2203,2217.25,2221.25,2224.708,790231,1053352,369239.8,241849.9,325175.4
2022-04-22,14:17:00,2160,2165,2140,2165,2179,2206,2219.5,2221.667,2224.292,449635,904089,340083.8,232696.8,319120.6
2022-04-22,14:16:00,2140,2165,2120,2160,2192,2212.5,2223.5,2222.583,2224.208,1028395,838901.6,330634.7,225833.8,316608.9
2022-04-22,14:15:00,2200,2220,2120,2140,2206,2218.5,2227.25,2223.583,2224.083,1582040,649854,304751.3,210146.7,308741.1
2022-04-22,14:14:00,2230,2255,2200,2200,2225,2226.5,2232.25,2224.833,2224.083,1416460,361827.6,232506.3,185085,295898.3
2022-04-22,14:13:00,2230,2235,2225,2230,2233,2229,2233.75,2225.167,2223.583,43915,111243.4,164299.3,166215.6,285196.8
2022-04-22,14:12:00,2235,2235,2225,2230,2233,2229,2233.75,2224.667,2222.75,123698,120454.4,168081.7,171734.3,285836
2022-04-22,14:11:00,2235,2235,2225,2230,2233,2229,2234,2224.333,2222.042,83157,131080.4,175059.7,172468.7,287042.1
2022-04-22,14:10:00,2240,2240,2230,2235,2231,2230,2233.75,2224.083,2221.333,141908,135574.4,172601,174006.4,289800.1
2022-04-22,14:09:00,2230,2245,2230,2240,2228,2230.5,2233,2223.833,2220.708,163539,127715.2,170383.4,175892.3,291142.6
2022-04-22,14:08:00,2230,2235,2225,2230,2225,2231.5,2232,2223.5,2220.167,89970,129665.4,165989.4,182110.6,292886.3
2022-04-22,14:07:00,2215,2230,2210,2230,2225,2233,2232,2223.167,2219.667,176828,152692.4,172634.1,203985,298095.6
2022-04-22,14:06:00,2220,2225,2215,2220,2225,2234.5,2230.75,2223.417,2219.083,105627,148726.6,191621.1,202449.3,299682.8
2022-04-22,14:05:00,2230,2230,2220,2220,2229,2236,2231,2223.917,2218.5,102612,142061.4,189806.6,205616.2,301623.4
2022-04-22,14:04:00,2230,2230,2220,2225,2233,2238,2231,2224.5,2217.833,173290,173642.2,189580.5,205091.9,302826.1
2022-04-22,14:03:00,2235,2235,2225,2230,2238,2238.5,2230.75,2225.083,2217,205105,182698,186806.2,206144.8,301886
2022-04-22,14:02:00,2240,2240,2230,2230,2241,2238.5,2230.5,2225.583,2216.125,156999,183099.2,184763.3,209259,301691.5
2022-04-22,14:01:00,2240,2245,2235,2240,2244,2239,2231.25,2226.25,2215.292,72301,203830,199414.2,216193.2,303008.9
2022-04-22,14:00:00,2245,2250,2235,2240,2243,2237.5,2230.5,2226.25,2214.25,260516,291515.2,201072.2,216618.7,304109.7
2022-04-22,13:59:00,2245,2250,2240,2250,2243,2235.5,2229.75,2226.25,2213.25,218569,266840.2,192215.3,213956.9,304335.3
2022-04-22,13:58:00,2245,2245,2235,2245,2239,2232.5,2228.25,2226,2211.917,207111,233590.2,184402.1,213360.7,303842.8
2022-04-22,13:57:00,2230,2245,2230,2245,2236,2231,2227,2226,2210.583,260653,216080.8,180589,211993.5,303133.5
2022-04-22,13:56:00,2235,2255,2225,2235,2234,2227,2226.5,2226,2209.333,510727,216601.8,171181.9,209363.6,304576.6
2022-04-22,13:55:00,2230,2240,2225,2240,2232,2226,2226.5,2226.083,2208.292,137141,121253,150091.5,202562.8,301356.6
2022-04-22,13:54:00,2230,2235,2225,2230,2228,2224,2226.25,2226,2207.167,52319,113336,158809.8,202128.2,303521
2022-04-22,13:53:00,2235,2235,2225,2230,2226,2223,2227.25,2226.25,2206.208,119564,118004,176686.1,205873.9,303875.5
2022-04-22,13:52:00,2220,2240,2220,2235,2226,2222.5,2227.25,2226.333,2205.333,263258,138663.8,179160.2,208124.6,303376.8
2022-04-22,13:51:00,2220,2225,2215,2225,2220,2223.5,2226,2226.333,2204.458,33983,197326,168875.8,206289.6,301559.6
2022-04-22,13:50:00,2220,2225,2215,2220,2220,2223.5,2225.5,2226.583,2203.667,97556,204396.6,169897,209712.8,301718.9
2022-04-22,13:49:00,2230,2235,2220,2220,2220,2224,2225,2227.083,2202.958,75659,204503.4,172400.7,213927.1,301290.8
2022-04-22,13:48:00,2210,2235,2205,2230,2220,2224,2225,2227.417,2202.208,222863,212932.6,174161.8,222318.2,301072.7
2022-04-22,13:47:00,2225,2230,2195,2205,2219,2223,2224.75,2227.667,2201.375,556569,201209.4,173522.9,226274,299926.9
2022-04-22,13:46:00,2215,2225,2215,2225,2227,2226,2226,2228.667,2200.75,69336,179899,156327.4,221681,296495.2
2022-04-22,13:45:00,2220,2225,2215,2220,2227,2227,2226,2229.25,2200.042,98090,187124,163649,223655.6,298892.3
2022-04-22,13:44:00,2225,2230,2215,2220,2228,2228.5,2225.75,2229.667,2199.292,117805,184181.6,169038,226338,298901.6
2022-04-22,13:43:00,2245,2245,2220,2225,2228,2231.5,2224.75,2230.25,2198.458,164247,173081.4,169543.5,228541.1,298269.5
2022-04-22,13:42:00,2225,2250,2220,2245,2227,2232,2223,2230.917,2197.583,450017,166401.8,187889.8,234509.5,297690.6
2022-04-22,13:41:00,2225,2225,2215,2225,2225,2228.5,2220.75,2231.333,2196.542,105461,90900.8,168308,235111,295195.2
2022-04-22,13:40:00,2225,2230,2220,2225,2227,2227.5,2219.5,2231.75,2195.792,83378,87592.4,166101.9,238066.9,295149.4
2022-04-22,13:39:00,2225,2230,2220,2220,2229,2226,2218.5,2232.417,2195.042,62304,133218.2,168247.8,245615.8,295696.4
2022-04-22,13:38:00,2235,2235,2220,2220,2235,2226,2218.25,2233.167,2194.375,130849,202726.4,171907.8,257617.8,297056.5
2022-04-22,13:37:00,2235,2240,2225,2235,2237,2226.5,2218.5,2233.833,2193.583,72512,210365.6,177417.8,266018.6,297272.2
2022-04-22,13:36:00,2235,2240,2230,2235,2232,2226,2217.75,2234.167,2192.667,88919,207377.2,175685,269110.8,299539
2022-04-22,13:35:00,2250,2250,2230,2235,2228,2225,2217,2234.417,2191.625,311507,200475,175597.4,276292.7,299056.4
2022-04-22,13:34:00,2230,2250,2230,2250,2223,2223,2216,2234.833,2190.583,409845,167699.6,163938.9,284728,296858.6
