날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-26,15:30:00,4065,4065,4065,4065,4058,4063,4063.5,4067.167,4119.875,147635,49434.8,24331.45,19390.2,47153.51
2022-04-26,15:19:00,4055,4065,4045,4065,4054,4065.5,4062.75,4067.583,4121.583,48081,22639,18239.2,17020.03,48751.13
2022-04-26,15:18:00,4055,4055,4050,4050,4051,4066.5,4061,4068,4122.708,20939,18499.4,18585.45,16797.23,52459.94
2022-04-26,15:17:00,4055,4055,4050,4055,4056,4069,4060.75,4068.5,4123.917,9108,17409.6,18162.45,16873.88,58026.77
2022-04-26,15:16:00,4050,4060,4045,4055,4061,4070.5,4060.75,4069,4126.292,21411,18854.2,18283.2,17350.42,65321.79
2022-04-26,15:15:00,4050,4055,4045,4045,4068,4071,4060.5,4069.75,4128.417,13656,17480.2,18428.5,17067.82,72533.59
2022-04-26,15:14:00,4070,4075,4050,4050,4077,4073,4060.75,4070.583,4129.833,27383,19726.6,19546.5,17067.9,75473.08
2022-04-26,15:13:00,4080,4085,4075,4075,4082,4073,4061.25,4071.333,4130.75,15490,17002.2,18898.75,17292.62,75322.91
2022-04-26,15:12:00,4085,4090,4075,4080,4082,4070.5,4060.5,4072.083,4131.583,16331,17529.4,18443,17275.43,75335.28
2022-04-26,15:11:00,4090,4090,4085,4090,4080,4068,4059.75,4072.583,4132.375,14541,16880.6,17876.4,17245.95,75259.26
2022-04-26,15:10:00,4075,4090,4075,4090,4074,4064,4058.5,4072.75,4132.833,24888,17001.4,17429,17434.93,75267.03
2022-04-26,15:09:00,4075,4080,4070,4075,4069,4060,4056.75,4073.083,4133.333,13761,16056.2,18795.4,17286.23,75267.41
2022-04-26,15:08:00,4070,4075,4060,4075,4064,4055.5,4056.5,4073.417,4134.125,18126,15918.8,18523.7,18164.58,75465.69
2022-04-26,15:07:00,4065,4070,4060,4070,4059,4052.5,4056.25,4073.5,4134.958,13087,15682.6,17904.55,18412.35,75479.73
2022-04-26,15:06:00,4060,4065,4050,4060,4056,4051,4056.5,4073.917,4135.875,15145,14134.6,18072.75,18865.32,75533.28
2022-04-26,15:05:00,4050,4075,4050,4065,4054,4050,4056.75,4074.583,4136.833,20162,13409.4,17645.8,19472.95,75809.08
2022-04-26,15:04:00,4050,4055,4050,4050,4051,4048.5,4056.5,4074.917,4137.917,13074,14535,16947.05,21483.8,76135.48
2022-04-26,15:03:00,4055,4060,4045,4050,4047,4049.5,4057,4075.917,4138.625,16945,22921.4,16725.05,23704.1,76147.51
2022-04-26,15:02:00,4050,4055,4050,4055,4046,4050.5,4057.75,4077.333,4139.5,5347,22028.2,17097,24238.18,76268.63
2022-04-26,15:01:00,4055,4055,4045,4050,4046,4051.5,4058.75,4078.833,4140.5,11519,23263.4,17540.65,24553.6,76476.17
2022-04-26,15:00:00,4030,4055,4025,4050,4046,4053,4059.5,4080.75,4141.583,25790,25823,17527.6,24882.52,77119.09
2022-04-26,14:59:00,4050,4050,4030,4030,4046,4053.5,4060.5,4082.75,4142.417,55006,27868.2,16696.05,25019.95,77098.55
2022-04-26,14:58:00,4055,4060,4045,4045,4052,4057.5,4062.25,4084.583,4143.25,12479,19752.6,14265.75,24707.15,76798.89
2022-04-26,14:57:00,4050,4055,4045,4055,4055,4060,4063.25,4086.25,4143.833,11523,18531.8,14157.85,25493.05,76984.13
2022-04-26,14:56:00,4045,4055,4045,4050,4057,4062,4063.5,4087.583,4144.333,24317,17227,14392.6,26631.3,77394.43
2022-04-26,14:55:00,4055,4060,4045,4050,4060,4063.5,4064.25,4089.917,4145.167,36016,13482.2,13336.95,26681.72,77428.99
2022-04-26,14:54:00,4070,4070,4055,4060,4061,4064.5,4065.5,4092.333,4146.208,14428,16722.2,11771.55,27021.67,77547.65
2022-04-26,14:53:00,4065,4070,4060,4060,4063,4064.5,4066.75,4094.333,4146.917,6375,15502,11480.6,27449.58,77777.95
2022-04-26,14:52:00,4065,4065,4060,4065,4065,4065,4067.75,4096.75,4147.75,4999,15375.6,11570.05,28552.38,77977.52
2022-04-26,14:51:00,4055,4065,4055,4065,4067,4066,4068.75,4099.083,4148.583,5593,17666,12312.75,29178.58,78983.2
2022-04-26,14:50:00,4070,4070,4050,4055,4067,4066,4068.25,4101.333,4149.708,52216,17868.6,14160.4,30853.53,80224.23
2022-04-26,14:49:00,4070,4080,4065,4070,4068,4067.5,4068.75,4103.833,4150.792,8327,8662.8,12780.1,31030.13,81937.68
2022-04-26,14:48:00,4075,4080,4065,4070,4066,4067,4068.5,4106,4151.833,5743,8724.2,14438,32203.05,84165.01
