날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-26,15:30:00,4620,4620,4620,4620,4620,4620,4620,4620,4615.5,13033,2834.6,838.55,979.7333,7771.925
2022-04-26,15:19:00,4620,4620,4620,4620,4620,4620,4620,4620,4614.875,908,235.4,204.75,769.8833,7714.533
2022-04-26,15:18:00,4620,4620,4620,4620,4620,4620,4620,4620,4614.083,156,65.8,165.35,761.3167,7772.317
2022-04-26,15:17:00,4620,4620,4620,4620,4620,4620,4620,4620,4613.292,66,94.6,158.1,760.05,7838.5
2022-04-26,15:16:00,4620,4620,4620,4620,4620,4620,4620,4620,4612.583,10,123.6,160.05,759.5167,8041.517
2022-04-26,15:15:00,4620,4620,4620,4620,4620,4620,4620,4620,4611.958,37,141.8,173.9,761.0333,8097.767
2022-04-26,15:14:00,4620,4620,4620,4620,4620,4620,4620,4620,4611.333,60,318.4,172.7,760.75,8225.342
2022-04-26,15:13:00,4620,4620,4620,4620,4620,4620,4620,4620,4610.75,300,368.2,170.7,781.5333,8416.5
2022-04-26,15:12:00,4620,4620,4620,4620,4620,4620,4620,4620,4610.292,211,399,199.05,794.4667,8707.6
2022-04-26,15:11:00,4620,4620,4620,4620,4620,4620,4620,4620,4609.542,101,359,495.7,795.05,8774.325
2022-04-26,15:10:00,4620,4620,4620,4620,4620,4620,4620,4620,4608.833,920,340.6,527.25,801,9007.65
2022-04-26,15:09:00,4620,4620,4620,4620,4620,4620,4620,4620,4608.125,309,164.6,525.3,787.7167,9246.692
2022-04-26,15:08:00,4620,4620,4620,4620,4620,4620,4620,4620,4607.292,454,105.4,787.65,801.8167,9285.575
2022-04-26,15:07:00,4620,4620,4620,4620,4620,4620,4620,4620,4606.417,11,33.4,789.95,797.6,9331.55
2022-04-26,15:06:00,4620,4620,4620,4620,4620,4620,4620,4620,4605.542,9,35.4,789.65,809.9667,9382.475
