날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-26,15:30:00,4605,4605,4605,4605,4593,4589,4585.5,4582,4597.458,272984,86830,40163.75,25827.2,43607.49
2022-04-26,15:19:00,4590,4595,4580,4595,4590,4584.5,4584.5,4581.417,4597.083,60859,37059.8,27362.85,21764.98,41408.66
2022-04-26,15:18:00,4595,4600,4585,4590,4590,4582,4583.75,4581.083,4596.792,47555,31790,24754.7,21103.77,40968.8
2022-04-26,15:17:00,4580,4595,4580,4595,4590,4582,4583.25,4580.917,4596.583,33285,29393,23212.85,20515.93,40648.5
2022-04-26,15:16:00,4585,4590,4580,4580,4587,4582,4582.5,4580.667,4596.208,19467,27039.2,22397.55,20345.1,40577.87
2022-04-26,15:15:00,4595,4595,4580,4590,4585,4582.5,4582.75,4580.917,4596.125,24133,26205.6,22544.6,20378.68,40502.16
2022-04-26,15:14:00,4595,4600,4580,4595,4579,4582.5,4583.5,4581,4596.125,34510,30245.8,22378.9,20184.12,40586.15
2022-04-26,15:13:00,4580,4595,4575,4590,4574,4582.5,4583.5,4580.833,4596.042,35570,27353,20874.65,19959.68,40450.5
2022-04-26,15:12:00,4575,4585,4575,4580,4574,4582.5,4583.75,4580.583,4596,21516,22844.8,20242.25,19662.83,40297.58
2022-04-26,15:11:00,4570,4575,4565,4570,4577,4582.5,4583.75,4580.917,4596.042,15299,23269.4,19915.45,19477.82,40250.28
2022-04-26,15:10:00,4570,4580,4555,4560,4580,4582,4584,4581.5,4596.208,44334,22671.4,19585.35,19421.82,40270.13
2022-04-26,15:09:00,4585,4590,4565,4570,4586,4584.5,4585.5,4582.25,4596.5,20046,17028.6,17867.45,19002.62,40357.48
2022-04-26,15:08:00,4595,4595,4585,4590,4591,4585.5,4586.75,4582.917,4596.792,13029,14555.2,17524.05,19165.87,40604.78
2022-04-26,15:07:00,4595,4600,4585,4595,4591,4584.5,4586.25,4582.917,4596.792,23639,18887.6,17999.3,19199.68,40893.19
2022-04-26,15:06:00,4595,4595,4585,4585,4588,4583,4586.75,4582.833,4596.583,12309,20552,18429.5,19178.97,40976.5
2022-04-26,15:05:00,4595,4595,4585,4590,4584,4583,4587.25,4582.75,4596.333,16120,24948,18921.3,20003.1,41099.35
2022-04-26,15:04:00,4590,4595,4590,4595,4583,4584.5,4587.5,4582.583,4595.875,7679,25117.2,19590.75,20192.48,41124
2022-04-26,15:03:00,4580,4595,4575,4590,4580,4584.5,4586,4582.5,4595.417,34691,25320.6,19801.1,20601.47,41139.68
2022-04-26,15:02:00,4565,4580,4555,4580,4578,4585,4584.75,4582.417,4595.083,31961,21726,23241.75,20748.12,40945.78
2022-04-26,15:01:00,4590,4590,4565,4565,4578,4585,4583.5,4582.75,4594.917,34289,18729.6,22569.25,20481.43,40813.07
2022-04-26,15:00:00,4575,4590,4575,4585,4582,4586,4582.25,4583.5,4594.708,16966,16353.4,27027.2,20228.43,40634.16
2022-04-26,14:59:00,4580,4585,4575,4580,4586,4586.5,4581.75,4583.917,4594.333,8696,17124,26481.45,20105.32,40668.73
2022-04-26,14:58:00,4580,4585,4575,4580,4589,4588,4581.25,4584.417,4593.917,16718,16269.8,26540.2,20207.93,40757.85
2022-04-26,14:57:00,4590,4595,4575,4580,4592,4588,4580.75,4584.833,4593.5,16979,17510.6,26414.25,20310.23,40865.76
2022-04-26,14:56:00,4605,4605,4585,4585,4592,4590.5,4580.5,4585.5,4593.042,22408,17110.8,26283.55,20573.2,40912.87
2022-04-26,14:55:00,4595,4605,4590,4605,4590,4591.5,4580.25,4586.25,4592.583,20819,14368.6,25518.25,20294.68,41240.62
2022-04-26,14:54:00,4600,4600,4590,4595,4587,4590.5,4579,4586.5,4592.125,4425,12200,24765.4,20252.43,41426.32
2022-04-26,14:53:00,4580,4600,4580,4595,4587,4587.5,4578,4587.083,4591.833,22922,13950.6,25048.5,20444.65,41525.88
2022-04-26,14:52:00,4580,4590,4575,4580,4584,4584.5,4577.5,4587.75,4591.583,14980,13873,24314.1,20573.75,41562.54
2022-04-26,14:51:00,4590,4590,4575,4575,4589,4582,4577.75,4588.5,4591.417,8697,17325.6,24233.1,21292.42,41513.27
2022-04-26,14:50:00,4595,4600,4590,4590,4593,4578.5,4578.25,4589,4591.333,9976,20015.2,24293.15,21357.37,41514.93
2022-04-26,14:49:00,4580,4595,4575,4595,4594,4577,4578.25,4589.167,4591.125,13178,23921.8,24290.8,21730.05,41476.48
2022-04-26,14:48:00,4605,4605,4580,4580,4588,4574.5,4577.75,4589.417,4590.917,22534,23663.4,24697.65,21690.35,41461.7
2022-04-26,14:47:00,4595,4610,4590,4605,4585,4573.5,4577.25,4590,4590.875,32243,39857.4,24138.1,21631.97,41380.55
2022-04-26,14:46:00,4595,4600,4585,4595,4575,4570.5,4575.5,4590.167,4590.542,22145,37111,22973.6,21534.65,41265.44
2022-04-26,14:45:00,4570,4595,4565,4595,4564,4569,4574.25,4590.167,4590.417,29509,57371.6,22355.3,21368.5,41200.66
2022-04-26,14:44:00,4570,4575,4560,4565,4560,4567.5,4573.25,4590.25,4590.375,11886,52680,21709.75,21429.77,41068.12
2022-04-26,14:43:00,4555,4575,4545,4565,4561,4568.5,4573.75,4591.167,4590.542,103504,52277,21467.1,21695.23,40984
2022-04-26,14:42:00,4540,4565,4535,4555,4562,4570.5,4574.5,4591.75,4590.667,18511,34416,16753.9,20604.82,40199.68
2022-04-26,14:41:00,4570,4575,4530,4540,4566,4573.5,4575.75,4592.417,4590.958,123448,33586.8,16067.35,22755.38,40109.09
2022-04-26,14:40:00,4575,4575,4565,4575,4574,4578,4578.25,4593.583,4591.375,6051,10317.6,10290.65,21269.45,39194.1
2022-04-26,14:39:00,4575,4575,4565,4570,4575,4579.5,4578,4594.417,4591.458,9871,10259.8,11450.65,21487.68,39284.65
2022-04-26,14:38:00,4580,4580,4570,4570,4576,4581,4578.25,4595.417,4591.667,14199,10303,12016.4,22169.08,39554.25
2022-04-26,14:37:00,4580,4585,4575,4575,4579,4581,4578.75,4596.667,4591.917,14365,9110,11920.7,22779.18,40020.31
2022-04-26,14:36:00,4580,4590,4575,4580,4581,4580.5,4579,4597.5,4591.833,7102,8909,12354.2,23238.82,40102.38
2022-04-26,14:35:00,4580,4585,4575,4580,4582,4579.5,4579.75,4598.25,4591.833,5762,9468.2,13073.2,25229.55,40104.94
2022-04-26,14:34:00,4590,4590,4575,4575,4584,4579,4580.5,4599.167,4591.75,10087,10301.6,13408.05,26234.17,40112.64
2022-04-26,14:33:00,4585,4595,4585,4585,4586,4579,4581,4600.25,4591.667,8234,12547.2,13955.9,27690.37,40151.55
2022-04-26,14:32:00,4585,4590,4575,4585,4583,4578.5,4580.5,4601.5,4591.583,13360,13169,14432.15,30347.52,40135.46
2022-04-26,14:31:00,4590,4590,4580,4585,4580,4578,4581.25,4602.917,4591.5,9898,12287.6,14284.9,31617.32,40103.01
2022-04-26,14:30:00,4590,4590,4575,4590,4577,4578.5,4582.25,4604.083,4591.375,9929,12263.8,14386.95,33252.52,40186.2
2022-04-26,14:29:00,4575,4590,4575,4585,4574,4576.5,4583,4605,4591.292,21315,13597.6,14849.6,37592.57,40257.67
2022-04-26,14:28:00,4570,4575,4570,4570,4572,4575.5,4584.25,4606.917,4591.333,11343,10741.2,15275.9,44998.6,40263.8
2022-04-26,14:27:00,4570,4575,4570,4570,4574,4576.5,4585.25,4608.5,4591.375,8953,10320.6,15461.65,51710.75,40335.09
2022-04-26,14:26:00,4580,4580,4565,4570,4576,4577.5,4586.25,4610,4591.417,9779,9486,16133.8,53616.72,40631.67
