날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-26,15:30:00,14600,14600,14600,14600,15040,15110,15607.5,15703.33,15344.58,416473,229137.4,196547,165518.9,138521.7
2022-04-26,15:19:00,15100,15150,14850,14900,15190,15205,15692.5,15707.5,15342.5,315479,165854.4,179458.8,158939.5,135102.2
2022-04-26,15:18:00,15100,15350,15100,15100,15270,15325,15765,15707.5,15337.5,150477,151227.4,168714.9,154107.2,132523.3
2022-04-26,15:17:00,15350,15400,15100,15200,15280,15440,15827.5,15703.33,15330.83,141407,168285.8,165289.5,151960.1,131350.6
2022-04-26,15:16:00,15300,15450,15200,15400,15230,15560,15880,15696.67,15323.33,121851,219443.2,166370.5,150031.7,130209.7
2022-04-26,15:15:00,15200,15400,15150,15350,15180,15635,15930,15688.33,15313.33,100058,273022,171538.5,148866.8,129258.8
2022-04-26,15:14:00,15150,15400,14950,15300,15220,15710,15987.5,15680.83,15304.17,242344,336654.4,183341.5,147607.2,128566.9
2022-04-26,15:13:00,14950,15250,14900,15150,15380,15790,16027.5,15675,15295.83,235769,304599.2,177727.9,144124.4,126648.2
2022-04-26,15:12:00,15200,15450,14850,14950,15600,15895,16077.5,15672.5,15288.33,397194,273636.2,169328.8,140860.5,124760.8
2022-04-26,15:11:00,15550,15900,15100,15150,15890,16005,16140,15672.5,15283.33,389745,234442,157819.3,134943,121596.2
2022-04-26,15:10:00,16100,16100,15300,15550,16090,16105,16182.5,15670,15276.67,418220,170375.4,143857.2,129189.1,118635.5
2022-04-26,15:09:00,16250,16300,16050,16100,16200,16180,16200,15659.17,15266.25,82068,113471.8,134438.5,122803.8,115324.1
2022-04-26,15:08:00,16400,16450,16250,16250,16200,16205,16202.5,15638.33,15250.83,80954,110505.2,133623.3,122600.4,114675.1
2022-04-26,15:07:00,16150,16450,16100,16400,16190,16215,16197.5,15616.67,15234.17,201223,117359.8,133978.8,121800.5,114024
2022-04-26,15:06:00,16150,16150,16050,16150,16120,16200,16187.5,15591.67,15215.83,69412,100712.8,131979.3,119702.2,112407
2022-04-26,15:05:00,16100,16150,15950,16100,16120,16225,16195,15571.67,15200,133702,113653.2,133518.9,120904.3,111895
2022-04-26,15:04:00,16200,16250,16100,16100,16160,16265,16197.5,15550,15185,67235,101854.4,136272.1,121494.7,110805.8
2022-04-26,15:03:00,16000,16250,16000,16200,16210,16265,16210,15530.83,15170,115227,108527.6,144026.7,123095.2,110305.9
2022-04-26,15:02:00,16200,16200,16000,16050,16240,16260,16217.5,15511.67,15153.75,117988,101876.2,154011.1,122662.3,109395.3
