날짜,시간,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120
2022-04-26,15:30:00,5320,5320,5320,5320,5320,5320,5320,5320,5308.75,10255,4747.2,2952.25,3311.167,52888.04
2022-04-26,15:19:00,5320,5320,5320,5320,5320,5320,5320,5320,5307.667,1633,4140,2829.45,3290.95,53419.54
2022-04-26,15:18:00,5320,5320,5320,5320,5320,5320,5320,5320,5306.667,789,4169.2,2771.8,3308.867,53788.08
2022-04-26,15:17:00,5320,5320,5320,5320,5320,5320,5320,5320,5305.583,3241,4849.4,2759.25,3473.117,54219.79
2022-04-26,15:16:00,5320,5320,5320,5320,5320,5320,5320,5320,5304.5,7818,4429.8,2754.5,3459.883,55224.07
2022-04-26,15:15:00,5320,5320,5320,5320,5320,5320,5320,5320,5303.583,7219,3554.6,2448,3481.9,55505.76
2022-04-26,15:14:00,5320,5320,5320,5320,5320,5320,5320,5320,5302.667,1779,2233.2,2218.65,3380.383,55666.21
2022-04-26,15:13:00,5320,5320,5320,5320,5320,5320,5320,5320,5301.667,4190,2149,2179.05,3377.5,56013.73
2022-04-26,15:12:00,5320,5320,5320,5320,5320,5320,5320,5320,5300.667,1143,1753.4,2011.25,3381.3,57088.59
2022-04-26,15:11:00,5320,5320,5320,5320,5320,5320,5320,5320,5299.833,3442,1877,1995.85,3437.617,58867.66
2022-04-26,15:10:00,5320,5320,5320,5320,5320,5320,5320,5320,5299,612,1376.4,1905,3664.733,62176.68
2022-04-26,15:09:00,5320,5320,5320,5320,5320,5320,5320,5320,5297.75,1358,2294.2,1942.15,3718.25,62676.88
2022-04-26,15:08:00,5320,5320,5320,5320,5320,5320,5320,5320,5296.583,2212,2170.4,1955.6,3793.583,63023.94
2022-04-26,15:07:00,5320,5320,5320,5320,5320,5320,5320,5320,5295.333,1761,2061.8,2086.05,4179.8,64026.88
2022-04-26,15:06:00,5320,5320,5320,5320,5320,5320,5320,5320,5294,939,1888,2100.3,4355.983,64409.74
2022-04-26,15:05:00,5320,5320,5320,5320,5320,5320,5320,5320,5292.667,5201,2130.8,2078.35,4458.767,64676.47
