주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매횟수,종목코드,뉴스기사,최대거래대금 시간,최대거래대금,매수등락률,시가등락률,양봉개수,직전 거래대금
2022-03-29,고려시멘트,5230,2022-04-26 09:09:07,09:21:27,2.5700000000000003,1,198440.0,1,09:06:00,113,16.22,6.22,1,63
2022-03-29,고려시멘트,5410,2022-04-26 09:28:09,09:32:19,1.55,2,198440.0,1,09:06:00,113,20.22,6.22,2,16
2022-03-29,영진약품,5490,2022-04-26 09:51:11,09:55:24,0.36000000000000004,3,3520.0,1,09:50:00,62,6.6,0.19,1,62
2022-03-29,버킷스튜디오,5060,2022-04-26 09:58:16,09:59:56,-0.8899999999999999,4,66410.0,1,09:22:00,72,11.58,3.09,0,26
2022-03-29,우리바이오,4390,2022-04-26 10:00:40,10:00:50,-0.8699999999999999,5,82850.0,1,10:00:00,44,10.86,4.17,3,43
2022-03-29,우리바이오,4435,2022-04-26 10:01:03,10:07:10,-1.31,6,82850.0,1,10:00:00,44,11.99,4.17,4,44
2022-03-29,버킷스튜디오,5150,2022-04-26 10:08:51,10:22:59,1.84,7,66410.0,1,09:22:00,72,13.56,3.09,0,65
2022-03-29,우리바이오,4565,2022-04-26 10:29:39,10:31:11,-0.19,8,82850.0,1,10:00:00,44,15.28,4.17,2,31
2022-03-29,버킷스튜디오,5260,2022-04-26 10:31:49,10:32:35,-1.6300000000000001,9,66410.0,1,10:10:00,87,15.99,3.09,1,22
2022-03-29,우리바이오,4600,2022-04-26 10:32:57,10:33:11,-1.49,10,82850.0,1,10:00:00,44,16.16,4.17,0,23
2022-03-29,고려시멘트,5440,2022-04-26 10:38:18,10:51:17,-0.15,11,198440.0,1,09:06:00,113,20.89,6.22,1,4
2022-03-29,파루,1320,2022-04-26 10:51:59,10:52:38,-1.44,12,43200.0,0,10:36:00,9,27.54,0.0,2,3
2022-03-29,우리바이오,4670,2022-04-26 10:52:48,10:56:07,3.88,13,82850.0,1,10:00:00,44,17.93,4.17,0,7
