주문일자,체결시간,종목명,주문유형,체결수량,체결평균단가
2022/03/29,09:09:07,고려시멘트,현금매수 K,80,"5,230"
2022/03/29,09:09:07,고려시멘트,현금매수 K,150,"5,230"
2022/03/29,09:09:07,고려시멘트,현금매수 K,184,"5,230"
2022/03/29,09:21:27,고려시멘트,현금매도 K,371,"5,380"
2022/03/29,09:21:27,고려시멘트,현금매도 K,43,"5,380"
2022/03/29,09:28:09,고려시멘트,현금매수 K,200,"5,410"
2022/03/29,09:32:19,고려시멘트,현금매도 K,200,"5,510"
2022/03/29,09:51:11,영진약품,현금매수,51,"5,490"
2022/03/29,09:51:12,영진약품,현금매수,49,"5,490"
2022/03/29,09:55:24,영진약품,현금매도,48,"5,560"
2022/03/29,09:55:24,영진약품,현금매도,4,"5,560"
2022/03/29,09:55:54,영진약품,현금매도,48,"5,490"
2022/03/29,09:58:16,버킷스튜디오,현금매수 K,200,"5,060"
2022/03/29,09:59:56,버킷스튜디오,현금매도 K,200,"5,030"
2022/03/29,10:00:40,우리바이오,현금매수 K,229,"4,390"
2022/03/29,10:00:40,우리바이오,현금매수 K,12,"4,390"
2022/03/29,10:00:40,우리바이오,현금매수 K,50,"4,390"
2022/03/29,10:00:40,우리바이오,현금매수 K,253,"4,390"
2022/03/29,10:00:50,우리바이오,현금매도 K,544,"4,365"
2022/03/29,10:01:03,우리바이오,현금매수 K,100,"4,435"
2022/03/29,10:07:10,우리바이오,현금매도 K,100,"4,390"
2022/03/29,10:08:51,버킷스튜디오,현금매수 K,200,"5,150"
2022/03/29,10:22:59,버킷스튜디오,현금매도 K,200,"5,260"
2022/03/29,10:29:39,우리바이오,현금매수 K,100,"4,565"
2022/03/29,10:31:11,우리바이오,현금매도 K,100,"4,570"
2022/03/29,10:31:49,버킷스튜디오,현금매수 K,164,"5,260"
2022/03/29,10:31:49,버킷스튜디오,현금매수 K,36,"5,260"
2022/03/29,10:32:35,버킷스튜디오,현금매도 K,200,"5,190"
2022/03/29,10:32:57,우리바이오,현금매수 K,2,"4,600"
2022/03/29,10:32:57,우리바이오,현금매수 K,46,"4,605"
2022/03/29,10:32:57,우리바이오,현금매수 K,8,"4,605"
2022/03/29,10:32:57,우리바이오,현금매수 K,8,"4,605"
2022/03/29,10:32:57,우리바이오,현금매수 K,8,"4,605"
2022/03/29,10:32:57,우리바이오,현금매수 K,28,"4,605"
2022/03/29,10:33:11,우리바이오,현금매도 K,100,"4,550"
2022/03/29,10:38:18,고려시멘트,현금매수 K,162,"5,440"
2022/03/29,10:38:18,고려시멘트,현금매수 K,38,"5,450"
2022/03/29,10:51:17,고려시멘트,현금매도 K,200,"5,450"
2022/03/29,10:51:59,파루,현금매수 K,50,"1,320"
2022/03/29,10:52:38,파루,현금매도 K,50,"1,305"
2022/03/29,10:52:48,우리바이오,현금매수 K,9,"4,670"
2022/03/29,10:52:48,우리바이오,현금매수 K,36,"4,670"
2022/03/29,10:52:48,우리바이오,현금매수 K,55,"4,670"
2022/03/29,10:56:07,우리바이오,현금매도 K,32,"4,865"
2022/03/29,10:56:07,우리바이오,현금매도 K,50,"4,865"
2022/03/29,10:56:07,우리바이오,현금매도 K,17,"4,865"
2022/03/29,10:56:07,우리바이오,현금매도 K,1,"4,865"
2022/03/29,13:58:41,룽투코리아,현금매수 K,58,"6,580"
2022/03/29,13:58:41,룽투코리아,현금매수 K,2,"6,580"
2022/03/29,13:58:41,룽투코리아,현금매수 K,1,"6,580"
2022/03/29,13:58:41,룽투코리아,현금매수 K,13,"6,580"
2022/03/29,13:58:41,룽투코리아,현금매수 K,26,"6,580"
2022/03/29,14:53:28,우리바이오,현금매수 K,100,"5,000"
2022/03/29,14:53:58,우리바이오,현금매도 K,100,"5,020"
2022/03/30,09:05:58,룽투코리아,현금매도 K,100,"7,700"
2022/03/30,09:11:01,오리콤,현금매수 K,151,"9,290"
2022/03/30,09:11:01,오리콤,현금매수 K,33,"9,290"
2022/03/30,09:11:01,오리콤,현금매수 K,7,"9,290"
2022/03/30,09:11:01,오리콤,현금매수 K,9,"9,290"
2022/03/30,09:11:18,오리콤,현금매도 K,10,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,1,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,1,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,1,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,20,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,1,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,11,"9,220"
2022/03/30,09:11:18,오리콤,현금매도 K,155,"9,220"
2022/03/30,09:12:07,룽투코리아,현금매수 K,100,"7,540"
2022/03/30,09:13:09,룽투코리아,현금매도 K,100,"7,720"
2022/03/30,09:25:45,룽투코리아,현금매수 K,126,"8,000"
2022/03/30,09:25:56,룽투코리아,현금매도 K,126,"8,000"
2022/03/30,09:45:26,티비씨,현금매수 K,589,"1,695"
2022/03/30,09:50:14,티비씨,현금매도 K,589,"1,635"
2022/03/30,09:50:49,제주반도체,현금매수 K,159,"6,360"
2022/03/30,09:59:49,제주반도체,현금매도 K,159,"6,370"
2022/03/30,10:01:12,와토스코리아,현금매수 K,29,"9,880"
2022/03/30,10:01:12,와토스코리아,현금매수 K,73,"9,900"
2022/03/30,10:01:16,와토스코리아,현금매도 K,102,"10,000"
2022/03/30,10:05:41,일동제약,현금매수,14,"67,200"
2022/03/30,10:06:21,일동제약,현금매도,14,"67,200"
2022/03/30,12:05:02,시공테크,현금매수 K,101,"9,950"
2022/03/30,12:08:57,시공테크,현금매도 K,101,"9,920"
2022/03/30,12:11:34,자연과환경,현금매수 K,437,"2,295"
2022/03/30,12:16:21,자연과환경,현금매도 K,437,"2,300"
2022/03/30,12:16:56,아이스크림에듀,현금매수 K,56,"8,830"
2022/03/30,12:17:46,아이스크림에듀,현금매도 K,56,"8,850"
2022/03/30,12:18:29,바이오에프디엔씨,현금매수 K,2,"22,150"
2022/03/30,12:18:29,바이오에프디엔씨,현금매수 K,20,"22,150"
2022/03/30,12:19:34,바이오에프디엔씨,현금매도 K,22,"22,350"
2022/03/30,14:40:36,남선알미늄,현금매수,228,"4,355"
2022/03/30,14:46:57,남선알미늄,현금매도,228,"4,320"
2022/03/30,15:17:09,유니크,현금매수 K,66,"6,940"
2022/03/30,15:17:09,유니크,현금매수 K,7,"6,940"
2022/03/30,15:17:19,유니크,현금매도 K,13,"7,190"
2022/03/30,15:17:19,유니크,현금매도 K,60,"7,190"
2022/03/31,09:07:18,룽투코리아,현금매수 K,247,"8,040"
2022/03/31,09:09:31,룽투코리아,현금매도 K,247,"7,700"
2022/03/31,09:10:38,효성오앤비,현금매수 K,28,"14,450"
2022/03/31,09:10:38,효성오앤비,현금매수 K,2,"14,450"
2022/03/31,09:10:38,효성오앤비,현금매수 K,3,"14,450"
2022/03/31,09:10:38,효성오앤비,현금매수 K,105,"14,450"
2022/03/31,09:34:09,효성오앤비,현금매도 K,138,"14,450"
2022/03/31,09:34:20,우리바이오,현금매수 K,377,"5,310"
2022/03/31,09:42:37,우리바이오,현금매도 K,377,"5,190"
2022/03/31,09:44:12,큐캐피탈,현금매수 K,"2,364",847
2022/03/31,09:51:17,큐캐피탈,현금매도 K,"2,364",832
2022/03/31,09:51:36,TJ미디어,현금매수 K,24,"8,330"
2022/03/31,09:51:36,TJ미디어,현금매수 K,26,"8,330"
2022/03/31,09:51:36,TJ미디어,현금매수 K,106,"8,330"
2022/03/31,09:51:36,TJ미디어,현금매수 K,74,"8,330"
2022/03/31,10:28:04,TJ미디어,현금매도 K,62,"8,460"
2022/03/31,10:28:04,TJ미디어,현금매도 K,168,"8,450"
2022/03/31,10:31:38,대한전선,현금매수,"1,200","1,645"
2022/03/31,11:46:54,대한전선,현금매도,"1,200","1,725"
2022/03/31,13:13:20,대신정보통신,현금매수 K,434,"2,300"
2022/03/31,13:13:58,대신정보통신,현금매도 K,434,"2,295"
2022/03/31,13:15:51,코리아에프티,현금매수 K,100,"3,555"
