주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매순서,최대거래대금 시간,최대거래대금,직전 거래대금,양봉개수,10이격도,20이격도,60이격도,종목코드,매수등락률,시가등락률,뉴스기사,분봉전고점
2022-03-29,고려시멘트,5230,09:09:07,09:21:27,2.5700000000000003,1,09:06:00,113,63,1,4.38,9.72,13.32,198440,16.22,6.22,1,0.38
2022-03-29,고려시멘트,5410,09:28:09,09:32:19,1.55,2,09:06:00,113,16,2,0.93,1.72,11.55,198440,20.22,6.22,1,1.29
2022-03-29,영진약품,5490,09:51:11,09:55:24,0.36000000000000004,3,09:50:00,62,62,1,1.57,1.94,4.43,003520,6.6,0.19,1,3.28
2022-03-29,버킷스튜디오,5060,09:58:16,09:59:56,-0.8899999999999999,4,09:22:00,72,26,0,0.87,2.06,4.17,066410,11.58,3.09,1,0.99
2022-03-29,우리바이오,4390,10:00:40,10:00:50,-0.8699999999999999,5,10:00:00,44,43,3,3.56,4.06,4.23,082850,10.86,4.17,1,1.94
2022-03-29,우리바이오,4435,10:01:03,10:07:10,-1.31,6,10:00:00,44,44,4,4.13,4.85,5.19,082850,11.99,4.17,1,1.01
2022-03-29,버킷스튜디오,5150,10:08:51,10:22:59,1.84,7,09:22:00,72,65,0,1.29,2.1,4.97,066410,13.56,3.09,1,0.58
2022-03-29,우리바이오,4565,10:29:39,10:31:11,-0.19,8,10:00:00,44,31,2,3.39,4.5,6.46,082850,15.28,4.17,1,1.53
2022-03-29,버킷스튜디오,5260,10:31:49,10:32:35,-1.6300000000000001,9,10:10:00,87,22,1,1.52,0.38,3.83,066410,15.99,3.09,1,2.47
2022-03-29,우리바이오,4600,10:32:57,10:33:11,-1.49,10,10:00:00,44,23,0,2.53,4.49,6.78,082850,16.16,4.17,1,0.98
2022-03-29,고려시멘트,5440,10:38:18,10:51:17,-0.15,11,09:06:00,113,4,1,0.33,0.07,0.19,198440,20.89,6.22,1,2.02
2022-03-29,파루,1320,10:51:59,10:52:38,-1.44,12,10:36:00,9,3,2,5.31,6.17,16.2,043200,27.54,0.0,0,1.52
2022-03-29,우리바이오,4670,10:52:48,10:56:07,3.88,13,10:00:00,44,7,0,1.57,2.2,5.38,082850,17.93,4.17,1,0.54
2022-03-29,룽투코리아,6580,13:58:41,09:05:58,16.72,14,13:27:00,42,18,3,3.98,4.99,12.52,060240,27.52,0.19,1,0.46
2022-03-29,우리바이오,5000,14:53:28,14:53:58,0.10000000000000003,15,10:00:00,44,12,2,1.38,2.25,2.17,082850,26.26,4.17,1,1.8
2022-03-30,오리콤,9290,09:11:01,09:11:18,-1.05,1,09:00:00,55,32,5,3.64,9.33,14.68,010470,18.8,9.97,1,0.54
2022-03-30,룽투코리아,7540,09:12:07,09:13:09,2.0900000000000003,2,09:00:00,67,19,0,-1.62,4.48,9.72,060240,12.54,-0.45,1,7.82
2022-03-30,룽투코리아,8000,09:25:45,09:25:56,-0.3,3,09:00:00,67,22,1,3.16,3.53,12.82,060240,19.4,-0.45,1,1.62
2022-03-30,티비씨,1695,09:45:26,09:50:14,-3.84,4,09:07:00,32,2,0,2.91,2.48,6.32,033830,15.31,2.72,0,1.47
2022-03-30,제주반도체,6360,09:50:49,09:59:49,-0.13999999999999999,5,09:00:00,134,5,0,2.71,3.02,4.74,080220,13.37,8.73,1,0.63
2022-03-30,와토스코리아,9880,10:01:12,10:01:16,0.77,6,10:01:00,46,2,2,3.47,7.62,17.11,079000,27.81,1.29,0,1.21
2022-03-30,일동제약,67200,10:05:41,10:06:21,-0.3,7,10:00:00,143,52,1,2.03,2.92,4.39,249420,8.91,2.43,0,0.45
2022-03-30,시공테크,9950,12:05:02,12:08:57,-0.6,8,11:46:00,56,15,0,1.49,4.18,14.42,020710,26.43,6.1,0,0.3
2022-03-30,자연과환경,2295,12:11:34,12:16:21,-0.07999999999999999,9,12:06:00,47,30,1,4.15,6.21,10.32,043910,4.56,-5.47,0,0.22
2022-03-30,아이스크림에듀,8830,12:16:56,12:17:46,-0.06999999999999998,10,12:16:00,62,22,2,3.17,4.59,9.05,289010,22.98,10.03,0,0.57
2022-03-30,바이오에프디엔씨,22150,12:18:29,12:19:34,0.6000000000000001,11,12:18:00,9,0,3,4.53,4.7,5.28,251120,15.36,-0.26,0,0.45
2022-03-30,남선알미늄,4355,14:40:36,14:46:57,-1.1,12,09:00:00,193,91,2,1.2,1.14,1.74,008350,21.99,6.86,0,1.49
2022-03-30,유니크,6940,15:17:09,15:17:19,3.3000000000000003,13,15:15:00,20,6,9,9.6,12.32,15.98,011320,20.91,0.87,1,3.6
2022-03-31,룽투코리아,8040,09:07:18,09:09:31,-4.53,1,09:07:00,35,12,2,3.68,5.1,6.67,060240,5.37,2.23,1,1.37
2022-03-31,효성오앤비,14450,09:10:38,09:34:09,-0.3,2,09:00:00,22,10,2,1.98,5.05,7.89,097870,9.47,6.44,0,1.04
2022-03-31,우리바이오,5310,09:34:20,09:42:37,-2.5599999999999996,3,09:27:00,63,49,1,3.05,5.17,6.38,082850,7.49,-0.91,0,0.75
2022-03-31,큐캐피탈,847,09:44:12,09:51:17,-2.07,4,09:44:00,52,20,2,1.64,3.12,4.09,016600,7.22,0.89,0,2.72
2022-03-31,TJ미디어,8330,09:51:36,10:28:04,1.17,5,09:51:00,76,17,4,7.33,9.61,13.51,032540,16.67,2.66,1,0.84
2022-03-31,대한전선,1645,10:31:38,11:46:54,4.5600000000000005,6,10:14:00,64,20,0,1.67,2.89,8.48,001440,15.44,1.05,1,0.91
2022-03-31,대신정보통신,2300,13:13:20,13:13:58,-0.52,7,12:49:00,41,29,0,2.45,2.36,7.59,020180,15.29,-4.01,1,0.87
2022-03-31,코리아에프티,3555,13:15:51,13:18:30,1.25,8,13:15:00,22,0,0,4.59,4.76,6.25,123410,10.06,0.77,0,0.7
2022-03-31,대한전선,1795,13:31:27,14:09:01,-1.14,9,12:22:00,85,7,0,0.53,0.6,0.15,001440,25.96,1.05,1,1.67
2022-03-31,TJ미디어,8540,14:09:05,14:11:15,3.21,10,09:52:00,78,14,0,1.52,2.66,3.84,032540,19.61,2.66,1,2.34
2022-03-31,TJ미디어,8810,14:16:33,14:17:33,-0.3,11,09:52:00,78,7,0,0.58,3.25,6.15,032540,23.39,2.66,1,1.25
2022-03-31,대한전선,1810,14:19:59,09:00:07,7.430000000000001,12,12:22:00,85,14,2,1.0,1.26,1.16,001440,27.02,1.05,1,0.83
2022-04-01,IHQ,1440,09:06:45,09:07:35,-2.73,1,09:06:00,31,5,3,7.74,9.46,10.62,003560,11.63,3.88,1,0.69
2022-04-01,대한전선,2060,09:11:41,09:23:06,-2.02,2,09:00:00,280,153,9,0.96,5.42,9.46,001440,11.35,5.68,1,4.13
2022-04-01,TJ미디어,9330,09:23:36,09:24:17,-0.51,3,09:22:00,103,103,2,5.36,5.9,6.17,032540,5.42,-1.69,1,0.32
2022-04-01,KH 필룩스,2730,09:28:04,09:28:45,-0.3,4,09:16:00,27,8,1,2.38,5.01,17.66,033180,28.17,16.9,1,0.92
2022-04-01,하림,3545,09:30:13,09:37:13,2.1,5,09:20:00,38,15,3,0.9,2.28,6.73,136480,9.58,0.0,1,0.14
2022-04-01,TJ미디어,9900,09:46:42,09:47:49,-0.7,6,09:22:00,103,23,1,1.26,1.0,8.34,032540,11.86,-1.69,1,2.02
2022-04-01,TJ미디어,10000,09:48:38,09:50:59,2.2,7,09:22:00,103,17,1,1.84,1.43,8.97,032540,12.99,-1.69,1,3.5
2022-04-01,TJ미디어,10000,10:01:43,10:34:02,-1.5,8,09:22:00,103,17,0,-0.54,-0.24,5.59,032540,12.99,-1.69,1,4.5
2022-04-01,에스엠,89600,10:36:17,10:46:55,-1.08,9,09:56:00,64,47,2,1.43,2.15,3.49,041510,9.8,-0.61,1,0.22
2022-04-01,미래산업,18250,10:52:40,10:59:17,1.6199999999999999,10,09:02:00,24,12,6,3.08,5.48,8.36,025560,26.3,23.88,1,1.37
2022-04-01,금강철강,8850,10:59:57,11:00:48,-0.3,11,10:56:00,60,24,10,3.56,5.46,7.13,053260,15.23,1.17,0,0.56
2022-04-01,아이오케이,1570,13:05:00,13:31:14,1.6099999999999999,12,09:02:00,50,1,0,0.54,1.27,2.04,078860,27.13,25.91,1,0.64
2022-04-01,이수앱지스,8550,14:35:08,14:35:47,-0.42,13,14:01:00,32,14,0,1.2,2.23,4.22,086890,26.67,0.0,1,1.75
2022-04-01,네오셈,3975,14:37:13,14:38:07,-4.83,14,14:35:00,24,15,0,2.95,4.57,5.72,253590,7.43,-2.03,0,0.13
2022-04-01,이수앱지스,8530,14:38:58,14:42:15,-0.3,15,14:01:00,32,8,0,0.29,1.4,3.67,086890,26.37,0.0,1,1.99
2022-04-01,잇츠한불,25050,14:47:04,14:49:26,4.69,16,11:45:00,41,10,3,0.93,1.46,-0.37,226320,21.31,-0.48,1,3.79
2022-04-01,잇츠한불,25750,15:04:41,15:11:27,-1.47,17,14:48:00,47,11,1,-0.41,-0.45,2.05,226320,24.7,-0.48,1,2.72
2022-04-01,지에스이,5970,15:11:53,15:13:24,-5.33,18,15:07:00,77,18,0,3.04,6.11,9.94,053050,13.07,6.06,0,0.5
2022-04-04,SG세계물산,794,09:18:52,09:19:08,-1.31,1,09:18:00,13,3,3,1.76,2.14,4.83,004060,6.15,3.88,1,1.64
2022-04-04,KEC,3450,09:21:02,09:25:11,-0.54,2,09:20:00,102,102,1,3.39,5.89,11.34,092220,14.24,2.32,1,1.16
2022-04-04,KEC,3460,09:27:24,09:28:20,2.0100000000000002,3,09:20:00,102,19,0,0.55,3.05,10.09,092220,14.57,2.32,1,1.73
2022-04-04,KEC,3580,09:54:31,09:56:12,-2.26,4,09:20:00,102,11,1,0.86,0.33,5.7,092220,18.54,2.32,1,2.51
2022-04-04,KEC,3520,09:59:08,10:21:28,-0.3,5,09:20:00,102,7,0,-0.3,-0.94,2.69,092220,16.56,2.32,1,4.26
2022-04-04,미래아이앤지,574,10:25:37,10:25:50,1.6199999999999999,6,10:24:00,29,29,3,9.35,13.39,15.91,007120,27.56,1.33,1,1.92
2022-04-04,한신기계,9500,10:30:48,10:33:47,1.5899999999999999,7,10:30:00,86,29,2,1.59,3.15,4.43,011700,12.16,0.94,0,0.95
2022-04-04,한신기계,10250,13:19:24,13:30:24,-3.9099999999999997,8,10:32:00,107,17,1,1.54,1.61,1.18,011700,21.02,0.94,0,0.98
2022-04-04,동양철관,1440,13:32:18,13:45:47,-0.6499999999999999,9,13:11:00,52,3,1,0.7,0.75,8.07,008970,19.5,0.41,1,1.04
