Date,Firm,BuyPrice,TimeBuy,TimeSell,Return,StockCode,Order,NewsFeature,NewsSEN,NewsTopic,NewsReport,ChangeBuy,ChangeOpen,MAd20,MAd60,MAd120,High5,High20,High60,BeforeMoney,MaxMoney,MinMoney,TimeMaxMoney,TimeMinMoney,MAm10,MAm20,MAm60,MaxHigh,TimeMinuteBuy,TimeSecondBuy,Alert,Mezzanine
2022-03-29,고려시멘트,5230,09:09:07,09:21:27,2.5700000000000003,198440,1,1,0,0,0,16.22,6.22,26.21,35.87,34.76,-5.83,-5.83,-5.83,6302829900,11309063640,2467405640,09:06:00,09:01:00,5.97,10.55,13.6,0.38,549,7,0,0
2022-03-29,고려시멘트,5410,09:28:09,09:32:19,1.55,198440,2,1,0,1,0,20.22,6.22,30.56,40.55,39.4,-8.96,-8.96,-8.96,1649760660,11309063640,1649760660,09:06:00,09:27:00,1.08,2.0,11.9,0.55,568,9,0,0
2022-03-29,영진약품,5490,09:51:11,09:55:24,0.36000000000000004,003520,3,1,0,0,0,6.6,0.19,6.95,9.51,12.05,-2.73,-2.37,0.55,6159236410,6159236410,72940,09:50:00,09:08:00,1.95,2.2,4.57,2.91,591,11,0,0
2022-03-29,버킷스튜디오,5060,09:58:16,09:59:56,-0.8899999999999999,066410,4,1,0,0,0,11.58,3.09,28.88,21.91,1.26,-4.05,-4.05,17.19,2550892740,7152714975,329668125,09:22:00,09:36:00,1.12,2.26,4.34,0.99,598,16,0,0
2022-03-29,우리바이오,4390,10:00:40,10:00:50,-0.8699999999999999,082850,5,1,0,0,0,10.86,4.17,22.32,16.14,8.94,-5.81,-0.46,20.27,4322770200,4322770200,7168700,09:59:00,09:55:00,4.0,4.33,4.32,1.03,600,40,0,0
2022-03-29,우리바이오,4435,10:01:03,10:07:10,-1.31,082850,6,1,0,0,0,11.99,4.17,23.57,17.33,10.06,-6.76,-1.47,19.05,4438077600,4438077600,7168700,10:00:00,09:55:00,4.62,5.13,5.29,0.9,601,3,0,0
2022-03-29,버킷스튜디오,5150,10:08:51,10:22:59,1.84,066410,7,1,0,0,0,13.56,3.09,31.18,24.07,3.07,-5.73,-5.73,15.15,6496910400,7152714975,329668125,09:22:00,09:36:00,1.51,2.38,5.07,0.58,608,51,0,0
2022-03-29,우리바이오,4565,10:29:39,10:31:11,-0.19,082850,8,1,0,0,0,15.28,4.17,27.19,20.77,13.29,-9.42,-4.27,15.66,3085827145,4438077600,7168700,10:00:00,09:55:00,4.18,4.77,6.65,-0.66,629,39,0,0
2022-03-29,버킷스튜디오,5260,10:31:49,10:32:35,-1.6300000000000001,066410,9,1,1,0,0,15.99,3.09,33.98,26.72,5.27,-7.7,-7.7,12.74,2221449300,8707522840,329668125,10:10:00,09:36:00,1.31,0.39,3.97,2.47,631,49,0,0
2022-03-29,우리바이오,4600,10:32:57,10:33:11,-1.49,082850,10,1,0,0,0,16.16,4.17,28.17,21.7,14.16,-10.11,-5.0,14.78,2254784350,4438077600,7168700,10:00:00,09:55:00,3.19,4.75,6.96,0.98,632,57,0,0
2022-03-29,고려시멘트,5440,10:38:18,10:51:17,-0.15,198440,11,1,0,1,0,20.89,6.22,31.28,41.33,40.17,-9.47,-9.47,-9.47,365569320,11309063640,226816160,09:06:00,10:36:00,0.39,0.03,0.19,2.02,638,18,0,0
2022-03-29,파루,1320,10:51:59,10:52:38,-1.44,043200,12,0,0,0,0,27.54,0.0,36.92,39.1,30.29,-9.47,-9.47,-7.58,312282775,850630215,1065,10:36:00,09:59:00,5.77,6.95,16.63,1.52,651,59,0,0
2022-03-29,우리바이오,4670,10:52:48,10:56:07,3.88,082850,13,1,0,0,0,17.93,4.17,30.12,23.55,15.89,-11.46,-6.42,13.06,702354000,4438077600,7168700,10:00:00,09:55:00,1.64,2.28,5.56,0.11,652,48,0,0
2022-03-29,룽투코리아,6580,13:58:41,09:05:58,16.72,060240,14,1,1,0,0,27.52,0.19,16.27,-3.21,-6.07,-13.37,3.95,34.5,1790139330,4198969650,10480,13:27:00,11:04:00,4.38,5.26,12.9,0.3,838,41,0,0
2022-03-29,우리바이오,5000,14:53:28,14:53:58,0.10000000000000003,082850,15,1,0,0,0,26.26,4.17,39.31,32.28,24.08,-17.3,-12.6,5.6,1224491110,4438077600,7168700,10:00:00,09:55:00,1.77,2.44,2.2,1.8,893,28,0,0
2022-03-30,오리콤,9290,09:11:01,09:11:18,-1.05,010470,1,0,0,0,0,18.8,9.97,41.92,48.97,42.04,-0.22,-0.22,-0.22,3238949000,5515101900,939735160,09:00:00,09:03:00,4.1,10.23,14.99,0.54,551,1,1,0
2022-03-30,룽투코리아,7540,09:12:07,09:13:09,2.0900000000000003,060240,2,1,0,0,0,12.54,-0.45,32.63,11.28,7.41,-11.14,-9.28,17.37,1926688680,6726490680,1699960320,09:00:00,09:09:00,-0.96,5.24,10.0,7.82,552,7,0,0
2022-03-30,룽투코리아,8000,09:25:45,09:25:56,-0.3,060240,3,1,0,0,0,19.4,-0.45,40.72,18.07,13.97,-16.25,-14.5,10.62,2238791030,6726490680,296230740,09:00:00,09:21:00,3.67,3.73,13.16,1.62,565,45,0,0
2022-03-30,티비씨,1695,09:45:26,09:50:14,-3.84,033830,4,0,0,0,0,15.31,2.72,29.39,33.19,13.35,-10.03,-10.03,-4.13,156850750,3163869120,156850750,09:07:00,09:44:00,3.13,2.45,6.55,1.47,585,26,0,0
2022-03-30,제주반도체,6360,09:50:49,09:59:49,-0.13999999999999999,080220,5,1,0,0,0,13.37,8.73,20.51,13.75,14.76,-6.45,-6.45,6.92,540791640,13443925620,76989780,09:00:00,09:30:00,2.9,3.23,4.95,0.47,590,49,0,0
