날짜,시간,시가,고가,저가,종가,종가 단순 5,10.0,20.0,60.0,120.0,거래량,단순 5,20.0,60.0,120.0
2022-05-04,15:35:00,1715.0,1715.0,1715.0,1715.0,1711.0,1709.0,1713.5,1717.6666666666667,1734.0416666666667,34476.0,92124.8,46435.45,33339.23333333333,25855.8
2022-05-04,15:30:00,1715.0,1715.0,1715.0,1715.0,1709.0,1708.5,1713.0,1718.0,1734.4166666666667,227817.0,90779.0,45508.25,33664.7,25708.475
2022-05-04,15:19:00,1710.0,1710.0,1700.0,1710.0,1707.0,1708.5,1712.5,1718.3333333333333,1734.8333333333333,86284.0,58638.8,34607.45,32142.383333333335,23998.45
2022-05-04,15:18:00,1705.0,1710.0,1700.0,1710.0,1707.0,1709.0,1712.25,1718.75,1735.3333333333333,80025.0,43229.0,30965.3,31024.116666666665,23325.733333333334
2022-05-04,15:17:00,1705.0,1705.0,1700.0,1705.0,1707.0,1709.0,1712.0,1719.25,1735.8333333333333,32022.0,31853.2,30952.0,31284.883333333335,22755.291666666668
2022-05-04,15:16:00,1710.0,1710.0,1700.0,1705.0,1707.0,1710.5,1712.0,1719.8333333333333,1736.3333333333333,27747.0,36181.2,30816.1,31060.316666666666,22694.125
2022-05-04,15:15:00,1705.0,1710.0,1700.0,1705.0,1708.0,1712.0,1712.0,1720.5,1736.875,67116.0,35202.6,31054.6,30994.516666666666,22511.475
2022-05-04,15:14:00,1705.0,1710.0,1705.0,1710.0,1710.0,1714.0,1712.25,1721.1666666666667,1737.4166666666667,9235.0,24959.6,29089.9,30018.65,22020.833333333332
2022-05-04,15:13:00,1700.0,1710.0,1700.0,1710.0,1711.0,1715.5,1712.25,1721.75,1737.9166666666667,23146.0,24264.6,30288.75,30142.266666666666,21989.191666666666
2022-05-04,15:12:00,1705.0,1710.0,1700.0,1705.0,1711.0,1717.0,1712.5,1722.4166666666667,1738.4166666666667,53662.0,28677.4,30207.55,29869.033333333333,21854.066666666666
2022-05-04,15:11:00,1715.0,1715.0,1705.0,1710.0,1714.0,1718.0,1713.0,1723.1666666666667,1738.9583333333333,22854.0,22105.0,28702.85,29390.1,21488.191666666666
2022-05-04,15:10:00,1710.0,1715.0,1710.0,1715.0,1716.0,1717.5,1713.5,1723.9166666666667,1739.4166666666667,15901.0,18244.6,28052.25,29090.15,21358.275
2022-05-04,15:09:00,1715.0,1715.0,1710.0,1715.0,1718.0,1716.5,1713.75,1724.5,1739.875,5760.0,15784.8,28643.85,28964.7,21314.391666666666
2022-05-04,15:08:00,1720.0,1720.0,1710.0,1710.0,1720.0,1715.5,1714.0,1725.0833333333333,1740.375,45210.0,15749.6,28567.75,29005.7,21564.991666666665
